,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,3.268147202106775e-06,5.5945159601833435e-06,7.540023091223702e-07,6.47409177645386e-07,1.4328930637930172e-05,2.841502953288e-06,2.808716249091959e-06,0.9193886637687684
priorregion1_spot_2,1.1356490006164677e-06,3.408974851026869e-06,8.87986330781132e-05,1.1690614378778719e-07,0.0033628245000727475,1.9263550200321337e-06,1.0987368057158165e-06,0.7654392629861831
priorregion1_spot_3,2.2515079535878615e-06,5.24168310676032e-06,1.8137009831775684e-07,8.924391408982047e-07,0.0032912265509366986,0.0006712785077979788,5.776993901918104e-07,1.1051537215709686
priorregion1_spot_4,1.3146865398994125e-06,1.2020170117921226e-06,2.468538141897625e-07,1.2223334522332152e-06,2.9860459380870453e-05,2.40285131667406e-06,3.779114692292751e-07,1.2418105363845826
priorregion1_spot_5,2.7641648443932356e-06,0.0004287348448997364,3.724452089954866e-05,8.591311484451581e-07,0.009190426021814347,2.0015360314573626e-05,0.0006542988179717214,0.7995110303163528
priorregion1_spot_6,0.1382333070039749,5.766650137957186e-05,1.2264561007668818e-06,5.2933365805074575e-05,0.016855766344815493,1.592643993717502e-05,0.0009232287848135456,1.1925522565841675
priorregion1_spot_7,4.671973474614788e-05,0.00012456562762963586,6.884121939947363e-05,9.218351806339342e-06,0.06675550378859042,0.006905582710169256,0.36502881795167924,1.532409566640854
priorregion1_spot_8,2.5680785620352255e-05,7.5719910228144725e-06,1.1243846017805482e-06,0.0013388884312007577,7.693347515669303e-06,1.284343028373769e-06,4.929562294364587e-07,0.8173549562692642
priorregion1_spot_9,3.033303009942756e-05,1.4053191944185529e-05,3.6084327120988747e-06,4.931591956847115e-06,0.0002449740153679159,1.5663079739169917e-05,2.4465158276143487e-05,1.6727069675922395
priorregion1_spot_10,0.22570809945464135,2.8545996337925315e-05,1.5101435906217375e-06,1.2616893627637182e-05,0.0019936383352614937,0.00024702105292817583,0.0003371913466253318,1.3364304542541505
priorregion1_spot_11,6.172628836793593e-05,3.7963083377690056e-05,9.151353680181274e-07,5.012401243220665e-06,0.0012503851496148855,0.00032321733015123756,1.8145413946513145e-06,1.6092549979686737
priorregion1_spot_12,0.09836855232715608,2.63424267359369e-05,5.571465010234533e-07,0.001777458336437121,0.001635981601430103,6.767293302800682e-06,9.460362389290823e-06,1.2117561221122741
priorregion1_spot_13,4.3337648776287105e-06,3.4961828419000085e-06,3.1195281025020455e-07,4.673443768865582e-07,0.014481237391009927,3.475596258795122e-06,5.302842026821964e-07,1.0898250758647918
priorregion1_spot_14,0.0752964612096548,0.003712691506370902,3.5801094600174114e-05,3.1139643624555905e-06,0.00016567272614338436,6.977793395890332e-06,9.619326829124476e-06,1.298390156030655
priorregion1_spot_15,1.237003361893585e-05,1.5432242798851805e-05,1.8839555821159593e-06,1.082132130250102e-05,0.00024767749928287234,4.895152687822701e-06,2.1196267152845393e-05,1.514238840341568
priorregion1_spot_16,0.000261586214764975,4.561031091725454e-05,2.215050778886507e-06,2.3197504833660788e-05,0.006157934479415417,2.5352975080750186e-05,0.6824987530708313,1.6849713623523712
priorregion1_spot_17,2.066617716991459e-05,2.275234319313313e-05,4.0207976326200884e-07,1.812094183151203e-06,2.9013619587203725e-05,5.783148753835123e-06,8.905561827532439e-07,1.1730637669563295
priorregion1_spot_18,0.12981291413307192,6.218923117558007e-05,1.8623271671458499e-06,2.258785298181465e-05,0.006656802119687199,0.0005001223646104336,5.64049560125568e-06,1.5183732569217683
priorregion1_spot_19,0.13523950278759003,0.0003649718593806029,1.144782600022154e-05,4.685032104134735e-06,0.00013903829822083937,1.127336440731597e-05,0.001866914884885773,1.5999760985374452
priorregion1_spot_20,0.11479377821087837,7.256551225509611e-06,1.5984860681328428e-06,1.0786668497075879e-06,0.005260258563794196,2.8125208700657826e-06,3.0186039293766952e-05,0.7840859293937683
priorregion1_spot_21,0.26861646622419355,4.48143296125636e-06,1.1155913398397387e-06,1.8658080520594923e-07,0.004081780160777271,1.0658190944923265e-06,3.7166338699989866e-07,0.5907774299383163
priorregion1_spot_22,0.0719773892313242,0.00015363251659437083,4.68739060011103e-07,3.580635180355785e-07,0.0006031423312379047,1.3293824258653332e-05,6.228633225191516e-07,0.5411522179841995
priorregion1_spot_23,0.0002400367404334247,1.2027084130750154e-05,5.585704940358482e-07,3.749409506781376e-06,0.0009653502696892246,1.0107206526299707e-05,4.490044989324816e-06,1.2361548483371736
priorregion1_spot_24,3.139806403851253e-06,4.370809460851889e-06,4.386685617419062e-07,7.541098966612481e-07,0.030688931327313186,0.00019593476681620814,2.0190466602798552e-05,1.3798015236854553
priorregion1_spot_25,7.889258597515437e-07,1.4481808022992483e-06,2.211250439643209e-07,4.421646849550598e-07,0.0003566504077753052,4.872586055171269e-06,1.1684595449423795e-06,0.9151645451784134
priorregion1_spot_26,1.9962388478234063e-06,6.481324771812069e-06,5.129043387341881e-07,6.442906624215539e-07,1.5955133403622312e-05,7.279941746674012e-06,1.2143972662670423e-05,1.3297470211982727
priorregion1_spot_27,1.1973352286531736e-06,2.1668356794180003e-06,4.848671494528389e-07,9.042619211641068e-07,0.00011229230658500456,2.5908078441716503e-06,3.1551328333989666e-06,0.9482919365167617
priorregion1_spot_28,0.00015247818519128486,0.0009776965656783433,1.2474843970267103e-06,1.0414874304842673e-05,1.4198526696418415e-05,5.232815146882786e-06,1.312815624032737e-06,1.0861006796360015
priorregion1_spot_29,0.00026854714087676257,0.007316991547122598,1.657194064819123e-06,1.1536383271959495e-05,0.0008403936983086168,0.0007794700242811813,8.680958817421924e-05,1.3287707924842835
