	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.00016453028	1.0601967e-07	0.9997373	9.678782e-05	5.0997684e-08	1.17732036e-07	5.8852784e-08	9.649716e-07
priorregion1_spot_2	2.231967e-07	2.9759437e-07	0.99999917	7.872886e-08	4.3635644e-08	7.475028e-08	4.8204022e-08	4.956812e-08
priorregion1_spot_3	3.4826422e-07	4.2614465e-07	0.99999875	7.7280205e-08	1.102903e-07	7.419171e-08	9.6940106e-08	3.2122063e-08
priorregion1_spot_4	1.4518363e-07	6.216826e-08	0.9970787	6.5422796e-08	1.2459174e-05	2.9963843e-07	0.00290822	1.9454951e-08
priorregion1_spot_5	3.6370645e-07	1.1789174e-07	0.99914175	0.00085740007	1.4548455e-07	7.491836e-08	1.1479838e-07	9.03192e-08
priorregion1_spot_6	1.65592e-07	3.283885e-07	0.99996525	3.8669046e-07	1.5661368e-07	3.360505e-05	1.0054506e-07	4.1550464e-08
priorregion1_spot_7	1.5129015e-07	9.4236825e-08	0.99999887	3.2842323e-07	7.619205e-08	1.8316226e-07	6.546494e-08	1.8561578e-07
priorregion1_spot_8	6.1569445e-08	4.70973e-08	0.9998085	2.7684285e-07	6.2007146e-08	5.083959e-08	0.00019095837	2.861209e-08
priorregion1_spot_9	0.011289709	2.3127245e-07	0.9886964	1.7691343e-07	2.1443537e-07	3.3278334e-07	1.2806203e-05	1.4064587e-07
priorregion1_spot_10	9.80177e-08	5.995223e-08	0.9592836	1.4892376e-07	0.040715892	7.484637e-08	5.2274377e-08	5.9151006e-08
priorregion1_spot_11	2.352446e-07	0.001004912	0.99899423	3.3974982e-07	4.7671417e-08	8.1284135e-08	1.148221e-07	2.3830117e-08
priorregion1_spot_12	5.140052e-07	1.2062169e-07	0.9998317	0.00016736868	7.144203e-08	1.4654444e-07	1.0451943e-07	2.1928262e-08
priorregion1_spot_13	1.0049002e-06	2.4866782e-07	0.9855081	2.774904e-07	0.0014813954	0.0130081475	8.0062574e-07	1.06844794e-07
priorregion1_spot_14	7.226783e-07	4.0924792e-07	0.99999803	3.8073537e-07	1.7510251e-07	1.3155805e-07	2.0722716e-07	3.5179095e-08
priorregion1_spot_15	5.399507e-07	1.16841925e-07	0.99999857	3.2014265e-07	1.08574376e-07	1.1923551e-07	1.5321712e-07	7.115717e-08
priorregion1_spot_16	1.7597048e-07	1.2204842e-07	0.99769664	1.510407e-07	1.3551107e-07	0.002302432	9.4681496e-08	2.3013044e-07
priorregion1_spot_17	8.607745e-08	0.00034157376	0.9992853	0.00037275392	1.5184567e-07	1.3804289e-07	6.6903425e-08	1.9117488e-08
priorregion1_spot_18	1.1286204e-06	2.019296e-07	0.9999975	5.239675e-07	1.206081e-07	2.2107822e-07	2.9449234e-07	7.123293e-08
priorregion1_spot_19	6.2433696e-07	1.3945146e-07	0.9999971	5.5110775e-07	8.565658e-07	1.2451876e-07	7.437658e-07	3.637799e-08
priorregion1_spot_20	0.00030061402	1.9037822e-07	0.99873954	1.1106686e-07	0.0009592432	1.1150102e-07	8.4775905e-08	7.784725e-08
priorregion1_spot_21	7.353893e-08	4.8802857e-08	0.9999987	1.4621652e-07	1.0850663e-07	7.6225405e-08	8.7486177e-07	2.5203326e-08
priorregion1_spot_22	8.876939e-08	4.844717e-08	0.9999994	1.671878e-07	5.0775334e-08	9.681381e-08	1.0419589e-07	3.1735112e-08
priorregion1_spot_23	1.3167518e-07	8.445592e-08	0.9994298	4.9790265e-07	4.6938226e-08	1.2017063e-07	6.5866836e-08	0.0005692255
