,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.0004384401458082721,0.00015685343023505994,0.7277740359306336,0.0034701847122050825,0.004317214852198959,4.516289782524109,0.0005541520105907694,0.0007769261486828327
priorregion1_spot_2,0.022355046588927507,0.000193143573415,1.6131118655204773,0.0034310893272049728,0.010228475788608193,2.090907573699951,0.00996061498299241,0.002371802437119186
priorregion1_spot_3,0.00972860143519938,1.5122287913982295e-05,1.8211275517940522,9.328221894975285e-05,0.005746586713939905,1.7512914419174195,0.0020764253218658268,0.0009223013708833605
priorregion1_spot_4,8.687109266247717e-06,0.001347491575870663,0.6360447824001312,5.675348734257569e-06,0.0017466279969085008,0.4549772396683693,1.1914443291516366e-06,1.5817931924289043e-07
priorregion1_spot_5,0.005965820397250355,0.0012556808185763657,1.9567595899105072,1.4394257641470177e-05,0.01637445976957679,1.7532538056373597,5.8204528795613444e-05,0.0016008422418963165
priorregion1_spot_6,1.0245542512166141e-06,0.0002759843526291661,1.339267325401306,2.0685318031610222e-05,2.5653713123574565e-06,0.004091874905861914,3.166373218732588e-07,3.378730237812988e-08
priorregion1_spot_7,0.004635803448036313,0.00010405757639091462,1.115492182970047,0.00028210064920131117,0.0061924396315589545,4.507575058937073,0.0007533968921052292,0.002286289224866778
priorregion1_spot_8,3.2358299540646834e-05,0.000338481787184719,1.2320514380931855,7.772166691211169e-06,0.01826084004715085,0.6926420658826828,2.4449511147395243e-05,9.767214692146809e-07
priorregion1_spot_9,0.0031593731953762473,1.4217241096048383e-05,1.774020755290985,0.0030481641180813315,0.0035323203424923125,1.4308444499969484,0.0008662263513542713,0.001104422053322196
priorregion1_spot_10,9.606394587535763e-06,0.013870443124324084,2.7625356912612915,0.0068116209935396915,0.00021300826047081502,0.5764924943447113,1.0406572255305949e-05,0.0017095532733947037
