	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	4.249131e-08	3.5572246e-08	0.14649862	6.5406915e-08	1.4323962e-07	3.326693e-08	7.14055e-08	0.853501
priorregion1_spot_2	0.0005039076	7.5212995e-08	0.6339607	0.0051422794	9.474076e-08	0.000102099	5.5926947e-08	0.3602907
priorregion1_spot_3	9.352119e-08	1.3480596e-07	1.2585458e-08	1.818257e-08	4.4643225e-06	0.00029515973	1.7982908e-08	0.99970007
priorregion1_spot_4	0.0021469276	7.8228027e-07	0.16797212	0.0050463257	2.5800512e-07	1.1994459e-06	1.0158869e-07	0.8248323
priorregion1_spot_5	0.0021324807	7.548125e-08	0.18156773	1.0592232e-07	4.3596174e-08	6.5696106e-08	0.00027094083	0.81602854
priorregion1_spot_6	2.6302038e-08	1.7726615e-08	0.2921296	8.0920664e-08	4.276967e-08	5.14531e-08	2.737891e-08	0.7078702
priorregion1_spot_7	0.00063653436	3.4957833e-07	0.10596264	1.3977602e-07	3.8190837e-08	7.665197e-08	0.00044814617	0.8929521
priorregion1_spot_8	3.574887e-07	3.302632e-07	0.050478645	5.0426284e-08	1.3680454e-05	1.4655593e-05	0.0008783298	0.94861394
priorregion1_spot_9	7.0355846e-08	9.612116e-08	0.13799933	7.8475466e-08	2.4246296e-07	7.089487e-08	0.0008779298	0.8611222
priorregion1_spot_10	1.3564488e-07	1.2417348e-07	0.25307527	7.459065e-07	1.14681455e-07	6.481678e-08	8.3907e-08	0.7469235
priorregion1_spot_11	4.7558848e-07	1.1645892e-07	0.21070214	0.001237547	1.8720792e-07	1.1251028e-07	0.00036862577	0.7876908
priorregion1_spot_12	8.425204e-08	1.1289447e-07	0.07225525	2.7285438e-07	1.4752392e-07	4.7929493e-08	6.356572e-08	0.92774403
priorregion1_spot_13	4.310459e-08	1.8686684e-08	0.13711528	0.002363964	3.2971233e-08	4.2096e-08	1.7973825e-08	0.86052054
priorregion1_spot_14	0.00053119427	1.6911835e-07	0.07168779	3.215344e-07	3.6382542e-07	1.2366453e-07	2.8327358e-07	0.9277798
