	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	1.16805886e-07	5.9047387e-08	1.4354919e-07	0.9999994	3.7764522e-08	1.6482694e-07	6.8993195e-08	1.7745215e-08
priorregion1_spot_2	2.1795e-07	1.7647766e-07	3.5478186e-07	0.99882525	0.00062167237	0.0005520467	1.6806766e-07	1.19109075e-07
priorregion1_spot_3	1.683537e-07	1.0282724e-07	3.6359978e-07	0.99999845	1.831574e-07	4.4556612e-07	1.5449845e-07	2.7641768e-08
priorregion1_spot_4	7.5939965e-08	4.437539e-08	1.693753e-07	0.99999934	5.4219825e-08	2.2091021e-07	9.547383e-08	3.668324e-08
priorregion1_spot_5	8.0145135e-08	5.559023e-08	4.4752963e-07	0.9999988	1.2817819e-07	3.4255675e-07	6.741888e-08	4.589965e-08
priorregion1_spot_6	1.4852037e-07	1.2586511e-07	5.109192e-06	0.99999416	5.448937e-08	2.3692097e-07	1.0573984e-07	2.2678805e-08
priorregion1_spot_7	8.398953e-08	4.988245e-08	1.2089443e-07	0.9999995	5.8909524e-08	1.04879035e-07	5.419905e-08	2.223304e-08
priorregion1_spot_8	5.4863904e-07	1.5463074e-07	1.4175265e-07	0.9999986	4.781454e-08	3.430009e-07	1.278393e-07	2.2470672e-08
priorregion1_spot_9	7.61007e-08	5.1111538e-08	1.667457e-07	0.9980655	6.388798e-08	0.0019338717	2.2072487e-07	7.2315316e-08
priorregion1_spot_10	2.0837501e-07	0.0025183836	4.324101e-06	0.9956136	6.1419684e-07	4.4500132e-07	0.0018625116	3.2146808e-08
priorregion1_spot_11	1.7465891e-07	1.2976507e-07	6.980233e-07	0.999473	1.4387447e-07	0.00052557664	2.97553e-07	3.099973e-08
priorregion1_spot_12	1.8272277e-07	9.3406676e-08	1.647856e-07	0.9999991	7.1536526e-08	2.2331416e-07	1.4299022e-07	3.1744648e-08
priorregion1_spot_13	1.0444003e-07	9.027882e-08	1.3704596e-07	0.9973759	0.0026227129	3.856021e-07	5.4131823e-07	7.891297e-08
priorregion1_spot_14	2.244484e-07	9.543801e-08	0.00011363454	0.99988544	9.205684e-08	3.5356373e-07	8.9065324e-08	4.2460552e-08
priorregion1_spot_15	0.0031256913	5.159914e-07	1.3534549e-07	0.99486196	6.193989e-08	1.3712673e-07	0.0020115385	3.29791e-08
priorregion1_spot_16	1.9743777e-07	1.3224255e-07	5.7288156e-07	0.99467015	9.885532e-08	0.002023032	0.0033058529	2.5197858e-08
priorregion1_spot_17	9.771334e-08	1.07017385e-07	2.4406282e-07	0.999999	6.211077e-08	2.7461294e-07	1.9299756e-07	4.517031e-08
priorregion1_spot_18	2.4639644e-07	6.110427e-08	6.7226935e-08	0.9935098	0.006489696	1.4732908e-07	5.2782195e-08	2.4316572e-08
priorregion1_spot_19	1.5351316e-07	1.0532755e-07	0.00075895526	0.99923635	3.6605336e-06	1.6093465e-07	5.379936e-07	8.786745e-08
priorregion1_spot_20	2.6923203e-07	0.0024995496	1.5901928e-07	0.99749506	1.08544434e-07	4.673574e-06	1.349306e-07	3.254454e-08
priorregion1_spot_21	8.2566046e-08	5.5808183e-08	2.9882278e-07	0.9999983	5.1957677e-08	1.2036437e-06	1.08625265e-07	4.8770506e-08
priorregion1_spot_22	0.004881489	9.673574e-08	5.9408995e-07	0.9939231	3.4950057e-07	0.0011939715	1.1061554e-07	2.8182e-07
