,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,9.720807211124338e-05,2.993082434841199e-05,1.6433182835578917,2.598362698336132e-06,0.00017592581716598942,1.4864344711895684e-05,1.2116364871417318e-06,0.00023011946395854466
priorregion1_spot_2,3.455037631283631e-06,1.1353735408192735e-05,1.0633245408535004,0.0003048824190045707,0.006419474654830992,1.9181119932909498e-05,4.160338176006917e-05,2.2489529897029573e-06
priorregion1_spot_3,1.1224027161915728e-06,2.0777547092620806e-06,1.165311801433563,0.005374563345685601,0.002393202157691121,4.28041841587401e-05,0.00018058292625937612,4.459978608650772e-08
priorregion1_spot_4,0.009565206849947572,3.109968893113546e-05,1.0522296845912933,2.7906569357583066e-06,0.0028868825058452788,1.2799209230252018e-06,4.773026921611745e-06,9.796973529319076e-07
priorregion1_spot_5,0.000418979192909319,0.00023060233725118452,0.9934660583734513,3.0517647360284172e-06,3.786580837186193e-05,6.42511389514766e-07,0.00011505048787512351,4.15554755818448e-05
priorregion1_spot_6,1.3397259272096564e-05,0.006673224386759102,1.889977616071701,1.209621236739622e-05,0.005525296670384705,0.0011686528741847724,0.002054052473977208,0.00011597118464123925
priorregion1_spot_7,1.602364263817435e-05,0.003500482439994812,1.6916771948337554,5.00256353916484e-05,0.009537235181778668,7.414466417685617e-05,8.102475148916711e-05,9.863817467703484e-05
priorregion1_spot_8,0.00018730525989667511,0.005859896237961948,0.6913895159959793,0.00010547125057200902,0.006130873830989003,1.5960707878548418e-05,0.0005485721136210487,4.778460952366004e-05
priorregion1_spot_9,2.461602070980007e-05,8.005882682482479e-06,1.5731363952159882,2.205712053182651e-06,0.006309540569782257,0.0012006035016383977,6.619993399681335e-07,8.31072651408249e-07
priorregion1_spot_10,7.3095120114885505e-06,0.0002409175933280494,1.2060716927051545,1.6374631570670317e-06,0.006884382758289576,8.840871741995215e-05,3.3262240037856824e-07,2.70213097053329e-07
priorregion1_spot_11,0.0010345247224904596,7.642483365088992e-06,1.5924971103668213,4.87167659230181e-05,0.0007012671558186412,9.957596121239478e-05,0.00013234017314971424,0.0011537869344465435
priorregion1_spot_12,6.864148017484696e-05,5.570923949562712e-05,1.3235319554805756,6.081779224587081e-06,0.005496413609944285,0.00039003711717668923,7.442570449711639e-06,2.5085075685638005e-05
priorregion1_spot_13,0.005430881585925818,3.867086270474829e-05,2.1174890637397765,0.0004524649993982166,0.002291115582920611,0.0015932544192764908,0.005387815064750612,9.85814509476768e-05
priorregion1_spot_14,5.358440660074848e-07,1.2651407359953737e-05,1.4087355732917786,6.829652807027742e-06,0.004652155074290931,1.3054989267402561e-05,2.704096414163359e-06,2.745947966786844e-07
priorregion1_spot_15,0.0015696148970164357,3.242683851567563e-05,1.192546510696411,0.0016481329570524395,2.6059196898131635e-05,1.3430413491732907e-05,3.1044142087921496e-05,6.619800005864819e-05
priorregion1_spot_16,0.0042545625939965255,4.515793148129888e-06,1.6098030626773836,5.114005284667655e-06,0.00026608485786709933,0.0002821203845087439,2.730580229126645e-06,4.419406250235625e-05
priorregion1_spot_17,0.0014099035179242492,0.0004987804393749684,1.644858729839325,0.000620420032646507,0.06677591651678084,0.0005548265820834785,0.00037225854903226717,0.0004721362711279653
priorregion1_spot_18,6.265017509576865e-06,2.172739023080794e-05,1.1112454652786254,1.1844913615277619e-05,0.0009408052632352337,0.0017738066555466503,1.0374586622674542e-06,0.0001065721495251637
priorregion1_spot_19,0.0018103017238900066,6.63098271616036e-06,1.7632333278656005,7.324820544454269e-05,4.6014178951736544e-05,0.028558084182441233,0.0005756355123594403,1.3817703666063609e-05
priorregion1_spot_20,3.2275111266244496e-06,0.00011980489252891858,0.9718000024557113,1.102357791751274e-05,0.00022223405467229897,9.0575037029339e-05,6.815196938987355e-05,2.1792079587612536e-05
priorregion1_spot_21,0.0022907620295882225,2.5204670419043395e-05,1.3971688807010652,0.00030861837440170347,0.0011181117093656211,0.00012004134514427279,8.810245731183387e-07,0.00024682240473339334
priorregion1_spot_22,3.677723884720763e-06,2.4172636494768087e-05,1.1269456386566161,0.005719667044468224,0.007831641659140586,0.036761144734919066,1.3700951797090964e-06,1.983482582090801e-06
priorregion1_spot_23,1.1558669712030678e-05,1.643964023969602e-05,0.8760583519935607,8.47117257762875e-06,1.8320639082958223e-05,5.908231543116926e-07,1.637382155195155e-06,7.880788999159449e-08
priorregion1_spot_24,6.238970890990459e-05,2.067035757136182e-05,1.6796910226345063,0.0002872100521926768,0.010920686507597565,1.5127722235774855e-06,0.00010632871817506384,2.6702058676164597e-05
priorregion1_spot_25,9.203940635416075e-06,1.8764411379379456e-06,1.4608381032943727,5.682885375790647e-06,3.4860499908973e-05,0.0013994394161272793,1.4998804817878409e-05,0.000588319351663813
priorregion1_spot_26,6.157842653919943e-05,3.373994186404161e-05,1.2811230301856993,0.0033809368731454017,0.007391061261296273,0.0004230585778714158,0.0010652706201653929,1.0358321389958293e-06
priorregion1_spot_27,1.8191371782450006e-05,1.662028435021057e-05,1.567104595899582,0.0007442351256031543,0.01589062074199319,8.067321203952816e-07,0.0001207314675411908,4.451698472962562e-07
