	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.0071975044	1.3461549e-07	1.6096595e-07	5.8985098e-08	0.4154669	0.00044297628	4.617314e-07	0.5768918
priorregion1_spot_2	4.8442608e-08	6.6309724e-08	3.3832425e-08	1.9908015e-08	0.019794265	3.4216672e-08	3.038304e-08	0.9802055
priorregion1_spot_3	5.6188608e-08	2.4797165e-08	3.5471217e-08	2.0927464e-08	0.030103127	2.252238e-08	2.4031738e-08	0.9698967
priorregion1_spot_4	2.119218e-08	2.0525109e-08	4.044634e-08	1.9309255e-08	0.18230213	2.6828785e-08	4.993646e-08	0.8176977
priorregion1_spot_5	2.2499918e-08	1.98754e-08	2.5003777e-08	1.4856186e-08	0.24447605	2.8012321e-08	7.745324e-08	0.7555238
priorregion1_spot_6	3.5418235e-08	3.6158465e-08	3.583717e-08	1.518273e-08	0.065412976	5.4902298e-08	0.00079622975	0.9337906
priorregion1_spot_7	2.9357702e-07	0.0023783199	5.998583e-08	2.3990612e-08	0.08260932	5.6570585e-08	4.8133224e-08	0.91501194
priorregion1_spot_8	4.2638646e-08	5.2003827e-08	3.445984e-08	0.00043695114	0.38696995	0.00066768826	0.00068499264	0.61124027
priorregion1_spot_9	2.4136368e-08	3.3390823e-08	3.3083772e-08	3.3363353e-08	0.15098992	1.586372e-07	4.7287514e-08	0.84900975
priorregion1_spot_10	4.6924992e-08	6.2173605e-08	7.551419e-08	3.835362e-07	0.04993828	3.6270894e-08	0.0027807707	0.94728035
priorregion1_spot_11	9.253922e-08	1.9337281e-07	6.896243e-08	2.1712891e-08	0.09072079	0.00012303384	0.0026902002	0.9064656
priorregion1_spot_12	2.006823e-08	1.7584034e-08	2.0812704e-08	5.2934958e-08	0.11387925	5.1887003e-08	4.2107786e-08	0.88612056
priorregion1_spot_13	7.028897e-08	3.3960525e-08	2.763443e-08	9.38597e-08	0.07858792	3.6048675e-08	4.5206523e-08	0.9214118
priorregion1_spot_14	4.6603578e-08	6.54843e-08	2.0101286e-08	0.00018687203	0.15262061	5.2743516e-08	4.1913303e-08	0.84719235
priorregion1_spot_15	3.056791e-08	4.449015e-08	0.0019003432	1.3364195e-08	0.092037104	6.042244e-08	3.7993516e-08	0.90606236
priorregion1_spot_16	1.5809626e-07	7.8083474e-08	4.3511157e-08	6.6528806e-08	0.9999992	1.1655596e-07	9.129539e-08	2.6450252e-07
priorregion1_spot_17	1.7380397e-07	1.4114137e-07	8.572896e-08	4.1635545e-08	0.14580926	9.2508905e-08	0.0022949022	0.8518953
priorregion1_spot_18	5.0074192e-08	7.1018746e-08	4.0437118e-07	0.0003733026	0.08513299	1.817115e-08	8.294607e-08	0.9144931
priorregion1_spot_19	3.633251e-08	3.026408e-08	1.5859483e-08	3.1262424e-08	0.3047311	2.233593e-08	5.7415722e-08	0.69526875
priorregion1_spot_20	3.8386837e-08	3.3107195e-08	1.1567113e-07	0.0021676784	0.08031951	3.058478e-08	1.911947e-08	0.9175126
priorregion1_spot_21	5.0494847e-08	4.218027e-08	0.00035337257	2.8146035e-06	0.99964267	6.689677e-08	6.129152e-07	3.115912e-07
priorregion1_spot_22	1.3353274e-07	1.4015102e-07	3.189402e-08	3.034096e-08	0.27238885	4.8311193e-07	1.7146901e-07	0.72761023
priorregion1_spot_23	3.0273938e-08	2.761276e-08	7.625925e-08	2.8425772e-08	0.038338553	6.411577e-08	5.3497875e-08	0.96166116
priorregion1_spot_24	4.0191317e-08	3.852172e-08	3.4760554e-08	0.0004897389	0.04365752	4.7639755e-08	7.77302e-08	0.95585245
priorregion1_spot_25	3.148089e-08	2.0777753e-08	2.762028e-08	2.9172575e-08	0.015559716	3.192731e-08	1.7190114e-08	0.98444015
priorregion1_spot_26	4.1767787e-08	4.7592867e-08	1.998694e-08	1.1680881e-08	0.36855623	0.0006572058	3.9788534e-07	0.63078606
priorregion1_spot_27	1.00380845e-07	0.0024846648	4.942422e-08	3.089183e-08	0.20518962	3.2766444e-08	2.2906942e-08	0.79232544
