	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.006527852	0.029989904	4.7538357e-08	2.5636716e-08	0.013587433	8.71783e-07	0.07743587	0.87245804
priorregion1_spot_2	4.7244607e-06	0.4956657	0.000603363	6.821628e-08	5.49609e-07	5.330668e-07	0.5037246	4.955859e-07
priorregion1_spot_3	4.874762e-07	0.003056496	8.745039e-08	0.00071097584	1.3802729e-07	3.0410035e-06	0.99622875	3.0623767e-08
priorregion1_spot_4	4.621686e-07	0.13587414	0.00028348182	0.0011883083	2.662755e-07	1.2090585e-07	0.085066825	0.77758634
priorregion1_spot_5	2.0030541e-07	0.1046835	5.8848368e-08	0.0006514973	0.0080608055	0.0032372007	1.4746274e-07	0.8833665
priorregion1_spot_6	1.5526872e-07	0.038555227	4.1000266e-08	0.00012836259	6.363054e-07	2.839004e-07	0.38427547	0.5770398
priorregion1_spot_7	2.0551555e-07	0.07098863	3.9386865e-08	4.247074e-08	0.00046429102	0.0040148236	0.067023456	0.85750854
priorregion1_spot_8	7.598102e-08	0.033626165	3.491988e-08	4.257487e-08	0.022201909	6.7358036e-07	4.2609818e-07	0.94417065
priorregion1_spot_9	0.03976646	0.35958135	3.2611066e-08	4.1092076e-08	5.190334e-08	3.450784e-07	0.5994459	0.0012058881
priorregion1_spot_10	5.5485884e-08	0.07009745	2.0896882e-08	1.8673026e-08	0.00015055758	0.0024986744	1.4481505e-07	0.92725307
priorregion1_spot_11	2.1312314e-06	0.4688679	4.1449732e-07	9.3057764e-08	1.4078068e-06	0.0017272963	0.5294007	4.01049e-08
priorregion1_spot_12	1.3384194e-07	0.17397802	0.00063684356	3.75393e-08	1.4934266e-06	7.0185496e-07	0.099379376	0.72600335
priorregion1_spot_13	1.5312372e-07	0.041299906	3.507552e-08	5.637509e-08	3.8770028e-07	3.3396287e-08	0.14604874	0.8126506
priorregion1_spot_14	8.1872415e-08	0.040451996	0.0005863813	3.9653273e-08	1.6015657e-07	2.2827896e-07	0.19805506	0.760906
priorregion1_spot_15	3.2697847e-07	0.12173472	4.8622496e-08	3.7343888e-08	1.7722169e-06	1.6209057e-07	0.1016266	0.7766363
priorregion1_spot_16	2.9858316e-07	0.2066092	1.17590886e-07	0.002030637	0.009724113	0.003901083	0.089984395	0.68775016
priorregion1_spot_17	0.008951722	0.10470763	6.434432e-08	3.0621393e-07	2.1462469e-05	1.547552e-07	0.09227831	0.7940403
priorregion1_spot_18	4.4147573e-06	0.6147847	0.00072200247	6.552477e-08	1.2670287e-07	2.0552642e-07	0.38448837	1.2233768e-07
priorregion1_spot_19	4.2565183e-08	1.3136207e-07	3.0067376e-08	2.6761008e-08	8.50765e-07	3.442112e-08	0.11587622	0.88412267
priorregion1_spot_20	6.9036682e-06	0.9999919	3.4602294e-08	6.4764954e-08	1.0288544e-07	9.388167e-07	1.3232302e-07	2.4580432e-08
priorregion1_spot_21	5.4408623e-08	7.2427724e-08	4.753923e-08	0.0011152003	0.0071667205	8.12873e-08	0.18245064	0.80926716
priorregion1_spot_22	9.2764296e-08	1.3935994e-07	4.0454122e-08	0.0019292386	0.02197226	5.4318946e-08	0.07287712	0.90322113
priorregion1_spot_23	7.256827e-07	0.136688	0.0007142837	3.4952087e-08	0.0045990883	3.4796463e-07	0.043615896	0.81438166
priorregion1_spot_24	3.719593e-07	0.15186192	9.003438e-08	0.0009716113	1.0130685e-06	0.0025628947	0.43230784	0.4122943
priorregion1_spot_25	7.1677073e-06	0.7214873	1.426934e-07	0.00041811162	0.00026427346	3.5222354e-07	0.25985414	0.017968569
