	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	2.0641835e-06	9.38796e-05	0.003986768	2.753319e-07	4.476803e-07	0.012847688	0.98306876	1.049332e-07
priorregion1_spot_2	1.1043843e-07	1.5498112e-07	0.38380626	0.02805761	9.582227e-08	1.5093676e-06	0.5881343	5.4029712e-08
priorregion1_spot_3	7.297799e-07	2.4820298e-07	0.005532959	1.6946433e-05	1.780723e-06	1.0386307e-06	0.9944462	8.940676e-08
priorregion1_spot_4	0.021899763	9.0135876e-07	0.00084552035	0.008423019	9.517657e-07	0.008833296	0.95999646	7.359017e-08
priorregion1_spot_5	9.003547e-08	1.2000015e-07	1.6650424e-07	1.2569614e-06	1.5763574e-07	8.4495736e-07	0.9999973	4.7022873e-08
priorregion1_spot_6	1.1620181e-07	1.2668936e-07	0.00092194235	4.7462498e-07	1.4157227e-07	3.7194573e-06	0.9990733	6.673346e-08
priorregion1_spot_7	1.12254895e-07	9.366006e-08	0.0004175026	3.0410106e-07	8.0231764e-08	2.653776e-07	0.9995816	5.4153436e-08
priorregion1_spot_8	2.856365e-07	2.8867206e-07	5.363392e-07	5.7485994e-07	0.0010079845	0.0077812998	0.99120885	1.6788124e-07
priorregion1_spot_9	6.3172104e-07	5.6778514e-05	0.28386992	0.004201132	0.0020122863	0.012320178	0.6975388	1.7965638e-07
priorregion1_spot_10	4.4957355e-06	4.4654232e-07	5.987679e-07	1.7186228e-07	0.01569054	0.018678745	0.9585943	0.0070306663
priorregion1_spot_11	0.0010888183	4.272208e-07	0.46461606	0.012666323	3.6785232e-07	0.00011850008	0.5215093	1.2748704e-07
priorregion1_spot_12	3.2592237e-07	3.143586e-07	1.7791926e-07	0.0014795195	0.0013698188	2.9800287e-05	0.99711996	4.528474e-08
priorregion1_spot_13	1.5207132e-07	1.361871e-07	2.3903263e-07	2.671339e-07	3.6355308e-07	3.8688682e-07	0.9999983	2.3144305e-07
priorregion1_spot_14	0.006776245	5.8871915e-06	0.31658113	0.012007087	3.1078596e-07	4.713329e-07	0.66462886	5.3547787e-08
priorregion1_spot_15	1.3907494e-07	1.5124714e-06	1.1077681e-07	0.005989424	0.0023735526	0.00045346576	0.99118155	2.6467595e-07
priorregion1_spot_16	4.926203e-07	4.4669324e-07	0.2785763	0.03524478	0.0064715487	3.2778755e-06	0.67970294	2.1146195e-07
priorregion1_spot_17	1.3000573e-07	2.789629e-07	0.8632193	4.458505e-07	0.015125636	0.017689673	0.10396443	6.7827685e-08
priorregion1_spot_18	5.964102e-08	5.9197095e-08	7.076742e-08	2.1170503e-07	1.5782384e-06	3.4093466e-07	0.99999756	4.271095e-08
priorregion1_spot_19	1.2131292e-07	1.17865376e-07	1.507255e-07	0.005992231	1.7650059e-07	0.0029249238	0.99108225	7.436397e-08
priorregion1_spot_20	2.0491504e-07	9.1726963e-07	1.1737425e-07	1.2778202e-07	5.125374e-06	0.0006035664	0.9993889	1.0494125e-06
priorregion1_spot_21	1.5508235e-07	1.826744e-07	5.8702335e-05	0.0015333919	1.13613915e-07	2.3190468e-07	0.99840677	4.6578836e-07
priorregion1_spot_22	4.812955e-06	1.8335835e-07	3.6342072e-07	0.0013738965	4.570952e-07	2.1565054e-06	0.9986181	4.3816897e-08
priorregion1_spot_23	1.8107274e-07	1.9992976e-07	1.42953e-07	8.648951e-07	0.007724874	1.2393639e-06	0.9922724	1.1314737e-07
priorregion1_spot_24	1.034735e-07	9.84297e-08	0.1860715	2.8843044e-07	2.4607095e-07	0.0032173663	0.8107103	8.9564665e-08
