	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.02089252	0.9721274	0.00267899	0.0017065483	0.00012226707	0.0019583674	0.00051361596	3.4127325e-07
priorregion1_spot_2	0.12723291	0.8724977	6.3482855e-07	3.5259572e-07	4.8765304e-07	3.0521667e-07	0.00026748545	4.705995e-08
priorregion1_spot_3	0.01110961	0.98888916	1.4204252e-07	4.475517e-08	1.4812838e-07	2.4769716e-07	5.90182e-07	3.6182623e-08
priorregion1_spot_4	0.05201914	0.9479782	3.3155965e-07	1.4139274e-06	1.6233581e-07	1.3439504e-07	5.445323e-07	1.14222836e-07
priorregion1_spot_5	0.10754846	0.89119595	1.2391953e-07	0.0012545331	2.0064032e-07	2.0118486e-07	4.7224523e-07	1.5051107e-07
priorregion1_spot_6	0.005636664	0.9844689	1.065976e-07	0.0019436975	1.03938675e-07	0.007948449	1.9860947e-06	2.3839217e-08
priorregion1_spot_7	0.059263006	0.94073623	1.7134577e-07	8.4760806e-08	9.827635e-08	1.8454863e-07	1.4658106e-07	3.1115455e-08
priorregion1_spot_8	0.022551203	0.9744867	1.5053396e-07	1.2646053e-07	1.433775e-07	0.001059917	0.001901747	2.7252504e-08
priorregion1_spot_9	0.037875354	0.96143436	2.0728527e-07	0.0006897855	1.3277449e-07	1.0863155e-07	1.1830001e-07	3.2085726e-08
priorregion1_spot_10	1.4013545e-05	0.999985	1.3384553e-07	8.5062155e-08	8.815354e-08	2.4054765e-07	2.5540407e-07	7.382377e-08
priorregion1_spot_11	0.14354037	0.85470617	1.9727776e-07	6.96831e-08	8.411636e-08	0.0017530838	1.07790804e-07	2.459396e-08
priorregion1_spot_12	0.22719535	0.77280354	3.991811e-07	1.3172782e-07	6.918088e-08	1.8147486e-07	2.9630613e-07	2.7139546e-08
priorregion1_spot_13	0.032475293	0.96752405	1.8635667e-07	5.38545e-08	8.947085e-08	1.0336483e-07	1.7650135e-07	2.1305897e-08
priorregion1_spot_14	4.4730215e-05	0.99950796	1.6053984e-07	2.628419e-07	0.0004464545	1.6288331e-07	1.8065963e-07	1.2290609e-07
priorregion1_spot_15	0.04145413	0.9529251	0.00060672866	0.0014899047	4.5713855e-07	4.011299e-06	0.0035195833	1.0351635e-07
priorregion1_spot_16	0.099206544	0.8996686	2.4836183e-07	8.3555484e-08	1.0407753e-07	1.6593859e-07	0.0011240374	2.821513e-07
