	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	4.6005625e-05	6.741863e-06	0.86498827	0.10414766	9.907279e-06	0.01559145	0.015209871	1.9327337e-07
priorregion1_spot_2	0.12409172	0.0062647536	0.7166684	0.10641671	0.0009831464	0.014694334	0.030880425	4.5728024e-07
priorregion1_spot_3	0.0006947217	2.3487137e-06	0.9010786	0.08376839	0.002191429	0.011086389	0.001177789	3.1612447e-07
priorregion1_spot_4	5.8130736e-05	0.0057996404	0.94303507	0.028779237	1.3274373e-05	0.010331309	0.011982774	7.369836e-07
priorregion1_spot_5	0.11347586	2.9846844e-06	0.7816029	0.08346618	0.0028564504	0.010468562	3.864494e-06	0.008123099
priorregion1_spot_6	0.12172028	0.01627425	0.74869204	0.07498072	0.002330463	0.0141867865	0.021815058	3.9868956e-07
priorregion1_spot_7	0.0006351172	0.007352288	0.78911215	0.17935228	0.008153869	0.007932819	0.007461085	3.2474907e-07
priorregion1_spot_8	0.2300115	0.112020805	0.5789165	0.057521593	0.005369124	0.0061687906	0.00882823	0.0011634374
priorregion1_spot_9	0.2868242	0.04553296	0.57851845	0.07488622	0.008117347	1.5641235e-06	0.0061191237	1.4593593e-07
priorregion1_spot_10	0.008338704	0.003131838	0.9341992	0.041236863	3.7839328e-07	0.00701954	0.0060734223	1.0023305e-07
priorregion1_spot_11	0.014657406	3.6513152e-06	0.9226653	0.04604795	1.4529545e-06	0.009275767	0.0041506207	0.0031978055
priorregion1_spot_12	0.11307397	9.052323e-06	0.83653563	0.050227847	1.3736511e-06	2.514759e-06	0.00014949685	1.0491995e-07
priorregion1_spot_13	2.522027e-06	2.441961e-07	0.9113661	0.086124256	2.1599019e-05	5.230999e-06	7.821126e-06	0.0024722205
priorregion1_spot_14	0.015253353	6.267761e-06	0.90090066	0.05717359	0.0074857776	0.0020030874	0.014588255	0.0025890537
priorregion1_spot_15	0.0005858275	2.153383e-06	0.8666149	0.11515807	0.002666276	1.4906825e-06	0.0149711855	8.024673e-08
priorregion1_spot_16	1.0469997e-05	3.2834137e-07	0.8966492	0.09276585	3.4584195e-07	3.5506177e-06	0.010570236	7.2337336e-08
priorregion1_spot_17	0.0010823975	1.8203351e-06	0.80274194	0.18577999	1.1576711e-05	0.006677063	0.0037048867	3.1718494e-07
priorregion1_spot_18	0.1466067	0.00011850256	0.73952	0.09075241	0.0041232924	0.0118151475	0.0070635066	3.3661294e-07
priorregion1_spot_19	0.20621611	0.059816927	0.6585797	0.023187034	0.0022556966	0.01651045	0.018970242	0.014463974
priorregion1_spot_20	0.0016679639	8.916521e-07	0.887566	0.0988096	4.3392467e-07	0.011938695	1.6305512e-05	6.259505e-08
priorregion1_spot_21	0.14898169	0.011841521	0.69778585	0.064683035	0.04844852	0.01379783	0.014457486	4.0687996e-06
priorregion1_spot_22	0.008802027	0.00050253596	0.9398211	0.018154198	0.016276268	0.015332257	0.0011114214	3.9328344e-07
priorregion1_spot_23	0.0034874803	5.8119053e-06	0.93238616	0.059501186	0.0037709528	2.3669443e-05	0.0008246277	1.3461776e-07
priorregion1_spot_24	0.010508232	1.8723324e-06	0.825865	0.09221899	7.4766774e-07	0.018021826	0.053383257	8.5992276e-08
priorregion1_spot_25	0.0018496917	1.5115008e-06	0.8756035	0.11779609	0.0010475991	1.6716433e-06	0.003699726	2.3382712e-07
priorregion1_spot_26	2.1076329e-07	6.038388e-07	0.9073382	0.08900208	3.7116695e-07	0.0036247151	3.3574113e-05	1.8570576e-07
priorregion1_spot_27	0.3853133	0.06716139	0.5423089	6.5892928e-06	0.0052029192	1.2872914e-06	5.3685e-06	3.0433478e-07
priorregion1_spot_28	0.31388167	0.18934035	0.39593175	0.07081777	0.011513789	0.013584636	0.004928928	1.1374483e-06
priorregion1_spot_29	0.1926051	0.0067235418	0.6902343	0.07870373	0.009822672	0.009276312	0.012633085	1.2892773e-06
priorregion1_spot_30	6.446195e-07	2.8621258e-07	0.8700497	0.09479772	3.057224e-05	0.010617494	0.024503507	8.008958e-08
priorregion1_spot_31	0.017027032	0.012283337	0.8945568	0.024761938	0.033799596	0.017567236	3.8535877e-06	1.3920412e-07
priorregion1_spot_32	1.950902e-06	3.13297e-06	0.9208182	0.06628039	5.346959e-07	0.012871041	2.4415205e-05	2.51192e-07
priorregion1_spot_33	1.0770643e-05	4.941121e-07	0.8655069	0.10072514	0.00037054604	0.02669366	0.004156703	0.0025358156
priorregion1_spot_34	3.40351e-05	2.616248e-06	0.9109349	0.07765799	1.8978968e-06	0.007043121	0.0019704592	0.0023548547
priorregion1_spot_35	0.008577142	7.300647e-07	0.87420356	0.084608905	0.026184194	0.000115351264	0.0063097607	2.4933155e-07
priorregion1_spot_36	0.18192674	0.0013015836	0.7223424	0.06160168	0.011630063	0.01195601	0.009240876	6.8375e-07
priorregion1_spot_37	7.276389e-05	9.720417e-07	0.9001828	0.06847617	0.0064903134	0.013744201	0.011032454	2.852502e-07
priorregion1_spot_38	4.7493827e-06	9.0574355e-07	0.9188601	0.061328426	0.00956892	0.010195574	4.1155443e-05	1.4089696e-07
priorregion1_spot_39	1.6287655e-05	3.6736214e-06	0.8555106	0.09447927	0.013586066	0.02278209	0.012450727	0.0011713571
priorregion1_spot_40	0.011387767	9.593157e-07	0.85669285	0.11897714	0.0016549203	1.4951755e-06	0.011284836	1.8703203e-07
priorregion1_spot_41	2.3361601e-05	0.014985051	0.852064	0.111108765	0.0036486352	0.018161174	8.584355e-06	3.7623695e-07
priorregion1_spot_42	0.18986881	0.016790172	0.68677014	0.075211726	1.2913587e-06	0.027565248	0.0037920447	6.0098176e-07
priorregion1_spot_43	0.00423066	0.0019101419	0.8908061	0.098183215	3.564006e-07	0.003596056	0.0012733457	1.2220963e-07
priorregion1_spot_44	0.002248232	1.8771858e-06	0.92806214	0.0679599	1.0144795e-05	1.6111262e-05	0.0001312104	0.0015702547
priorregion1_spot_45	2.124434e-06	0.002848013	0.9971296	1.2155399e-05	4.3027694e-07	1.968305e-06	5.6487456e-06	9.038617e-08
