	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.2672446	4.4154424e-07	0.00083890813	3.1918013e-08	6.599723e-08	5.3325556e-07	0.73191535	5.0246534e-08
priorregion1_spot_2	1.01336035e-07	6.6129694e-08	2.5593584e-07	0.005470151	0.005867897	7.6493967e-07	0.98866063	1.7693587e-07
priorregion1_spot_3	0.6074821	0.0028312008	1.0174302e-07	2.972558e-07	2.5117163e-07	3.8229294e-07	0.3859466	0.003738995
priorregion1_spot_4	0.43030742	8.684367e-06	5.5755686e-07	0.0011414299	1.06440034e-07	9.649244e-07	0.56854045	3.315393e-07
priorregion1_spot_5	0.23557474	5.2505743e-06	0.10194258	1.9592315e-07	1.4379606e-07	0.0017024709	0.6607746	3.239525e-08
priorregion1_spot_6	0.81422675	0.00048043925	2.8202354e-07	2.0610139e-07	1.7497754e-07	0.007557759	0.17773439	6.069981e-08
priorregion1_spot_7	0.34029073	2.1025328e-06	1.376548e-07	1.7154225e-07	3.4790483e-07	4.9057076e-07	0.6597058	1.3918607e-07
priorregion1_spot_8	0.23317538	7.5088287e-06	0.126438	7.582093e-08	1.759398e-07	1.5558054e-06	0.64037716	5.571715e-08
priorregion1_spot_9	0.24543807	0.024154445	7.3159276e-07	4.917565e-05	7.195152e-08	0.004598833	0.72575873	3.2901493e-08
priorregion1_spot_10	0.37062126	3.5129754e-06	0.23803173	1.9012279e-07	9.4610976e-07	7.4196004e-07	0.39134172	3.5520582e-08
priorregion1_spot_11	0.39112577	5.093982e-06	0.0020503865	1.4487685e-07	9.397216e-08	0.0013674092	0.60545105	4.128165e-08
priorregion1_spot_12	0.28736684	7.262196e-06	0.0005142238	0.00012572344	2.8116537e-07	0.0031299856	0.70885557	8.070323e-08
priorregion1_spot_13	0.3784404	6.6829143e-06	3.4309306e-07	1.6656205e-07	8.4481584e-08	6.660882e-07	0.62155163	2.2859771e-08
priorregion1_spot_14	0.62298375	4.9330306e-06	1.9786675e-07	0.0006412354	1.1216956e-07	2.593651e-07	0.3763693	1.6491867e-07
priorregion1_spot_15	0.4819581	0.0075963386	0.00088405056	1.2233598e-07	1.7857833e-07	0.0019513703	0.5076097	9.3260525e-08
priorregion1_spot_16	0.6479898	0.00010571108	1.1965913e-07	8.310189e-08	9.90914e-08	6.6517725e-07	0.3519034	4.459301e-08
priorregion1_spot_17	0.15140672	5.2747333e-07	1.18592894e-07	0.0006886728	1.2237618e-07	2.9966097e-07	0.84790355	2.7825976e-08
priorregion1_spot_18	0.66640633	0.000103220606	1.1727638e-07	9.0012556e-08	1.7696924e-07	9.223498e-07	0.333489	4.536937e-08
priorregion1_spot_19	0.24842708	5.837002e-07	1.6605641e-07	0.002357799	6.9495336e-08	2.8000062e-07	0.74921405	3.92307e-08
priorregion1_spot_20	0.5420429	4.3366843e-05	1.0765713e-07	2.786191e-08	0.0024179523	0.0013905092	0.45410514	3.330648e-08
priorregion1_spot_21	0.15434185	0.0013187148	2.6349875e-07	1.5563025e-07	1.0211519e-07	1.8337847e-06	0.84433705	3.3596386e-08
priorregion1_spot_22	0.6464299	4.0332612e-05	1.215893e-07	1.2866937e-07	5.7188635e-07	0.0004989705	0.35302937	6.0393927e-07
priorregion1_spot_23	0.22145353	0.012662864	1.9717572e-07	0.0015364537	1.3095944e-07	1.2413796e-07	0.7616368	0.0027100272
priorregion1_spot_24	0.36034584	4.4673638e-05	2.8283407e-07	5.980773e-08	1.3773897e-07	0.00578281	0.6338261	5.665644e-08
priorregion1_spot_25	0.4556905	2.723421e-05	2.4190462e-07	1.1374866e-07	0.0030275355	0.00019583965	0.5410583	9.879206e-08
priorregion1_spot_26	0.53577715	1.8507739e-06	3.9322364e-07	6.013812e-08	1.1410939e-07	0.008401041	0.45581934	5.0917727e-08
priorregion1_spot_27	0.0019949402	2.6194596e-07	7.956687e-08	5.5591595e-08	0.00022599504	0.0016630412	0.9961156	2.5289218e-08
priorregion1_spot_28	6.406015e-08	4.6806026e-08	0.5469179	0.00023170322	4.936418e-07	1.248138e-07	0.45284975	2.6754833e-08
priorregion1_spot_29	0.09962475	1.5435381e-06	0.23892818	0.0026173377	4.489248e-07	3.2492183e-06	0.653428	0.005396422
priorregion1_spot_30	0.79298556	0.00021303738	1.5460279e-07	0.0007980643	0.0029282393	1.3180515e-07	0.20307465	1.1821858e-07
priorregion1_spot_31	0.41126692	2.7145536e-06	7.0231005e-07	3.149554e-07	8.78159e-08	1.8572726e-07	0.5887291	3.1020665e-08
priorregion1_spot_32	0.038561106	3.1117665e-07	0.18353535	7.7557424e-08	1.0932261e-07	8.5914877e-07	0.77790207	5.33227e-08
priorregion1_spot_33	0.62451214	3.299202e-05	1.20549e-07	6.874731e-07	1.8447582e-07	0.00078875123	0.37229896	0.0023661775
priorregion1_spot_34	1.4130903e-07	1.1377657e-07	1.2914732e-07	4.4999435e-08	8.2085244e-05	1.4227888e-06	0.999916	7.056123e-08
priorregion1_spot_35	5.505409e-07	1.2026396e-07	1.00673205e-07	7.963173e-08	6.035086e-08	1.8575172e-06	0.9999972	1.6723039e-08
priorregion1_spot_36	0.38676953	7.14571e-06	0.18357085	8.180318e-08	6.898578e-07	4.208178e-07	0.4296512	7.7655926e-08
priorregion1_spot_37	1.3270505e-07	1.5742786e-07	1.0092793e-07	0.0016870723	7.933458e-08	1.0445012e-06	0.99831146	1.8852006e-08
priorregion1_spot_38	0.49447	4.191129e-05	1.6583438e-07	0.002039194	6.5667143e-07	6.3274535e-07	0.50344735	1.16567385e-07
priorregion1_spot_39	0.7053801	1.0470736e-05	0.0028201968	2.39321e-07	0.0016495184	0.0042890212	0.27784804	0.008002465
priorregion1_spot_40	0.23922497	8.643399e-07	1.4355041e-07	7.0373225e-08	1.6456784e-07	1.7631697e-07	0.76077354	5.5201756e-08
priorregion1_spot_41	4.780411e-07	2.0078999e-06	0.21487801	2.6994815e-07	5.658453e-08	1.5637808e-05	0.78510344	5.251584e-08
priorregion1_spot_42	0.43278983	1.2255977e-06	1.009863e-07	4.4629456e-07	4.1627737e-07	1.9637457e-07	0.5672077	6.491343e-08
priorregion1_spot_43	0.2958651	3.3593406e-06	9.04281e-08	3.4566446e-07	1.295585e-07	0.0020037633	0.7021272	2.7583122e-08
priorregion1_spot_44	0.35754654	9.391166e-06	3.3637022e-07	0.0009948346	1.7400205e-07	0.0011169096	0.6403315	2.5368644e-07
priorregion1_spot_45	0.52244854	5.3202216e-06	9.618385e-08	5.1525674e-08	2.4997138e-07	1.6205283e-07	0.47754553	4.7812787e-08
priorregion1_spot_46	0.27296314	4.985283e-07	1.9683318e-07	1.4487284e-07	1.9690977e-07	0.0074012172	0.7196345	2.0826285e-07
priorregion1_spot_47	0.19099471	2.9553469e-06	0.0022065043	6.275819e-08	2.1458929e-07	0.0013465531	0.80544895	5.281306e-08
priorregion1_spot_48	0.29459286	1.160041e-06	0.05862867	0.0013827201	3.9801645e-07	4.2668123e-07	0.64539367	6.5198456e-08
priorregion1_spot_49	0.13568413	8.37263e-07	0.23288988	7.800741e-08	9.432723e-07	5.5272085e-07	0.63142353	5.9678825e-08
priorregion1_spot_50	0.28737837	1.0985668e-06	0.23531456	1.0095128e-07	0.002691978	2.8241016e-07	0.47461343	1.2198616e-07
