,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,8.039958674999071e-06,1.0665479339877493e-05,3.592370137539547e-06,1.389826945796813e-06,0.004753519874066114,6.368196058273316,0.008633541129529475,0.0012192508613225073
priorregion1_spot_2,0.0025220769108273092,0.000117385702469619,8.368076078113519e-06,3.463349876255962e-05,0.025069435965269806,10.791920471191405,0.00012514778391050643,0.0019917899742722513
priorregion1_spot_3,2.4868871878425126e-05,4.9417584887123676e-05,2.1899657895119163e-06,8.119183712551603e-06,0.01846703579649329,8.033077096939087,0.0007642740849405526,0.0006580015615327284
priorregion1_spot_4,2.7038222754072195e-07,4.052564833045836e-07,3.1029731673015704e-08,1.0523303728859902e-06,8.46573031594744e-05,3.8366007804870605,0.0010177221149206162,1.0789539715005959e-07
priorregion1_spot_5,3.9952518272912135e-05,0.0043796067358925946,2.6038850046461447e-05,0.0036618998041376472,0.01968811163678765,9.592766571044923,0.0069476476870477194,0.0019517856591846794
priorregion1_spot_6,8.474938283598022e-07,3.6449840081331786e-05,1.2519689551737655e-08,8.619609985771605e-08,1.1465501484053676e-05,2.323734080791473,3.499640655491021e-07,3.25951525326218e-08
priorregion1_spot_7,2.996724633703707e-05,0.0007033032365143299,0.00041560167737770827,3.8213258085306735e-05,0.01906830221414566,10.032375478744507,0.0012582331662997603,0.0010313548380509018
priorregion1_spot_8,8.26571929792408e-05,0.003367278352379799,0.00021787145160487854,0.00021016586106270552,0.01772247441112995,8.870619630813598,0.011523685092106462,0.0012509838095866143
priorregion1_spot_9,0.00016981983571895398,0.0017977584793698043,0.000799959251889959,0.5091813504695892,0.009898154996335506,9.13290400505066,0.0013044980354607106,0.0011710648133885116
priorregion1_spot_10,0.0014985479938331991,0.00017087766973418185,0.0007668137724976987,0.005903484951704741,0.007565449899993837,11.416573619842529,0.00013575356133515017,0.0027295586187392473
priorregion1_spot_11,5.671263734257082e-05,0.0053401182172819976,0.00010849349346244709,4.2939257946272845e-05,0.015260397642850875,9.14130539894104,0.004712399234995246,0.003668834501877427
priorregion1_spot_12,5.2174949996697253e-05,0.001925235893577337,5.125336315359164e-07,0.6917610585689544,0.00047742973692948003,5.07255311012268,7.080531868268735e-05,7.177607471930969e-07
priorregion1_spot_13,5.5958100710995494e-05,0.0005179183353902772,1.917232430059812e-05,0.00013465350930346175,0.02743445532396436,11.205771827697752,0.00026747129013529044,0.002775938762351871
priorregion1_spot_14,2.5532259314786646e-05,1.97195977307274e-05,0.0003363163574249484,0.00030828917369944974,0.023978027515113354,8.101735162734986,0.002150057803373784,0.0015614039672072976
priorregion1_spot_15,1.4106290961990454e-07,5.330752031795783e-07,3.6253361912486075e-08,2.7790751886414e-07,3.3703553890518384e-05,3.827401578426361,1.5232282521537855e-06,1.5822014276523078e-07
priorregion1_spot_16,1.7762768038664948e-05,0.0009206101443851366,0.00018060024594888092,6.236525973690732e-06,0.00242985108634457,4.887092185020447,1.3804105094550325e-06,0.000320776023727376
priorregion1_spot_17,0.0020232465816661716,0.0024107689619995657,6.009926300976077e-06,6.949334092496429e-05,0.019621603749692438,7.794017052650452,0.000728308386169374,0.0016011603758670388
priorregion1_spot_18,3.9630618431374387e-07,4.793981315742713e-06,3.77799227635478e-07,1.8215505659580231,0.008489789580926298,1.1470373332500459,4.261918675751986e-08,1.7347594507555186e-06
priorregion1_spot_19,0.016647670138627294,0.00022893286732141862,8.868435907061213e-05,9.059464646270499e-05,0.03763626180589199,12.601112461090088,0.008335949713364243,0.0011302660510409623
priorregion1_spot_20,1.9067985856935366e-08,2.8773400462256403e-08,1.7288950271421302e-09,2.9405533208404223e-08,2.984876994105434e-06,1.5101035475730897,1.0117580657720282e-07,2.43773037311712e-08
priorregion1_spot_21,4.684387095039711e-05,6.554835636052303e-06,5.582981202678639e-07,1.1364549152403925e-06,0.009095047786831857,4.919738554954529,0.0018326586752664298,0.00015283290777006188
priorregion1_spot_22,1.0767321839466603e-06,0.0014867232996039093,1.1022931971638175e-07,2.5321323278149065e-07,0.0012877325993031264,3.970495915412903,8.693819125937807e-07,0.0001497207827924285
priorregion1_spot_23,0.004836868681013584,6.700219346384985e-05,2.8752090292982762e-05,1.6961896199063632e-05,0.022936409059911966,9.067135667800903,0.0032507882453501227,0.0016512847621925175
priorregion1_spot_24,0.0021865026908926668,0.00029629833588842305,0.0024154923623427747,0.006511305621825158,0.03577620778232813,9.599259901046754,0.024192342534661293,0.002342193224467337
priorregion1_spot_25,2.8446897886169613e-06,3.676134804209141e-06,0.0004930989583954215,7.871241450629896e-06,0.0005841122096171602,4.018152260780335,4.197770704195137e-06,0.000515318289399147
priorregion1_spot_26,3.489140965484694e-07,2.095638171795145e-06,2.3343407917764126e-08,3.305950244225642e-07,0.00018503056489862504,3.267062282562256,1.6853752549650382e-05,0.0007538123521953821
priorregion1_spot_27,4.1381821574759665e-06,2.8504816600616324e-05,7.4116790926837e-08,0.0011546497698873281,0.01823450466617942,3.1675690531730654,0.00015210176788968966,8.376274090551306e-05
priorregion1_spot_28,6.394130053877234e-07,1.0150005891773616e-06,3.940246813272097e-08,1.2566167342242807e-07,0.000939128058962524,2.2354036688804624,4.382447605166817e-06,1.3153271609667173e-07
priorregion1_spot_29,0.004406106099486351,2.8942982407897943e-05,3.647675794127281e-06,1.2317569326114609e-05,0.0019505492062307894,7.690707421302795,0.006325784395448864,0.00019552815065253528
priorregion1_spot_30,6.649767601629719e-05,0.0018285629630554467,5.111978498462122e-05,0.005864033522084355,0.004965029051527381,7.984133362770081,0.0033079266431741416,0.002117532747797668
priorregion1_spot_31,7.747847767802797e-08,8.234259524897425e-07,1.7359180670695198e-08,1.5600648151092856e-08,0.0001692543082754128,1.8735548317432402,2.467734123712262e-08,8.506565016830336e-08
priorregion1_spot_32,9.596020645403769e-05,4.505810647970066e-05,0.001548829395323992,0.0027508378960192205,0.0211520223878324,7.661088705062866,0.00020202146406518296,0.000436225303565152
priorregion1_spot_33,2.799633818995062e-06,0.0005773165874416009,1.5776118260646397e-07,1.437794317382668e-07,5.755950610364381e-06,2.3155293822288514,2.18855377198679e-07,1.92288874956148e-07
