,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,2.7620059063337977e-05,0.0021902674809098246,4.07979532610625e-06,2.1229995309113295e-05,2.7389198660850527,5.767745715274942e-05,1.788479858636856,0.00012014834392175544
priorregion1_spot_2,0.0018068527802824973,0.06453913487493992,0.005212893174029887,0.002284266788046807,3.752514934539795,0.0001089407207473414,3.6338732481002807,0.005911956005729735
priorregion1_spot_3,0.0028838053578510883,2.962856142403325e-05,0.0027719053905457263,0.006956122023984789,1.9230923533439637,0.00018739462029770948,5.351462411880493,0.0015978362178429963
priorregion1_spot_4,0.010241585178300738,2.0376687007228612e-05,0.003582119778729975,0.005785658140666783,2.636023676395416,1.2831353251385737e-05,3.166789710521698,0.004785016970708966
priorregion1_spot_5,0.0021947859786450863,0.011781582841649652,1.1741359628558712e-06,4.520730890362757e-05,3.449323213100433,5.8357409034215384e-05,0.9042747318744659,0.0017014558834489437
priorregion1_spot_6,1.0637708783178823e-05,1.432655034250274e-06,0.0037219175253994765,8.559639263694408e-06,1.1312588632106781,7.884859496698483e-06,1.0272235691547393,1.476026153568455e-06
priorregion1_spot_7,0.020170513819903136,6.585253436242057e-06,0.008151887496933342,0.030284926760941744,0.9583935022354125,3.700856832438149e-05,3.351570022106171,0.0018113112717401238
priorregion1_spot_8,0.013325606938451529,0.0004896633341559209,2.6182309170508233e-06,0.00018456492907716895,4.787249946594239,0.007038291939534247,2.856454813480377,0.0022980581619776786
priorregion1_spot_9,7.8589222903247e-05,0.003831089637242258,6.069538812880638e-06,1.2093528857803907e-05,2.655365216732025,0.000157527578267036,4.910312581062317,0.0032805605325847862
priorregion1_spot_10,0.1057905312627554,6.395835443981924e-05,1.1156578693771735e-06,0.0029788266052491966,2.98101247549057,0.00022034401990822516,1.7766813397407533,0.0018502193910535426
priorregion1_spot_11,0.00021177634334890172,0.00015719374714535662,0.001976396463578567,0.00524477178696543,2.6176885843276976,0.006697213300503791,5.426642298698425,0.0041259008459746845
priorregion1_spot_12,8.79473577697354e-06,6.397445167749539e-06,4.280412611024076e-07,0.0010682285006623716,0.037180681712925434,0.00438421128783375,4.162398362159729,0.003948708600364626
priorregion1_spot_13,1.999590369905491e-06,3.5298693461527365e-07,4.6416081005418165e-07,3.9526947830381693e-07,0.020425488520413638,1.4048355353679654e-06,2.646897566318512,1.1299894765670616e-06
