	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	3.8215912e-08	1.7831638e-08	0.5399329	0.037099794	0.17515643	0.022661183	0.22514959	3.866561e-08
priorregion1_spot_2	6.0990196e-08	1.7239342e-08	0.41703814	0.06985202	0.26633036	0.00057372486	0.24620552	1.3857314e-07
priorregion1_spot_3	5.1101793e-08	3.7343913e-08	0.27848512	0.10301544	0.23208602	2.879957e-07	0.38263294	0.0037801445
priorregion1_spot_4	3.816635e-08	1.360111e-08	0.52842844	0.15869926	0.20574816	8.0269876e-07	0.103163384	0.0039598257
priorregion1_spot_5	3.552289e-08	1.8138076e-08	0.21151328	0.0056467596	0.17785057	1.258438e-07	0.6027308	0.002258499
priorregion1_spot_6	1.2760514e-08	7.519685e-09	0.3797232	0.07075955	0.18574427	1.2529479e-08	0.3550759	0.008697021
priorregion1_spot_7	1.3713587e-08	6.5803505e-09	0.335125	0.14345874	0.1743093	1.8626961e-08	0.34666708	0.00043985323
priorregion1_spot_8	1.1480378e-08	1.1952286e-08	0.2802322	7.025862e-08	0.1352938	6.1220413e-07	0.5834835	0.000989786
priorregion1_spot_9	0.019882621	7.4273906e-08	0.3209421	0.27392164	0.30079746	0.0017514972	0.074572526	0.008132052
priorregion1_spot_10	2.6212383e-08	1.1199161e-08	0.44817823	0.0062967627	0.309255	5.2567295e-08	0.23081276	0.0054571694
priorregion1_spot_11	4.6162647e-08	1.7317127e-08	0.419159	0.037275534	0.2256289	0.045535322	0.27240074	4.889846e-07
priorregion1_spot_12	2.1975187e-07	4.4868706e-08	0.077494554	0.31162032	0.17025936	1.7169306e-07	0.4406252	8.2955594e-08
priorregion1_spot_13	3.371955e-08	2.0777772e-08	0.105246976	0.39894888	0.1433005	4.5344336e-07	0.35168767	0.0008154876
priorregion1_spot_14	9.865662e-09	5.511948e-09	0.32424504	0.5061303	0.15107918	1.2415236e-07	0.018545343	8.437527e-09
priorregion1_spot_15	1.216668e-08	3.839331e-08	9.162802e-09	0.0023252217	0.10014813	0.29765582	0.594838	0.0050327214
priorregion1_spot_16	5.056174e-08	1.5837665e-08	0.35791272	0.13927555	0.28858814	3.854857e-08	0.21155927	0.0026641989
priorregion1_spot_17	3.61279e-08	1.7699694e-08	0.44187084	0.20730616	0.19215858	1.5332263e-07	0.15750682	0.0011572911
priorregion1_spot_18	0.021468742	2.1515373e-08	0.45671207	0.030159444	0.40560246	0.00933559	0.07048772	0.006233907
priorregion1_spot_19	6.592953e-08	1.9962494e-08	0.4305004	0.27395	0.20547768	0.008334642	0.07603368	0.005703543
priorregion1_spot_20	4.511815e-08	3.4441292e-08	2.2852825e-07	0.85432786	0.13030513	1.2024816e-06	0.0087774005	0.0065881526
priorregion1_spot_21	0.013501922	6.086237e-08	0.42872292	0.17298177	0.3126148	0.022243477	0.04620572	0.0037293427
priorregion1_spot_22	1.5122747e-07	4.8379913e-08	0.40883794	0.3681648	0.2141963	0.00818117	4.936597e-06	0.00061454816
priorregion1_spot_23	6.830904e-08	1.6771292e-08	0.41628215	0.074631706	0.21816574	0.048422974	0.24030864	0.0021887396
priorregion1_spot_24	6.214652e-08	3.2302697e-08	0.444992	0.019281212	0.30957282	1.0152053e-07	0.22214822	0.0040055453
priorregion1_spot_25	3.503449e-08	1.41291725e-08	0.6184247	0.01064413	0.2658057	6.959741e-08	0.10391302	0.0012123118
priorregion1_spot_26	1.8174615e-07	0.0055004205	0.382139	0.4157543	0.16950281	0.0040885974	0.021267662	0.0017470896
priorregion1_spot_27	5.064153e-08	3.0997544e-08	0.42037532	0.33050987	0.22622682	1.5650793e-08	0.014644158	0.008243754
priorregion1_spot_28	1.6388094e-07	0.021956066	1.1974356e-07	0.4288686	0.13064033	0.36557683	0.050862458	0.0020954388
priorregion1_spot_29	3.6489226e-08	1.4606675e-08	0.48560324	0.060461912	0.3086583	1.2687534e-07	0.14293547	0.0023409198
priorregion1_spot_30	0.043604963	1.99923e-08	0.42089608	0.030469872	0.3958815	0.016183052	0.0708593	0.022105223
priorregion1_spot_31	3.6883467e-08	2.1118762e-08	0.46370995	0.21501362	0.28866825	0.016012773	0.0130681945	0.0035271563
priorregion1_spot_32	2.0197074e-07	0.012855199	0.13776724	0.5796594	0.20376559	0.009087568	0.056864634	8.0334374e-08
priorregion1_spot_33	2.1496223e-08	1.735717e-08	0.29711488	0.23306984	0.2085671	1.08535616e-07	0.2602281	0.0010198415
priorregion1_spot_34	1.3313081e-06	1.9919071e-07	0.27029717	0.24705946	0.21808034	0.02784659	0.23565891	0.0010561015
priorregion1_spot_35	2.6098386e-08	2.2912838e-08	0.4128101	0.44750884	0.11796913	1.6735435e-06	0.015001632	0.0067085
priorregion1_spot_36	2.3756696e-08	2.2438423e-08	0.59789807	0.011404263	0.17075273	0.0030607122	0.21484011	0.0020441036
priorregion1_spot_37	1.4393469e-08	1.1912629e-08	8.209074e-08	0.47030246	0.039608963	1.0056321e-07	0.49008837	1.9302194e-08
priorregion1_spot_38	5.5658603e-08	1.6635612e-08	0.5737032	0.110878065	0.29952967	5.2051472e-08	0.011874946	0.0040138834
priorregion1_spot_39	3.2594983e-08	1.2201648e-08	0.56167936	0.1309295	0.26819497	1.1753063e-07	0.039195977	5.421296e-08
priorregion1_spot_40	1.7660216e-08	1.2224052e-08	0.21161231	0.25613013	0.21915223	3.52313e-08	0.31310514	8.861978e-08
priorregion1_spot_41	0.009879267	8.373148e-08	0.5509668	0.24993621	0.17220694	8.569804e-08	0.01605842	0.0009522368
priorregion1_spot_42	4.7489237e-08	3.422023e-08	0.2535805	0.27490658	0.1752886	7.328561e-07	0.29407832	0.002145176
priorregion1_spot_43	5.069957e-08	2.4457073e-08	0.26184848	0.28044477	0.21192546	3.305541e-07	0.24578048	3.0267807e-07
priorregion1_spot_44	1.6151338e-08	1.23511485e-08	0.25967872	0.40503556	0.16374174	1.9634426e-08	0.16832325	0.00322072
priorregion1_spot_45	3.7872613e-08	5.2047803e-08	0.14975901	0.28160942	0.20325902	0.007071674	0.35721478	0.0010860597
priorregion1_spot_46	1.36002125e-08	9.956504e-09	0.43432996	0.29109088	0.1722958	8.470686e-08	0.102283135	5.526496e-08
priorregion1_spot_47	4.1121613e-08	1.8056665e-08	0.3490525	0.009909342	0.2830456	5.099973e-08	0.35676426	0.0012281392
priorregion1_spot_48	6.602826e-08	2.2133115e-08	0.34993064	0.15843266	0.1510467	0.046040006	0.2945498	7.3083356e-08
priorregion1_spot_49	3.7953228e-08	1.6902789e-08	0.51105803	0.007021835	0.3043912	0.0032232325	0.16892284	0.005382883
priorregion1_spot_50	6.214345e-08	3.696528e-08	0.33658496	0.20257099	0.19185276	0.008542068	0.25248924	0.007959905
priorregion1_spot_51	1.3473921e-07	0.00071487995	0.23273845	0.20281883	0.16326457	3.278308e-08	0.40002096	0.00044211297
priorregion1_spot_52	4.3210868e-08	2.9591988e-08	0.24421817	0.17452735	0.20755373	4.3932964e-06	0.37369612	2.1402798e-07
priorregion1_spot_53	1.9796625e-08	1.5698099e-08	0.439544	0.20891698	0.18299165	3.166412e-08	0.16825218	0.00029506072
priorregion1_spot_54	3.2583756e-08	4.103479e-08	0.41789004	0.13152517	0.21635135	0.18564503	0.045025367	0.0035630406
priorregion1_spot_55	2.2728184e-08	1.2134747e-08	0.41296646	0.15386201	0.22539485	0.020685438	0.1833393	0.0037519373
priorregion1_spot_56	1.2367698e-08	9.539612e-09	0.42013335	0.09879876	0.22002223	7.19348e-08	0.2610455	6.606949e-08
priorregion1_spot_57	1.3585039e-07	3.066816e-08	0.4827328	0.21253917	0.27671185	0.0124335075	0.005103509	0.010479045
priorregion1_spot_58	1.7487982e-07	0.0028605734	0.13839097	0.40520096	0.17539555	0.2506766	0.01859928	0.008875883
priorregion1_spot_59	1.012831e-07	4.4529703e-08	0.26205567	0.25761566	0.1507278	0.05868338	0.27091706	2.8566996e-07
priorregion1_spot_60	7.4664364e-08	2.1881927e-08	0.5335912	0.0313617	0.3479043	0.018801503	0.05902705	0.00931413
priorregion1_spot_61	5.2364854e-08	1.7569379e-08	0.3945383	0.3606976	0.20861232	0.01734505	0.018806638	6.327642e-08
priorregion1_spot_62	1.9695044e-08	1.0222696e-08	0.5714255	0.2172393	0.19361398	0.008091264	0.009629904	2.3318432e-08
priorregion1_spot_63	4.348519e-08	3.0619915e-08	0.34672987	0.13001709	0.20540816	0.00017449031	0.31147805	0.0061921794
priorregion1_spot_64	2.9332732e-08	1.2166899e-08	0.49810794	0.20164417	0.15493733	0.0039931815	0.1413173	2.683911e-08
priorregion1_spot_65	2.1340714e-08	1.415385e-08	0.28186184	0.2718004	0.2006001	0.048647154	0.19460057	0.0024899312
priorregion1_spot_66	3.3715924e-08	1.884095e-08	0.4094582	0.29441693	0.20514797	0.007051674	0.08283924	0.0010860695
priorregion1_spot_67	0.009264692	4.627769e-08	0.3379757	0.2246848	0.31564847	0.023896612	0.07773352	0.010796129
