	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.019111725	0.9802546	1.9835845e-07	5.764864e-09	4.5672376e-08	3.8408597e-08	1.3836808e-07	0.00063329044
priorregion1_spot_2	7.95489e-07	0.9999988	7.58173e-08	1.3116311e-08	3.3317267e-08	2.499765e-08	4.874359e-08	1.6642514e-07
priorregion1_spot_3	3.33507e-07	0.9999993	6.100759e-08	1.1026267e-08	9.160758e-08	3.9129546e-08	2.0407539e-08	1.9781203e-07
priorregion1_spot_4	4.10553e-07	0.9999995	1.3976169e-08	1.7246464e-08	1.4384041e-08	1.3523308e-08	1.2038921e-08	7.099541e-08
priorregion1_spot_5	0.054523844	0.9454745	3.6053688e-08	1.5252443e-08	2.1317623e-08	2.5330342e-08	1.5068716e-06	7.508763e-08
priorregion1_spot_6	6.312494e-07	0.99999905	5.6837308e-08	9.882545e-09	4.045059e-08	2.9662685e-08	4.91406e-08	3.6036084e-07
priorregion1_spot_7	0.07901463	0.9209849	4.6046758e-08	1.6715676e-08	3.207234e-08	4.9265545e-08	1.3310209e-07	1.881721e-07
priorregion1_spot_8	7.0525806e-07	0.99999917	2.7781526e-08	6.2126517e-09	1.0725411e-08	8.211374e-09	4.0716674e-08	4.5633822e-08
priorregion1_spot_9	1.7010393e-06	0.9999981	2.505045e-08	6.1311463e-09	2.5592806e-08	2.4106459e-08	6.3204965e-08	9.624795e-08
priorregion1_spot_10	5.3445166e-07	0.99798506	3.5910897e-08	8.192602e-09	2.7769042e-08	4.013055e-08	0.002012911	1.4535912e-06
priorregion1_spot_11	9.703095e-06	0.99997485	5.260971e-08	9.824086e-09	6.321758e-08	4.8058563e-08	1.5081188e-05	6.5450486e-08
priorregion1_spot_12	9.567259e-07	0.9999989	2.9932288e-08	6.0155543e-09	2.6306326e-08	8.9584574e-08	2.8438384e-08	5.6423705e-08
priorregion1_spot_13	4.6724733e-07	0.9999993	4.1600504e-08	5.402339e-09	1.9203508e-08	3.2255073e-08	7.138864e-08	7.773958e-08
priorregion1_spot_14	5.4710654e-07	0.9999992	3.6156703e-08	1.4780437e-08	3.2832983e-08	3.2512357e-08	5.3712697e-08	5.6389172e-08
priorregion1_spot_15	1.1771577e-06	0.9999986	2.352364e-08	6.0484173e-09	5.9644165e-08	1.7260666e-08	2.1210397e-08	6.737168e-08
priorregion1_spot_16	6.564955e-07	0.99999917	3.9125457e-08	2.2679531e-08	2.5747086e-08	2.5257064e-08	2.2947045e-08	1.1593521e-07
priorregion1_spot_17	0.014168178	0.98583156	1.5417609e-07	9.450158e-08	3.5139426e-08	4.092545e-08	4.8268426e-08	9.046916e-08
priorregion1_spot_18	5.591663e-07	0.99999875	4.3575258e-07	2.8350154e-08	2.1041348e-08	1.7670116e-08	1.0634208e-07	1.14685484e-07
priorregion1_spot_19	4.5816614e-07	0.99999815	4.2284174e-08	1.2896344e-06	2.2036268e-08	3.7131702e-08	2.1903558e-08	9.378488e-08
priorregion1_spot_20	5.866896e-06	0.9993504	7.1393444e-08	2.8993457e-08	4.91231e-08	6.762776e-08	0.00064336293	1.13845815e-07
priorregion1_spot_21	8.7149044e-07	0.9807452	8.814375e-08	0.0023967444	8.0748784e-08	0.016854707	6.661192e-08	2.2073295e-06
priorregion1_spot_22	5.7561334e-07	0.9999993	3.9965688e-08	1.3345012e-08	3.417788e-08	3.3656796e-08	2.8920601e-08	8.462408e-08
priorregion1_spot_23	5.1119014e-07	0.99032736	5.5999255e-08	0.0074891266	1.646477e-08	3.270953e-08	0.0021828339	9.5703136e-08
priorregion1_spot_24	0.038808364	0.95161825	7.149652e-08	2.5663503e-08	6.117052e-08	6.833759e-08	0.009572995	5.636234e-08
priorregion1_spot_25	4.478854e-06	0.99999535	4.7387083e-08	6.3233117e-09	1.80017e-08	2.2271927e-08	2.3846754e-08	5.322687e-08
priorregion1_spot_26	5.72587e-07	0.99999946	4.6337604e-08	1.31765825e-08	1.4524875e-08	1.4449289e-08	2.3656547e-08	3.6121982e-08
priorregion1_spot_27	0.024457864	0.9755415	4.5701302e-08	1.1462729e-08	4.51299e-08	4.817017e-08	3.6156568e-08	3.1275448e-07
priorregion1_spot_28	0.042736907	0.9572608	5.7447608e-08	2.6734963e-08	4.0587064e-08	5.2627698e-08	7.630178e-07	1.3412573e-06
priorregion1_spot_29	3.4680042e-07	0.99999934	5.5318157e-08	7.494548e-09	2.4808042e-08	5.590677e-09	5.3903864e-08	8.9592504e-08
priorregion1_spot_30	2.5760627e-07	0.99999946	4.869023e-08	1.5646727e-08	1.546327e-08	3.840488e-08	6.840895e-08	4.6017636e-08
priorregion1_spot_31	0.0015597627	0.9984399	5.4129043e-08	9.969683e-09	3.4212736e-08	8.234411e-08	6.206447e-08	1.2878e-07
priorregion1_spot_32	3.9098327e-07	0.99999946	4.6240682e-08	3.8986587e-09	2.0372326e-08	1.4667302e-08	3.053055e-08	1.0316125e-07
priorregion1_spot_33	1.4400596e-06	0.99999565	5.3549332e-08	6.6318236e-08	3.1503053e-08	2.1745507e-08	2.664822e-06	1.06545144e-07
priorregion1_spot_34	1.4437084e-06	0.99152255	0.00019846385	1.3736935e-08	3.286531e-08	3.5694242e-08	1.2794605e-07	0.008277241
priorregion1_spot_35	3.2696929e-07	0.9999992	2.3683315e-08	6.758312e-09	2.8099771e-08	2.6345585e-08	2.2793275e-08	3.9428707e-07
