,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,1.7515835224912735e-05,9.387123509441152e-06,1.3725099563598633,0.005648811766877771,0.017156769521534443,0.0012838332157116383,1.2868547401012622e-07,1.0192390007546238e-07
priorregion1_spot_2,0.0001247833228262607,0.003346843225881457,2.732447052001953,0.0037483973079361025,0.0005747022019932046,0.0013151331921108067,3.1775903039488187e-06,1.014284731581938e-06
priorregion1_spot_3,0.010634509613737464,0.0005540750426007435,3.7059495091438297,0.11663568541407586,0.00016658557578921318,0.00896714013069868,0.04315021131187677,4.768143980982131e-07
priorregion1_spot_4,5.809885328744713e-06,2.104340671849059e-06,0.9525016695261002,0.0007025400380371139,1.8998368250322532e-05,0.0002667012522579171,2.878530165162374e-06,3.695323798069694e-08
priorregion1_spot_5,2.269850563152431e-06,2.4235955891072087e-07,2.2102225184440614,2.173357443098212e-05,6.523051488329656e-05,0.0034802547539584338,6.345562354681533e-07,7.693754753290705e-08
priorregion1_spot_6,0.019706920348107813,7.194635304585973e-06,2.1139882087707518,0.00011612406342464965,0.0002998000752995722,0.0044390553608536715,1.302094278798904e-06,3.004099866643628e-07
priorregion1_spot_7,3.2479543961017043e-06,5.090700756227306e-06,2.089829516410828,0.010020209057256578,0.04142697621136904,0.001827942073578015,1.8161908656111337e-06,2.2142678631098535e-06
priorregion1_spot_8,0.0005699267407180741,8.500536423525774e-05,3.032207226753235,5.8354609063826504e-05,0.030517378356307745,0.0038898242986761034,4.120246285310714e-06,1.9732967118102357e-07
priorregion1_spot_9,0.022029646020382643,0.00020776026794919745,2.882350814342499,7.858310891606379e-05,0.001969004375860095,0.006348354974761605,0.00012860537608503365,0.0005980198067845777
priorregion1_spot_10,0.0017610338574741036,0.0022921718074940143,3.492519474029541,0.0003648864425485954,0.03655568044632673,0.0038263329421170055,2.4522967578377577e-06,1.3589083039278193e-06
priorregion1_spot_11,0.004832925065420568,3.613393728301162e-05,4.2397397518157955,0.0008279978617792951,0.009069892531260847,0.0052056850632652635,1.1416953020670918e-05,1.6952706232586933e-06
priorregion1_spot_12,0.004726971918717027,3.3692507145133276e-06,2.745236372947693,7.852591479604597e-05,0.001276362157659605,0.0033029819489456716,2.048061730874906e-06,2.9831717398565164e-07
priorregion1_spot_13,1.9780893035203916e-05,2.50184127708053e-06,3.1709537625312803,8.36133724078536e-05,0.00026056169008370494,0.005900445207953454,3.0849176937408633e-06,1.475886115542835e-07
priorregion1_spot_14,0.005887285247445107,4.486030002226471e-06,1.4724729895591737,7.748700363663375e-06,0.0037892924156039953,0.0010782749159261584,8.583953240304254e-06,6.403707942581605e-07
priorregion1_spot_15,2.426776427455479e-06,1.9923277392308594e-07,1.440050846338272,5.073521947451809e-06,0.004299324401654303,0.004874231549911201,0.0002420067699858919,8.89011772642334e-08
priorregion1_spot_16,0.00027517524868017065,2.1703590573451947e-05,2.6704051733016967,0.00922584841027856,0.04196556378155947,0.003508247586432844,1.9359231202997764e-06,1.3600514350287086e-07
priorregion1_spot_17,0.00020166311660432256,3.880246208609606e-06,2.3566400170326234,0.010955090634524822,0.0038990244269371034,0.001681610126979649,0.00014321229682536798,1.2403290668316913e-06
priorregion1_spot_18,9.303119895776035e-06,6.418562804810791e-07,2.370381247997284,0.003092947159893811,7.293990529433358e-05,0.00036391805188031864,0.0012742651742883027,4.757101933705599e-07
priorregion1_spot_19,0.0007577304932055995,0.0009644551144447178,3.8424493789672853,0.0005332641652785241,0.0009336980729131028,0.005293137929402292,0.00013236047016107477,2.841447411583431e-07
priorregion1_spot_20,3.2587882742518566e-05,1.2142403306825145e-06,2.9460812091827395,0.01238223658874631,0.02404946554452181,0.00474822991527617,4.430774170032237e-05,1.8431582233802148e-07
priorregion1_spot_21,0.0001844182552304119,1.415015417478571e-05,2.933548080921173,3.682600381580414e-05,0.010643222369253635,0.0023111147922463718,1.2984367515400662e-06,3.9636801574260977e-07
priorregion1_spot_22,2.419404347620002e-06,4.483450920815812e-05,0.6420423835515976,9.723412676976296e-06,0.00013310020294738935,0.0006916766578797251,3.192614329350363e-07,4.517094771472329e-06
priorregion1_spot_23,0.00011965809280809481,0.0009927828563377262,2.717890119552612,0.03848053067922592,0.00031684899295214564,0.01684225518256426,1.3494038557837485e-05,3.3233808238719575e-07
priorregion1_spot_24,0.00672449958510697,1.9214399981137833e-05,3.035473883152008,0.00021741593591286803,0.00477535326499492,0.0010414938791655005,0.0018813876376952976,1.9611328170299207e-07
priorregion1_spot_25,0.0007030576613033191,9.557716475683265e-06,3.7525406002998354,9.075413399841636e-05,0.0025687150191515684,0.005334745603613556,0.0004001568231615238,1.0219054775006953e-05
priorregion1_spot_26,0.001082035101717338,1.0015704958732385e-06,1.5843206226825712,4.0216063644038515e-05,1.6279509145533667e-05,0.0008636018668767066,3.3599198303591036e-07,1.27804870686532e-07
priorregion1_spot_27,0.001977906207321212,4.787968155142153e-05,2.8011292099952696,6.636762009293307e-05,0.0005758654151577502,0.003841598774306476,0.00010336181949242019,0.0015762240625917913
priorregion1_spot_28,0.004018466384150088,2.0148218754911796e-05,3.5254990339279173,3.596217138692737e-05,0.02855708319693804,0.006566663831472397,0.00017939969548024236,1.14486803681757e-06
priorregion1_spot_29,5.032305534768966e-06,1.047072328219656e-06,2.625366234779358,0.004733884264715015,0.00015603987340000457,0.019668005127459764,2.18864462340207e-06,5.853241532349785e-07
