,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,7.830574104445986e-05,2.294162300131575e-06,2.87307071685791,0.018212850857526063,0.08210840374231337,0.0001919931484735571,0.003115919418632984,2.6904359583568293e-05
priorregion1_spot_2,0.0005969376012217254,5.291187471812009e-06,2.3393274068832395,6.668482601526194e-05,0.013128789374604821,3.485050438030157e-05,0.0004948485409840942,0.00033763216342777016
priorregion1_spot_3,5.7594016288931024e-05,1.9488345913032396e-06,0.9509939730167389,1.5054824132221258e-06,2.4317854513355997e-05,0.0013391508313361554,4.798899510660704e-07,0.20340263172984124
priorregion1_spot_4,0.0006602574227144942,3.9117043797887165e-06,0.560525369644165,0.014659057185053824,8.039732674660626e-05,0.01186343189328909,0.027667974401265383,0.3565728411078453
priorregion1_spot_5,3.2078699177873208e-06,0.0007925829821033404,0.4905613347887993,2.618446251290152e-05,0.008063576743006706,5.580538618232823e-06,3.903711686348288e-07,0.40819121301174166
priorregion1_spot_6,8.12847147813045e-07,2.065168970943887e-07,1.477044016122818,1.9376927775738297e-05,0.00017736726731527598,0.00024420167246717026,1.9874106627071347e-07,9.561648568023886e-07
priorregion1_spot_7,0.0022776948986575007,7.781897966196994e-06,2.5727957248687745,0.00018591118932818063,0.02425815248861909,4.898426232102793e-05,5.362558476917911e-05,0.00020663346876972354
priorregion1_spot_8,4.24358051532181e-05,6.449184047596646e-06,1.5442445576190948,3.0376795052688976e-06,0.0001229731977218762,2.4931675307016127e-05,0.0034814144601114094,0.00020523540733847768
priorregion1_spot_9,1.4333569379232358e-05,4.924968789055129e-06,1.0643342435359955,5.635428760797368e-06,4.334141140134307e-05,0.0022807299159467217,4.81113947614631e-07,0.2653975129127502
priorregion1_spot_10,0.0012650900636799634,8.900113698473433e-06,1.0904196739196776,3.6086270256419084e-06,0.015659224428236487,1.7362127800879536e-05,1.5977115072018933e-05,0.41996484398841855
priorregion1_spot_11,0.0006334301870083436,0.0004585242670145817,2.9094276905059813,0.00026393024454591797,0.0016300258983392268,7.70108301367145e-05,5.023190587962745e-05,0.0012412334384862332
priorregion1_spot_12,9.511220332569793e-06,1.4910951335878055e-06,1.2280821919441225,9.668543134466746e-06,0.16046684086322785,7.221050618682057e-05,1.3855364045411988e-06,0.5522165060043335
priorregion1_spot_13,0.0007573405862785875,2.61349590800819e-05,3.0276210784912108,0.00025851445243461055,0.22860444188117982,0.0015465132368262858,0.0025466312421485783,0.0020540977944619953
priorregion1_spot_14,2.021502641582629e-05,1.0654177515334598e-06,1.1450438857078553,2.8658902374445463e-05,0.0012631028366740793,2.0011964238619838e-06,6.418132834369316e-05,4.324516510223475e-07
priorregion1_spot_15,3.0777214078625553e-06,7.287749042461655e-07,0.5899055421352386,3.711874200007515e-07,0.03657563086599112,1.4996101344877389e-05,1.7556591771494823e-07,0.4977661594748497
priorregion1_spot_16,4.303260993765434e-05,1.354984119643632e-05,0.45015683472156526,0.00636010195594281,7.253438852785622e-05,5.715893280466845e-07,6.629272832014976e-07,0.4268745869398117
priorregion1_spot_17,1.0422581999591784e-05,3.395654130144976e-05,0.6648293048143388,1.8611732627960008e-06,7.095784203556832e-05,5.172312467038864e-05,1.3448665129089933e-06,0.27249749898910525
priorregion1_spot_18,0.0005252488073892892,0.0001481636456446722,2.4682100415229797,0.006365561159327626,0.012736542988568545,0.0001492080366006121,0.00031274562497856094,0.003214998880866915
priorregion1_spot_19,3.150489665131318e-05,1.6143215191277704e-06,1.433778876066208,5.13036043230386e-06,0.0055562933441251515,2.5252331306546692e-05,4.846725405514008e-05,0.5728705734014512
priorregion1_spot_20,2.188249800383346e-05,1.638846708829078e-06,2.2530163049697878,0.019584629219025373,0.0005304395454004408,0.0004914242366794497,3.835655843431596e-06,1.4969855828894652e-05
priorregion1_spot_21,1.7943772127182457e-05,7.380210234941842e-07,1.2322436809539794,2.164231100323377e-05,0.0002999898555572145,6.501901552837808e-05,1.460149460399407e-05,0.36264314204454423
priorregion1_spot_22,3.0396694910450612e-05,1.442649858063305e-06,1.5895522356033327,3.176119516865584e-05,0.0059885076945647596,0.002153343171812594,5.0870395625679524e-06,0.24970971643924714
priorregion1_spot_23,1.031223678182869e-05,6.789133976781159e-07,1.1780645430088044,0.0036156897200271486,0.0001959800545591861,8.252838451880961e-05,1.6186733319045744e-06,0.3431671604514122
priorregion1_spot_24,4.5301307000045196e-05,1.8217459228253574e-06,0.9494609713554383,3.2585663120698885e-06,0.017645900882780553,0.0006278505432419478,2.828869719451177e-06,0.5307507455348968
priorregion1_spot_25,0.0001830446803069208,7.650908145251378e-07,1.1246638357639311,1.5133239401166066e-06,0.0023433803115040066,0.00040421241719741375,1.6016124391171616e-06,0.44434541314840315
priorregion1_spot_26,9.353338391520083e-05,5.148139666744101e-06,1.7574484765529632,8.058481171246969e-06,0.023426706995815037,6.902516979607753e-05,0.00015658022603020074,0.45074601769447326
priorregion1_spot_27,1.138890706897655e-05,1.7211545355166891e-06,2.186990189552307,2.2465977599495092e-05,0.13483789414167402,5.8012333647639024e-05,2.278144438605523e-06,5.109589510539082e-05
priorregion1_spot_28,9.586676060280297e-05,2.7457717010292982e-06,0.46198307126760485,4.911580185762432e-06,3.019652340299217e-05,0.0031750154914334415,9.305756201172244e-08,0.2325760677456856
priorregion1_spot_29,1.6023181888158434e-05,3.757113859137462e-06,1.6411245703697206,0.0025421463418751956,0.02129760021343827,1.867686150944792e-05,7.887576566645294e-06,0.0005830679961945862
priorregion1_spot_30,0.00014254672205424868,1.9279069783806334e-05,1.3124636828899385,2.535928124416387e-05,0.00012015027277811896,1.8564980200608262e-05,0.00042594889819156376,0.5499165892601012
priorregion1_spot_31,1.9154011806676862e-05,7.033772999420762e-05,1.162908947467804,2.707039220695151e-06,0.0006025267794029787,0.003609486960340291,3.1074755042936883e-06,0.3592898800969124
priorregion1_spot_32,6.745771534042433e-05,3.106638450844912e-06,0.5200896561145782,1.444329984678916e-06,0.00374362135771662,0.0015428682148922236,1.3287843103171329e-06,0.8552981585264205
priorregion1_spot_33,2.748938795775757e-05,2.895334671393357e-06,1.3844828367233277,0.0004624247900210321,0.012924484442919493,1.806927521101898e-05,2.3896567199699348e-05,0.4602956146001816
priorregion1_spot_34,0.0012218809861224145,1.3814358726449428e-05,1.8534286677837373,0.014129699813202024,0.0006881705310661346,0.00457600224763155,0.014926878083497287,1.1978774955423432e-05
priorregion1_spot_35,0.00017857428829302083,6.10374239840894e-05,0.869505986571312,4.421314656610775e-06,0.00030399327370105316,1.6565788882871857e-06,2.3319421643464015e-06,0.6646514415740967
priorregion1_spot_36,2.2588766751141523e-05,2.492324517788802e-06,2.8780475020408627,0.0005777286045486107,0.00291206972906366,0.0008278050110675395,0.00018623641808517276,0.0004390446629258804
priorregion1_spot_37,6.606605234082963e-06,7.783992231225057e-07,0.8575670719146729,3.2349870889447625e-05,1.748081213008845e-05,1.634071486478206e-05,0.00039140121225500485,0.5102192312479019
priorregion1_spot_38,4.606620973390819e-06,4.0133981258350106e-07,0.6833991467952728,4.7569506250511035e-06,1.718186003927258e-05,0.00021023200533818454,2.6315196777204624e-07,0.4321060508489609
priorregion1_spot_39,1.1570543438210735e-05,1.6598366926245943e-06,1.117076689004898,6.309892592071265e-06,0.014388920646160841,7.795670862833504e-05,2.1340863440855173e-05,0.13105928525328636
priorregion1_spot_40,4.59327109183505e-06,4.0698615890732984e-07,0.8070002317428588,8.41894930658782e-07,0.0001409602009516675,8.415654792770511e-06,2.039594207303708e-07,0.6761209338903427
priorregion1_spot_41,0.0001339009941148106,4.920135870634112e-06,2.7397920966148375,0.006883278815075756,0.010005341982468961,0.009460154129192233,1.023339918901911e-05,0.0010532094340305774
priorregion1_spot_42,1.497446883149678e-05,1.5645181008494546e-06,0.5520852237939835,4.5643628027391974e-06,0.0008717704709852115,0.00016754409734858202,6.902135083919348e-07,0.9074720114469528
