,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,5.930672526359558,0.6445923238992691,6.081803078927806e-08,7.682489786020596e-06,0.44069437235593795,4.473076228350692e-06,0.03753537964075804,0.00023619783169124276
priorregion1_spot_2,2.7905575037002563,0.2676813334226608,1.3498217185770045e-05,7.232545840452077e-07,0.07158824913203717,6.517288347822613e-05,0.0016391547513194382,1.9765172510233244e-06
priorregion1_spot_3,3.208653259277344,0.3104042991995811,2.8863665306744225e-07,6.756319180567518e-07,0.18697186931967735,4.114852856673679e-07,1.2180798057670472e-05,3.1981662459656946e-06
priorregion1_spot_4,1.0180099487304688,0.0698654007166624,1.1329205618082484e-08,3.7828584140697787e-07,0.003257731627672911,2.483946076381472e-07,0.000981618434889242,2.084213485886721e-06
priorregion1_spot_5,1.0980118036270141,0.06274518184363842,0.000498418213101104,0.00010908605145232286,0.00014418045248021372,2.1557404750183196e-08,1.345308277223012e-07,2.1027622931768522e-08
priorregion1_spot_6,4.499233508110046,0.4544477880001068,4.591859763536377e-08,7.616872535436413e-05,0.2662709683179855,1.7048233985406113e-06,0.0015499350905884058,3.812524737440981e-05
priorregion1_spot_7,1.6494862973690032,0.21238711327314377,1.8885217123454367e-08,2.2117885418992955e-05,0.01579308044165373,1.0180833442063886e-05,0.007246456760913133,3.6019211279381126e-06
priorregion1_spot_8,0.7351184815168381,0.0215673191472888,1.6948688452700367e-09,6.163518690982528e-08,2.8393450338626278e-05,4.003949900521775e-08,3.5105617683939273e-07,9.04117594124898e-09
priorregion1_spot_9,4.498441910743713,0.4338601782917977,7.123074468040614e-08,1.2937542396684876e-05,0.11283731162548066,1.2594270856425283e-06,2.8113461212342372e-05,0.0011710613849572836
priorregion1_spot_10,2.8314679622650143,0.34447760283946993,4.465077463322587e-08,1.3572051670962538e-06,0.09259557127952577,1.266578497052251e-05,0.0002178126414946746,2.0987984225939726e-05
priorregion1_spot_11,3.6184601902961733,0.30191106200218204,1.656059351873296e-08,4.55683123163908e-06,0.07946812398731709,1.0660355656000322e-06,1.1819484188890784e-05,0.0016589513455983252
priorregion1_spot_12,0.9410494863986969,0.02620404968038201,4.3759700307788316e-09,8.267841508313723e-07,0.010212400695309045,1.6632804829441738e-06,2.770293590970141e-07,7.962839490005536e-08
priorregion1_spot_13,0.8750397980213165,0.06988217681646347,3.618247070846792e-08,3.885117401125627e-08,0.00028350398497423157,5.996356744475406e-08,3.6867684087837916e-07,3.016500240704545e-08
priorregion1_spot_14,0.8525352627038956,0.05288172513246536,1.2992085762775219e-08,4.591036404377748e-08,8.098814942059107e-05,3.7503632057678263e-07,5.277989174601317e-08,1.071337889513302e-08
priorregion1_spot_15,3.483689975738525,0.3422317087650299,3.4983980334857275e-08,2.590293649973319e-06,0.1566473849117756,2.4235390242211004e-06,1.571851648805023e-05,0.00023657528727198953
priorregion1_spot_16,3.320150721073151,0.3163997933268547,1.3873636861561068e-08,0.0011276649427600205,0.17568187713623046,7.483614098191538e-07,0.00035139885148964827,0.00148696152609773
priorregion1_spot_17,3.61703679561615,0.4847461834549904,4.0787559214550133e-07,1.6641136198813912e-06,0.09871757961809635,5.379295635066228e-06,4.3900982291233965e-06,0.006209160410799087
priorregion1_spot_18,4.361536741256714,0.4466893836855888,4.905692861711941e-07,7.053437525428308e-06,0.5749487489461899,2.028841367973655e-06,7.785754387441558e-05,1.1975207326031522e-05
priorregion1_spot_19,2.3752073168754575,0.20865960493683816,0.0007203389453934506,0.0011728453391697258,0.07657846361398697,4.416894898895407e-06,3.957918374908332e-06,1.275882905247272e-05
priorregion1_spot_20,3.1152754426002502,0.3392970696091652,1.3247679930827873e-08,0.00013112461456330494,0.23360137343406676,9.478328507839253e-07,0.001591480214847252,0.00012210668392071967
priorregion1_spot_21,5.201897621154785,0.6671955227851868,6.58938418496291e-08,9.75855955402949e-06,0.3416128799319267,5.966144954072661e-06,0.0005607842846075073,0.005532231158576905
