	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.1160805	0.32453656	0.011544638	0.03312733	0.017943868	0.23296344	0.019401778	0.24440187
priorregion1_spot_2	6.33027e-07	1.4941119e-05	0.026376922	5.0253465e-07	0.096007794	3.8455046e-06	0.11026222	0.76733315
priorregion1_spot_3	1.7536959e-06	0.113331854	3.1347176e-07	5.6939473e-07	0.06380545	0.1061291	3.0853066e-06	0.71672785
priorregion1_spot_4	0.16643913	0.07123852	2.2605253e-07	0.010815641	0.0021277547	0.12925488	0.015432703	0.60469115
priorregion1_spot_5	0.11529298	0.15173647	4.6947707e-07	9.32776e-07	0.30927542	0.076950416	1.7010967e-05	0.34672627
priorregion1_spot_6	0.167212	0.25488862	0.065169536	1.6003763e-07	1.0144047e-06	5.4560127e-07	0.021762216	0.49096587
priorregion1_spot_7	0.32954338	0.31291753	0.037406154	1.8282745e-07	0.029279992	9.4728443e-07	3.1301315e-06	0.29084867
priorregion1_spot_8	0.21028881	0.09555234	9.81051e-06	0.013190443	0.11175972	0.107534036	1.0490174e-06	0.46166375
priorregion1_spot_9	0.09926405	0.11760633	8.349241e-06	4.2280344e-06	0.29965228	0.1426048	6.474088e-06	0.3408535
priorregion1_spot_10	0.31494477	0.3147144	0.017277366	0.008633014	2.2194108e-06	1.3170292e-06	1.6319856e-06	0.34442532
priorregion1_spot_11	0.27762163	0.20571682	1.7673696e-06	0.01809768	0.057288885	0.1305263	1.0162452e-06	0.31074592
priorregion1_spot_12	1.3956099e-05	0.044440147	2.968947e-07	1.4244794e-06	0.06872072	0.221488	5.076878e-06	0.66533035
priorregion1_spot_13	0.23363031	0.22274746	0.0012832761	1.26190125e-05	0.105046205	0.22995993	3.1096057e-05	0.20728914
priorregion1_spot_14	0.2773493	0.27238885	0.07077567	4.9279953e-07	0.23124765	0.0024351042	0.01396453	0.13183852
priorregion1_spot_15	0.08214059	0.011007415	2.4215974e-06	0.011034535	5.8200444e-06	0.10871797	0.047658566	0.73943263
priorregion1_spot_16	2.9285782e-06	0.023611175	6.3190515e-07	1.5659343e-07	0.0031437748	0.25877544	0.06461845	0.64984745
priorregion1_spot_17	1.7581222e-06	0.07009713	5.5528635e-05	2.3158157e-06	0.09383669	0.119738616	0.07610606	0.6401619
priorregion1_spot_18	0.16335487	0.29391268	2.2438883e-07	0.047150854	3.005533e-05	5.2197146e-07	1.0618172e-07	0.49555063
priorregion1_spot_19	7.1613124e-07	0.018425584	1.1831612e-06	0.01891298	8.270008e-06	7.4538893e-06	0.0038806158	0.9587632
priorregion1_spot_20	0.2441306	0.13144363	6.8318576e-07	4.4679473e-07	0.04907206	0.15090457	3.5123599e-06	0.4244446
priorregion1_spot_21	1.3047942e-06	0.056514245	2.2430898e-07	0.055894095	7.958169e-06	3.320345e-06	1.5138374e-06	0.8875773
priorregion1_spot_22	9.1439773e-07	0.010784214	1.0180947e-06	4.7857367e-07	1.593382e-05	0.10129949	3.269394e-06	0.8878947
priorregion1_spot_23	0.08815243	0.01589847	2.6346075e-07	0.003737024	8.5340114e-05	1.2093454e-06	3.300514e-07	0.89212495
priorregion1_spot_24	0.042866368	0.22387303	3.394666e-07	0.011701961	0.18853079	1.5608756e-06	3.594819e-07	0.5330255
priorregion1_spot_25	0.22527401	0.15981527	0.022718556	2.5763057e-07	0.10160696	0.079264246	1.2178617e-05	0.41130853
priorregion1_spot_26	0.023125831	0.05278003	0.028534079	0.031125464	3.5573008e-05	1.7174045e-06	0.029094176	0.8353031
priorregion1_spot_27	0.06455279	0.32466787	1.9441627e-06	2.4491302e-07	0.12395534	0.0070982543	2.5361757e-07	0.47972322
priorregion1_spot_28	0.04885158	5.7631823e-06	1.2803999e-07	0.014960664	1.087737e-06	3.9336751e-07	5.164697e-07	0.9361798
priorregion1_spot_29	0.29072878	0.22871546	0.000258619	3.627241e-07	0.079330385	0.06796104	1.6621294e-06	0.3330036
priorregion1_spot_30	8.046844e-06	0.014883359	4.848518e-07	3.5683538e-06	0.2058854	0.115670584	1.4495884e-06	0.66354704
priorregion1_spot_31	0.036123592	2.8523398e-06	6.438845e-07	3.0213315e-07	5.4304896e-06	7.767384e-07	4.0550927e-07	0.963866
priorregion1_spot_32	0.08202414	0.001428097	4.0232183e-07	1.4100698e-07	0.21360506	0.0024460456	8.9421053e-07	0.7004952
priorregion1_spot_33	0.03169078	0.0086203385	4.0528744e-06	0.010623114	0.15980022	3.4603404e-06	5.566221e-06	0.78925246
priorregion1_spot_34	1.2642265e-06	0.052024025	0.030724203	0.036447883	3.056218e-06	7.204408e-06	3.7998947e-07	0.88079196
priorregion1_spot_35	6.9475086e-06	0.12442872	2.1051032e-07	0.012922157	2.0203806e-06	0.029802572	4.4554324e-07	0.8328369
priorregion1_spot_36	0.35624483	0.35218003	0.00014844241	2.8833526e-07	0.03956171	0.10918587	1.277751e-06	0.14267762
priorregion1_spot_37	0.23698337	0.23823942	0.18196502	0.01640345	0.11197072	0.19236322	0.02207479	2.7720053e-09
priorregion1_spot_38	8.03152e-07	0.11920177	2.1123367e-07	8.0112113e-07	0.0897073	0.057914816	0.046188664	0.6869857
priorregion1_spot_39	7.9947597e-07	0.15152277	2.4770966e-07	0.021433063	7.102048e-06	0.39293003	3.341878e-07	0.4341057
priorregion1_spot_40	0.30807352	0.3086415	0.10257081	1.1306764e-06	0.08320052	0.044847768	0.016406652	0.13625817
priorregion1_spot_41	0.03198846	0.052889053	4.3163695e-07	1.0450443e-06	0.1494493	0.03961993	2.026973e-07	0.72605157
priorregion1_spot_42	0.1586708	0.08397676	0.03519739	5.8222344e-07	0.07884753	0.090954	1.2787347e-06	0.5523516
priorregion1_spot_43	0.15294544	0.16187565	9.397001e-06	0.012434258	0.2599778	0.11387144	0.017055603	0.2818304
priorregion1_spot_44	5.9802466e-07	0.029105451	4.4949186e-07	1.5588842e-07	0.29453406	0.10193696	1.3303717e-06	0.574421
priorregion1_spot_45	0.0001143563	2.2065262e-05	8.5923364e-07	0.10387375	0.045679126	0.025706267	0.047618654	0.77698493
priorregion1_spot_46	0.30973583	0.14389496	1.1711983e-06	3.1705476e-05	0.03855121	0.10097632	2.760832e-07	0.40680856
priorregion1_spot_47	0.009592633	0.23554695	0.06129136	1.0799002e-07	1.3402272e-06	2.6975354e-06	0.03585214	0.65771276
priorregion1_spot_48	0.1565666	0.0010889486	2.0146808e-07	7.206408e-07	1.9892277e-06	4.1462133e-07	2.916406e-06	0.84233814
priorregion1_spot_49	1.6359578e-05	0.00034935348	6.720203e-07	0.024831576	0.101188205	0.3098703	5.280326e-07	0.56374294
priorregion1_spot_50	0.3185411	0.06127592	3.5035433e-07	0.011827578	0.081262015	0.07659453	0.03348769	0.41701075
priorregion1_spot_51	0.18796569	0.1672959	6.0586206e-07	0.005463615	0.095947616	0.055576734	4.824257e-07	0.48774934
priorregion1_spot_52	3.3229906e-06	0.10182264	1.0612724e-06	1.688231e-06	0.093991786	0.22439092	6.3745542e-06	0.5797822
priorregion1_spot_53	2.6153587e-06	0.028327925	3.7939571e-07	0.061435528	0.1210647	5.1191837e-05	1.688628e-06	0.78911597
priorregion1_spot_54	0.09082821	0.04074196	2.4105876e-07	2.7671732e-07	0.18653116	0.13793239	9.390483e-06	0.54395634
priorregion1_spot_55	0.013102623	2.1721908e-05	1.1389944e-07	1.6073268e-07	6.9341115e-07	0.43406385	0.08774153	0.46506923
priorregion1_spot_56	4.6836587e-07	0.05994408	1.084138e-06	4.542311e-07	0.1931295	0.0636252	1.0087135e-06	0.68329823
priorregion1_spot_57	0.00010703094	0.15778261	2.5788497e-06	8.228327e-07	0.10318375	0.12611644	4.515156e-06	0.61280227
priorregion1_spot_58	0.13613965	0.032478616	0.11741641	3.1891463e-07	0.100034796	0.020674583	0.022606662	0.57064897
priorregion1_spot_59	0.17830539	0.08341412	6.9964796e-07	1.5229922e-07	0.094040036	0.05975048	0.031953473	0.55253565
priorregion1_spot_60	3.3007686e-07	0.0138658425	1.6882872e-07	3.7415768e-07	2.2886704e-06	0.40950403	8.54503e-07	0.5766261
priorregion1_spot_61	8.935904e-06	0.2554234	0.09315397	6.6827744e-07	0.041378565	0.03871043	3.1916124e-07	0.5713237
priorregion1_spot_62	9.7291886e-05	0.06873268	4.2899626e-07	0.011899255	0.2253639	0.03524304	0.016628323	0.6420351
priorregion1_spot_63	2.1161001e-07	0.073104985	1.2153039e-07	1.7050125e-07	0.15820898	0.04120485	2.540412e-07	0.72748035
priorregion1_spot_64	1.4422393e-06	0.08071703	3.3059644e-07	0.030474529	8.191696e-06	0.15842804	0.0426156	0.6877548
priorregion1_spot_65	3.0584238e-06	0.02298952	5.99289e-07	4.2345147e-07	0.00022297598	2.0308928e-06	0.003184284	0.9735971
priorregion1_spot_66	0.07418733	0.07807725	0.039205413	2.7486936e-07	0.35162055	2.2414599e-05	0.0011793339	0.4557075
priorregion1_spot_67	4.63846e-07	0.06570479	0.02435702	2.8328998e-07	5.9681654e-05	8.792721e-07	6.535153e-07	0.9098762
priorregion1_spot_68	0.04645601	0.25549912	0.006819567	0.00745115	0.014767508	0.061946604	0.08958039	0.51747966
priorregion1_spot_69	0.04566755	0.11472747	8.365212e-07	1.4925229e-07	7.3084216e-06	2.096578e-06	4.2538572e-06	0.8395904
priorregion1_spot_70	6.7704536e-07	0.013689332	1.8034561e-07	2.5814364e-07	1.2902791e-06	0.42441604	0.08219147	0.47970077
priorregion1_spot_71	0.07066658	0.17588525	0.010589672	0.026346626	0.07073194	0.043162353	2.9686146e-07	0.6026172
priorregion1_spot_72	0.07511918	3.04179e-06	0.025911378	1.9024993e-07	0.11512862	0.06827145	9.625584e-07	0.7155652
priorregion1_spot_73	6.230454e-05	0.11905151	2.6062766e-05	0.05663139	0.3018967	0.2044311	1.3539209e-05	0.3178874
priorregion1_spot_74	0.010447521	1.6957174e-06	9.233023e-07	2.191498e-07	1.1711132e-06	0.064897604	0.08106485	0.843586
priorregion1_spot_75	0.04176938	0.23085974	3.2177957e-06	7.6165827e-07	0.1551025	0.047525447	8.3635916e-07	0.5247381
priorregion1_spot_76	0.043713897	0.068877086	8.6148043e-07	7.2197287e-07	0.2917029	0.14087947	4.002078e-06	0.45482114
priorregion1_spot_77	0.32751918	0.32678044	1.9408355e-06	5.019234e-07	0.06638584	3.2099626e-06	2.3860405e-06	0.27930638
priorregion1_spot_78	1.1818801e-06	0.12500365	6.1394576e-07	0.031369377	0.04872796	0.12592554	1.0507127e-06	0.6689706
priorregion1_spot_79	0.2636623	0.23202114	9.2088e-06	6.548013e-07	0.07931829	0.054806072	8.23983e-06	0.37017405
priorregion1_spot_80	6.0625285e-07	5.6389385e-05	3.5844934e-07	2.4237994e-07	3.6793112e-06	0.14658433	1.1050481e-06	0.85335326
priorregion1_spot_81	1.6980885e-06	0.14402328	8.607018e-07	7.1859614e-07	0.012525625	0.08348245	1.0992089e-06	0.7599643
priorregion1_spot_82	0.02290962	0.121675335	1.0856542e-05	1.1741683e-06	0.30003965	0.08910674	1.7907769e-06	0.4662548
priorregion1_spot_83	9.966467e-07	0.03204957	1.5855572e-07	3.9290737e-07	3.4949107e-06	9.436645e-07	6.5644036e-07	0.9679437
priorregion1_spot_84	1.1937786e-06	0.0030435424	3.1403775e-07	0.0067895106	0.1562721	0.052087337	1.408061e-05	0.7817919
priorregion1_spot_85	2.0897564e-06	0.08725726	2.0136844e-07	0.038526215	1.8649141e-06	1.1131425e-06	1.7534719e-06	0.8742095
priorregion1_spot_86	0.079519905	0.122373745	5.627539e-05	4.9915354e-07	0.0951753	0.06004518	0.07612278	0.5667063
priorregion1_spot_87	8.3663895e-07	0.11748265	0.046118155	4.6204244e-07	0.12512021	0.2488789	0.0035033212	0.45889553
priorregion1_spot_88	1.3256987e-06	0.11333837	0.08141868	3.6437812e-06	9.607039e-07	0.029364765	2.6874034e-07	0.77587193
priorregion1_spot_89	3.5334856e-06	0.16801304	0.004135622	1.1153206e-06	0.06523189	0.25861585	2.8603912e-05	0.5039703
priorregion1_spot_90	0.122611724	0.31106013	8.665872e-07	7.578768e-07	1.1346726e-05	0.25676954	5.478491e-06	0.30954012
priorregion1_spot_91	0.097234	0.27414304	0.06672312	4.2677482e-07	0.035509333	0.16525479	2.6949505e-07	0.361135
