,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.0074279522756114606,5.7319248071507905e-06,0.3386144161224365,0.0181896916590631,0.012949382374063135,0.6841972529888154,4.4020155473845084e-05,0.4801594391465187
priorregion1_spot_2,0.9597703397274018,0.10454613044857979,0.6601931244134902,0.005870879418216645,0.0007153934187954291,0.4408529222011566,0.00010289237652614248,0.0010123763175215572
priorregion1_spot_3,2.275856113433838,0.3471607595682144,0.9508217483758926,0.0021297547034919264,0.08760543949902058,0.8715666979551315,0.012890276173129678,0.005689481901936234
priorregion1_spot_4,0.2245456576347351,0.009290792932733894,0.7333590030670166,0.025781892519444228,0.10797473192214967,1.1039947092533111,0.014396464033052326,0.40514151006937027
priorregion1_spot_5,0.6445267111063003,0.021311469655483962,0.0869341403245926,8.956637839219185e-06,0.0027463683858513833,0.09919787719845771,7.357802473961783e-07,0.6141355216503143
priorregion1_spot_6,0.5637535244226456,0.022652488388121127,0.18417290151119234,1.2244053868926132e-05,0.08168094605207443,0.21455034613609314,0.0006243174197152258,0.5975238353013992
priorregion1_spot_7,0.47351769357919693,0.0005030929314671084,0.36979519575834274,0.0003861373872496188,0.023898423928767443,0.13676638528704643,1.6149736893567024e-05,0.30396449714899065
priorregion1_spot_8,0.48629783242940905,0.020536764245480302,0.2666066914796829,9.967472522021127e-07,0.007994743762537837,0.00023392430739477277,1.285739517697948e-06,0.39090532064437866
priorregion1_spot_9,3.3299885869026182,0.3104700043797493,1.0161717891693116,0.001976962189655751,0.012874940410256386,0.7652809828519821,9.084898920264096e-05,0.010489041963592172
priorregion1_spot_10,0.5655436664819717,0.008646667050197721,0.12230723947286606,7.716547697782517e-05,0.02193374028429389,0.20969115644693376,0.0002205322773079388,0.7420026272535324
priorregion1_spot_11,0.002445709239691496,1.3335339019704406e-06,2.4858108993441872e-08,1.4033844820460219e-06,0.0244416899047792,0.0481890082359314,5.382398903748253e-05,0.8026239186525345
priorregion1_spot_12,0.37457913160324097,0.039650830812752245,0.21828738301992417,0.00012291769198782279,0.02243614215403795,0.00012216831746627576,9.540213432046585e-05,0.7585519284009934
priorregion1_spot_13,0.12420095317065716,0.013812716910615563,0.30051144659519197,1.6494857300131118e-05,0.004173976765014232,0.002425193693488836,1.3694478002435063e-05,0.49036922454833987
