	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	3.659797e-08	0.03559373	0.37607402	0.002297172	1.2933512e-07	0.39153436	0.17981218	0.014688357
priorregion1_spot_2	0.0133681875	0.06529806	0.4384999	0.0034157287	0.020304384	0.30765188	0.13368952	0.0177723
priorregion1_spot_3	0.012096664	0.0681009	0.4138946	0.0066424003	0.008975696	0.2880961	0.18598606	0.016207617
priorregion1_spot_4	1.3957629e-07	0.038337067	0.6982289	0.003167962	3.0539732e-07	0.16824658	0.077361904	0.014657056
priorregion1_spot_5	0.037748393	0.078192264	0.40944976	0.0017658079	0.029816996	0.29031748	0.14037503	0.012334269
priorregion1_spot_6	0.02375651	0.03927546	0.670881	0.004481893	0.017524203	0.11474318	0.11679439	0.01254331
priorregion1_spot_7	7.104852e-08	0.027982531	0.37959057	1.0160149e-05	0.015462886	0.3526077	0.2128982	0.011447874
priorregion1_spot_8	1.821173e-07	0.04939897	0.59412706	0.0008755079	0.016097207	0.1967856	0.13007611	0.01263931
priorregion1_spot_9	0.00967693	0.090317175	0.43601283	0.000527082	0.025727194	0.31117043	0.117054075	0.009514202
priorregion1_spot_10	0.022507375	0.12393777	0.3538701	0.00476058	0.026418662	0.25257954	0.195237	0.020689012
priorregion1_spot_11	8.643436e-08	0.010888195	0.46107477	0.0023148267	4.3376875e-08	0.37095428	0.14438245	0.010385338
priorregion1_spot_12	4.5771237e-08	0.063211806	0.56543994	0.0012728081	0.02157317	0.24674727	0.08966178	0.012093254
priorregion1_spot_13	0.0060159946	0.036248725	0.60279083	0.0014581996	0.013675819	0.23429805	0.09691401	0.008598406
priorregion1_spot_14	0.018977435	0.06583533	0.47829515	0.0013087997	0.012769161	0.2731682	0.13794498	0.011700899
priorregion1_spot_15	0.007831122	0.035601538	0.47015664	0.005840118	1.1641436e-07	0.34127912	0.12834297	0.010948427
priorregion1_spot_16	9.0089037e-07	0.061996214	0.6377414	0.0050386107	0.0349529	0.19155645	0.059169166	0.009544448
priorregion1_spot_17	7.224943e-08	0.027804857	0.43862075	0.0006706973	8.717796e-07	0.4096142	0.115563266	0.0077252514
priorregion1_spot_18	0.0042962558	0.0064930045	0.4632457	3.152898e-08	0.0040788474	0.3653641	0.1443402	0.0121818455
priorregion1_spot_19	1.5307756e-07	0.030180711	0.6295542	0.002950071	4.6146358e-08	0.26665583	0.059924364	0.010734557
priorregion1_spot_20	1.2279285e-07	0.06729291	0.3859765	0.0029545252	0.025550509	0.34738448	0.15572014	0.015120817
priorregion1_spot_21	0.05964534	0.07305218	0.48658463	0.002447178	0.05516156	0.17619675	0.13426197	0.012650367
priorregion1_spot_22	0.010388898	0.0402013	0.4947912	0.004229829	0.019136036	0.28694972	0.12954809	0.014754908
priorregion1_spot_23	2.4675566e-07	0.06324024	0.40229827	0.0034161222	0.012165498	0.33130467	0.18280293	0.004772017
priorregion1_spot_24	2.4994547e-08	0.045237053	0.10401203	0.006210218	0.015977338	0.6182103	0.1842638	0.026089279
priorregion1_spot_25	4.8772275e-08	0.035212692	0.38812762	0.0006126212	4.9822752e-08	0.3861827	0.17634542	0.013518808
priorregion1_spot_26	1.548375e-07	0.0460882	0.65337735	0.001416808	3.7037287e-07	0.17844269	0.120632075	4.2426364e-05
priorregion1_spot_27	8.094284e-08	0.02196856	0.5820378	0.005333711	0.0049555637	0.30459297	0.07707274	0.00403871
priorregion1_spot_28	0.017015897	0.08059217	0.6577434	0.0028330106	0.03607889	0.1100171	0.08845889	0.0072605493
