,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,2.612261653212045e-06,3.135172079282711e-07,1.4214749813079834,0.021081613283604386,0.016229942440986633,2.979695982503472e-05,2.6832768412532463e-06,3.614924935391173e-06
priorregion1_spot_2,0.00014765820014872588,5.703483793695341e-07,0.5039650946855545,0.0018139264371711762,0.00012262662057764827,5.819791340400116e-06,8.845411912261625e-07,8.043847543603988e-07
priorregion1_spot_3,7.305482795345598e-05,0.29894367307424546,1.1696663320064544,4.520932043305947e-06,0.03599026277661324,8.986724569695071e-05,1.1619685483310605e-05,0.0007999951747478918
priorregion1_spot_4,0.002501159824896604,1.0568384368525586e-06,1.0743963360786437,0.003379237744957209,0.028346842154860497,1.7472690046815843e-06,1.4855714744044235e-05,5.049504125054227e-07
priorregion1_spot_5,8.9118469531968e-06,2.479769534602383e-07,1.2388582408428193,0.00013046288731857202,0.00016674581274855885,1.496526610935689e-05,5.633970005192168e-07,0.0003813397474004887
priorregion1_spot_6,0.0022619217401370407,0.09080599434673786,0.9644793540239334,6.36738575394702e-06,0.0017494006897322834,6.880548244225793e-05,1.4799738039528167e-06,1.5779476780153345e-05
priorregion1_spot_7,1.505643672317092e-06,1.6548475855415746e-06,1.2185381472110748,9.306035863119178e-05,0.0003699337656144053,1.4391681224878995e-05,6.876246203546543e-07,3.0000073394376157e-07
priorregion1_spot_8,0.002302897465415299,2.765072326837981e-06,1.2516852617263794,0.0007404222124023363,0.015831646881997587,1.8146712989164372e-06,0.003911783080548048,2.7213374806933646e-07
priorregion1_spot_9,0.00019195697896066122,0.05597053077071905,0.7270821005105972,8.921252738218755e-05,0.003995601763017476,2.619391098050983e-05,9.226534359640937e-07,3.533656979470834e-07
priorregion1_spot_10,2.1099933746882016e-05,4.1893779467727654e-07,0.9821978777647018,0.003141922340728343,0.009394520986825227,1.463784224142728e-06,9.188888952849083e-07,8.975312312031748e-07
priorregion1_spot_11,0.002387536049354822,0.20471227914094925,1.2534430623054504,0.00953431916423142,0.0033454502816312017,0.009626047685742378,2.958586755994475e-05,1.4762327907646978e-06
priorregion1_spot_12,9.432256405261796e-07,1.7897369986030753e-07,1.119662916660309,5.075200397186563e-06,0.006646022968925536,9.97022971205297e-06,0.0013024403830058874,2.6879253880451873e-07
priorregion1_spot_13,0.0007341580436332152,7.532293437861881e-07,1.0274940252304077,1.5796199420492486e-06,0.012406854983419181,2.576678143668687e-05,0.00012510776286944747,7.616128044674042e-07
priorregion1_spot_14,1.9005743251909737e-05,1.0503174280529495e-06,1.7122023403644562,2.722532517509535e-05,0.052940634451806544,2.901259731515893e-05,0.00012004004202026408,0.000206849307869561
priorregion1_spot_15,1.3423296934433894e-06,2.508600402961747e-07,1.455647134780884,0.011762211099267006,3.1096537099983835e-06,4.630261737474939e-05,2.3270984712553404e-07,2.3756681670761285e-07
priorregion1_spot_16,8.567379882151727e-05,0.17837816774845125,1.121352952718735,2.6316130742998214e-06,3.2102215118356984e-05,7.603190933878068e-05,1.3504199671388055e-06,9.844449891716068e-07
priorregion1_spot_17,5.585733970292495e-06,5.647727704172212e-07,1.2002965092658997,0.0008613068930571899,0.00134854867355898,1.901011290783572e-06,7.222197410783338e-07,1.4710079028645852e-06
priorregion1_spot_18,1.2795711973012657e-05,2.746766240306897e-05,1.2015993773937226,0.00010043711772595999,0.00039078639529179784,8.547439256290092e-06,9.221180476970403e-07,0.00032487438147654757
priorregion1_spot_19,0.009631487680599092,0.1303906872868538,1.1165466070175172,0.00028463698545238,0.01361019047908485,3.0441065064223952e-05,0.00045602778845932335,1.2800767399312462e-05
priorregion1_spot_20,0.00026707805664045737,0.29946628510951995,1.0936456859111787,1.369717881516408e-06,0.005497127491980791,2.905833571276162e-06,0.0024147805175743996,1.0279229968546134e-06
priorregion1_spot_21,0.011167742591351271,9.594481052772607e-05,1.4199382364749908,7.553313594144129e-06,0.04758515954017639,4.464512994672987e-06,3.878097572851402e-06,6.754806207709407e-07
priorregion1_spot_22,1.0831082863660414e-05,1.2377319137613086e-06,0.8380764722824097,1.7768703401088715e-05,0.006479081371799111,0.009735255734995008,4.520919719652738e-06,6.203555017236795e-07
priorregion1_spot_23,5.518640409718501e-06,0.018577193003147842,0.12699838802218438,7.76491611986785e-07,0.004267130070365966,5.320225227478659e-07,2.3485500832975958e-07,1.0129261767133358e-07
priorregion1_spot_24,2.864931175849961e-07,1.0850539489126734e-07,0.3550666704773903,0.0011429278121795506,8.546879471396096e-05,0.00019691401394084096,2.102301351669667e-07,5.667389501695653e-07
priorregion1_spot_25,0.00016436270598205738,4.665876303988625e-06,1.085222637653351,8.47965002321871e-06,0.00882216221652925,2.4977695488814793e-06,5.9644139810188785e-06,4.240355508500216e-07
priorregion1_spot_26,0.005831556627526879,3.0833172331767855e-05,1.3077565371990203,0.00021152741610421799,0.016571352444589137,5.082818393020716e-06,0.0010047620453406125,5.613736618670373e-07
priorregion1_spot_27,7.210070652945433e-05,0.25129429548978804,1.1523594975471496,2.6510892894293647e-05,0.023768414836376907,7.948521715661628e-06,3.0276502457127208e-05,0.0007309876527870074
priorregion1_spot_28,0.008907371759414673,0.11868145279586315,0.8091524809598922,0.004195407195948064,0.03240138925611973,3.9743689285387514e-06,0.002613859274424613,3.659713502202067e-06
priorregion1_spot_29,1.2997292003547044e-06,5.217226515696894e-07,1.0240693926811217,2.399678551228135e-05,0.003976785927079618,1.1478144074317243e-06,0.0032870091497898104,3.117033702437766e-06
priorregion1_spot_30,0.00010869834150071256,0.00014689394665765577,1.2017434597015382,2.915654722528416e-05,0.007556366152130067,0.0001568197796586901,5.4155898578756026e-05,1.6382417300064843e-06
priorregion1_spot_31,1.7623399617150427e-05,0.07504367753863335,1.2432857334613798,8.308161523018497e-06,0.007654712861403823,4.2646614474506355e-06,1.0128111853191513e-06,3.2108922027873636e-07
priorregion1_spot_32,0.000769460917217657,8.99735969142057e-06,1.2461902916431427,0.0033620267291553318,6.51813214062713e-05,0.00013753094826824964,1.0186377380705381e-06,1.3601570060473021e-06
priorregion1_spot_33,1.6467453576751722e-06,1.2154611852110975e-06,1.381557321548462,0.00010783588331833017,0.017452651634812355,2.8868965614492484e-06,0.00016699939442332834,4.877177985918024e-07
priorregion1_spot_34,0.0015197705652099103,0.24174287989735602,1.2277038633823394,0.002077499299775809,0.01508137034252286,8.414269905188122e-06,8.763322102822712e-06,0.0012991393741685897
priorregion1_spot_35,0.0016661295027006417,0.22319869920611382,1.1773313879966736,0.02127303518354893,0.014888577163219452,5.458618807097083e-06,0.014417152153328061,8.938314635997813e-07
priorregion1_spot_36,6.601759705517908e-05,0.003891862404998392,1.695233517885208,0.003058937704190612,0.013065248448401689,3.854078534004657e-06,0.00011133891493955162,3.633034509675782e-07
priorregion1_spot_37,1.7981103894726402e-06,6.174725477592347e-08,0.5443127691745757,6.710997809022956e-06,4.5871670266706134e-07,9.034624417836314e-06,6.024331042908671e-08,9.781216547821714e-08
priorregion1_spot_38,0.00035693044774234297,0.0022503951098769904,1.340610820055008,6.6501345372671494e-06,6.905981244926806e-05,1.865589329099748e-05,0.0010266120254527778,5.680687365838821e-07
priorregion1_spot_39,2.502668678516784e-06,8.202918252209202e-07,0.7479203939437866,6.868850578030105e-05,0.0013135195535141976,1.0066411095976947e-05,0.008743953611701728,4.729162083094707e-06
priorregion1_spot_40,4.1941389554267515e-06,7.144213924448195e-07,1.2458193719387054,4.058745471411385e-05,0.015199521649628877,1.2669466696024757e-05,0.0010555692540947347,1.2209431133669567e-06
priorregion1_spot_41,4.7182890511976445e-06,4.0656842429598324e-06,1.1075411915779114,0.0009073700610315428,0.034405510127544406,0.0017737600312102586,0.00010815093883138617,5.627739960800681e-06
priorregion1_spot_42,0.0032856680219992994,6.692680187825317e-07,1.157566648721695,0.00011061188197345473,9.255689001292923e-05,4.5901463863629035e-06,0.00037177535705268383,9.717747025206335e-06
priorregion1_spot_43,0.014278652239590885,2.2963298124523136e-05,0.9730177789926528,0.004186149779707194,8.288290628115647e-05,2.78775510196283e-06,5.208520548194429e-07,5.85663536867287e-07
priorregion1_spot_44,1.36592775106692e-05,4.587259945765254e-06,1.221188336610794,0.004157911008223891,0.00745664092246443,8.761229537412875e-06,4.954743121743377e-06,4.5314898784454276e-07
priorregion1_spot_45,0.004739446775056421,0.15864927917718888,1.1807629585266113,0.002684779744595289,0.03175922203809023,3.7702321492361083e-06,0.00033005065488396214,1.3852514530299232e-05
