	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.017911064	0.003931965	0.3189843	0.32036203	0.013213588	0.3056962	0.018189043	0.001711806
priorregion1_spot_2	0.016660146	2.9735796e-07	0.33048433	0.39191136	0.007146172	0.23389634	0.013864393	0.0060369405
priorregion1_spot_3	0.06950107	3.4105225e-05	0.28819394	0.2927258	0.032686066	0.28414482	0.022760926	0.009953217
priorregion1_spot_4	0.01615625	2.1186715e-05	0.3250121	0.32271162	0.00018744793	0.30311382	0.024793005	0.008004626
priorregion1_spot_5	0.0048355116	0.0015812314	0.18595892	0.6224083	1.2535631e-07	0.17544167	2.3223417e-07	0.009774095
priorregion1_spot_6	0.045261428	0.00078517443	0.30392036	0.30125543	0.0031860839	0.29475397	0.042428717	0.008408836
priorregion1_spot_7	9.739226e-06	0.0044531072	0.304785	0.45739904	9.185544e-07	0.22827053	0.0022217624	0.0028598688
priorregion1_spot_8	0.013594248	5.501494e-07	0.29418018	0.42346737	7.2866336e-05	0.2521689	0.0125064105	0.004009512
priorregion1_spot_9	0.00010815579	4.544328e-07	0.27492216	0.47453925	1.570256e-06	0.22005726	0.02757194	0.0027991498
priorregion1_spot_10	0.0037803273	0.026099777	0.18785635	0.58155066	7.812694e-08	0.16822365	0.024379497	0.008109575
priorregion1_spot_11	0.0082907425	1.7314315e-07	0.26263344	0.4889248	0.016274994	0.21388683	0.007064211	0.002924952
priorregion1_spot_12	0.054869626	3.1226527e-06	0.31259832	0.3749542	0.006700672	0.23635507	0.008800881	0.0057180114
priorregion1_spot_13	0.0102794655	1.5341713e-07	0.2513744	0.51770353	0.010206342	0.17562568	0.024409192	0.0104012005
priorregion1_spot_14	1.302408e-06	1.4021889e-07	0.20764521	0.59353393	1.4579004e-07	0.18817693	0.0068530706	0.0037893285
priorregion1_spot_15	0.023566788	0.007161078	0.2644225	0.4897104	0.008297239	0.17771716	0.02570944	0.0034153438
priorregion1_spot_16	0.013603098	3.495886e-07	0.26145008	0.47153857	4.3972723e-06	0.22134295	0.032060385	1.4980779e-07
priorregion1_spot_17	0.032335836	7.638892e-05	0.30841395	0.33936384	3.245094e-05	0.2800687	0.028855808	0.010853046
priorregion1_spot_18	0.017210644	4.2854076e-08	0.15974395	0.62346363	0.024450304	0.17402822	7.045321e-08	0.0011031121
priorregion1_spot_19	0.00017721162	0.009217028	0.31614724	0.3919894	0.03256169	0.21696772	0.024417402	0.008522329
priorregion1_spot_20	0.06041534	0.012065675	0.31221548	0.33081138	0.0074758492	0.24588537	0.02100204	0.010128757
priorregion1_spot_21	0.027138708	4.5292438e-07	0.3393771	0.37424555	3.1415526e-05	0.23923124	0.011915916	0.008059623
priorregion1_spot_22	0.029735696	4.998202e-08	0.17239022	0.6152809	0.017514871	0.14884494	0.011138844	0.005094393
priorregion1_spot_23	2.1728315e-06	1.6442182e-05	0.2112886	0.6211856	5.976131e-08	0.16750202	1.8928472e-07	4.905522e-06
priorregion1_spot_24	0.04205499	4.477792e-06	0.313326	0.32618603	0.014256619	0.27810907	0.022199951	0.0038627756
priorregion1_spot_25	0.016335526	7.4309224e-07	0.2755752	0.4727359	2.4998649e-06	0.21707366	0.013797168	0.0044793934
priorregion1_spot_26	0.013322832	0.0029507582	0.17981593	0.6575583	0.0066758743	0.12643541	0.0027271337	0.010513697
