,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,0.4352797970175743,0.05471635665744543,0.00030080702854320404,1.3896419977754703e-05,2.269283158966573e-05,4.496230801009915e-07,0.00038899461796972903,0.1724448762834072
priorregion1_spot_2,0.1065153107047081,0.06572234965860843,1.214840978036591e-07,7.745243152612602e-07,0.01472898372448981,0.002383719710633159,0.00020987126918043942,0.32462708950042723
priorregion1_spot_3,0.09500728510320186,0.008857035404071213,7.679119313763748e-08,2.1365924567362526e-06,0.0019651469425298273,4.638976378146254e-07,6.925314592081122e-05,0.22527997940778732
priorregion1_spot_4,0.03153778612613678,0.000477824236440938,2.790075956937699e-08,3.185260169402682e-07,0.0001031171195791103,5.888305395274074e-07,4.583602745356075e-07,0.34464489221572875
priorregion1_spot_5,0.09994077049195767,0.08441334553062915,5.729173491175743e-08,5.484629809870966e-07,2.816786854964448e-05,9.002987426356412e-05,2.7075452521785335e-06,0.24828864634037018
priorregion1_spot_6,0.18990146219730378,0.1461137406527996,3.230165532386309e-07,2.9288085215739556e-06,0.0683234442025423,3.81483837372798e-06,1.2804093648810525e-05,0.31698114722967147
priorregion1_spot_7,0.39251735508441926,0.03300595059990882,1.2080161688743373e-07,7.498648074033554e-07,0.021704173553735016,2.7890426963494974e-06,0.002317340869922191,0.21619280651211736
priorregion1_spot_8,0.3510819524526596,0.044999901205301285,7.227352853078628e-07,2.6600891305861297e-05,3.6644196086399463e-07,3.5445657253774246e-08,3.778198252035736e-08,1.229255324197709e-08
priorregion1_spot_9,0.11089055091142654,0.00021423591606435367,5.8225758614582904e-08,4.5636565175755096e-07,0.00039025315199978653,1.8634431000918996e-06,1.6639850969113467e-06,0.24031958132982253
priorregion1_spot_10,0.11896244697272777,0.008826787211000919,5.510552956167203e-08,8.620996453601038e-07,0.00018041536095552145,0.0002831573088769801,2.4687859536243193e-06,0.4289275124669075
