	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.002060897	4.9371742e-08	0.21384656	0.0024813586	0.02443586	0.008960478	0.7482148	2.2926875e-08
priorregion1_spot_2	1.2093209e-07	2.195957e-08	2.2357142e-07	1.529919e-08	0.2117441	7.4173383e-09	0.77885824	0.009397244
priorregion1_spot_3	2.434149e-08	0.00030136458	0.05639939	0.30856013	0.30891055	1.078528e-06	0.3258273	2.0624098e-07
priorregion1_spot_4	0.0033027371	5.3963827e-08	6.4883847e-07	0.00050431787	0.5254429	2.4864267e-08	0.4707492	8.2805514e-08
priorregion1_spot_5	2.438661e-07	0.00049387576	0.030449225	0.0046441336	0.3947769	3.9978087e-08	0.56963533	1.9864169e-07
priorregion1_spot_6	1.9266155e-08	2.3606491e-08	0.14832003	0.14422166	0.3022406	0.009032085	0.39618552	6.577003e-08
priorregion1_spot_7	3.911836e-08	3.7243346e-08	0.048028424	0.0006504991	0.49446416	1.7946302e-08	0.44459698	0.01225987
priorregion1_spot_8	1.9891688e-08	4.0790248e-08	8.306722e-08	1.237851e-08	0.5244254	0.0019505639	0.4736238	9.593263e-08
priorregion1_spot_9	6.555627e-08	3.7937582e-08	0.0230823	0.042092912	0.38924688	2.2056656e-07	0.539891	0.005686541
priorregion1_spot_10	0.00019720566	2.6442578e-08	2.1149075e-08	5.709066e-09	0.73496914	8.5230285e-09	0.24805696	0.016776666
priorregion1_spot_11	6.165971e-08	7.437121e-08	0.19167043	0.0041590994	0.37053078	0.00437371	0.4233754	0.0058904137
priorregion1_spot_12	0.002992669	0.001850091	4.977972e-07	0.24753372	0.7426691	0.0008395536	4.6837286e-08	0.004114253
priorregion1_spot_13	1.4343785e-08	9.085008e-09	0.015657436	8.9916796e-08	0.2688558	2.6639473e-08	0.71013016	0.00535651
priorregion1_spot_14	3.8950617e-07	2.176749e-08	0.05359997	1.2662762e-08	0.50554913	3.414724e-08	0.40989575	0.030954601
priorregion1_spot_15	0.0010122951	2.1903144e-08	0.02195232	0.11417489	0.44190532	3.274363e-08	0.4040538	0.016901301
priorregion1_spot_16	1.9947224e-08	8.167971e-09	2.5636965e-08	2.3507665e-08	0.37519994	6.890774e-09	0.62479967	2.9091467e-07
priorregion1_spot_17	0.00088834733	1.10810895e-07	0.111553885	0.0028771646	0.438821	0.0020823244	0.43954316	0.004234017
priorregion1_spot_18	6.6790946e-08	2.842157e-08	0.096624896	1.38169e-08	0.45192632	0.015878098	0.42431143	0.011259126
