	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.004655947	3.8506866e-07	0.9953294	1.16087485e-05	2.1626113e-06	2.1609077e-07	2.3892323e-07	5.7057914e-08
priorregion1_spot_2	9.022776e-07	4.097837e-07	0.96847385	4.6986712e-05	0.0074894656	0.023987371	6.2135746e-07	4.0259755e-07
priorregion1_spot_3	1.4196976e-06	0.01860243	0.33001074	0.6513844	2.2525083e-07	1.7156071e-07	3.8427615e-07	2.39231e-07
priorregion1_spot_4	0.019730518	0.009058145	0.93726015	0.00053572736	8.927448e-07	3.36882e-07	0.027893612	0.005520663
priorregion1_spot_5	1.2822068e-06	9.12827e-06	0.99997723	1.1105648e-05	2.7608073e-07	2.3964907e-07	6.839431e-07	1.3180416e-07
priorregion1_spot_6	0.010997465	0.05089801	0.9380999	2.3144405e-06	1.3166643e-07	2.4052937e-07	1.7232502e-06	1.634825e-07
priorregion1_spot_7	2.4077383e-06	0.00892937	0.15254934	0.82984495	1.3298562e-07	0.008672247	1.4445775e-06	1.8420094e-07
priorregion1_spot_8	1.9091963e-06	5.0824e-06	0.9446958	1.6930946e-05	3.3982403e-07	3.118605e-07	0.055279516	7.60954e-08
priorregion1_spot_9	0.016102627	4.933534e-07	0.7910353	0.1928605	1.1519788e-07	4.0601947e-07	4.4125224e-07	1.3364422e-07
priorregion1_spot_10	1.6442754e-06	4.6053304e-07	0.546431	0.43655038	2.9684887e-07	3.1589747e-07	0.01701566	2.5868562e-07
priorregion1_spot_11	2.1413857e-06	7.5839796e-07	0.9195597	0.014213707	0.06622088	1.8394006e-07	1.9182637e-06	6.7971087e-07
priorregion1_spot_12	3.3622368e-06	4.4065832e-06	0.9437778	0.05162084	8.666007e-07	3.610882e-07	4.495539e-07	0.004592013
priorregion1_spot_13	1.0968138e-06	5.6183086e-07	0.9286045	0.06587604	1.7541208e-07	1.3009301e-06	1.0423721e-06	0.005515281
priorregion1_spot_14	0.0034754106	0.017281737	0.9235505	0.05569056	2.6509792e-07	8.839881e-07	3.6283456e-07	1.9424014e-07
priorregion1_spot_15	5.506956e-07	6.7531624e-07	0.9877629	6.119055e-05	1.8134578e-07	3.6396494e-07	0.01217389	1.5063975e-07
priorregion1_spot_16	0.0070005767	5.824721e-07	0.5610859	0.42575893	2.1576418e-06	5.50323e-07	0.0061511127	1.2705866e-07
priorregion1_spot_17	2.4108803e-07	1.4380157e-07	0.97378755	6.3618045e-06	9.757682e-08	1.00520154e-07	0.026205469	4.6251483e-08
priorregion1_spot_18	1.9154022e-06	0.121865556	0.83443433	0.008549009	3.2473622e-07	0.028527029	1.0320216e-06	0.006620877
priorregion1_spot_19	9.561703e-07	5.3278163e-06	0.9619736	4.7058827e-05	4.0768964e-07	4.900819e-07	0.034048487	0.0039237174
priorregion1_spot_20	0.039349034	5.2352044e-07	0.6550725	0.19555971	1.3505822e-07	0.11001797	2.1619425e-07	2.3163182e-08
priorregion1_spot_21	0.09533019	4.2180685e-07	0.9040168	3.9485967e-06	0.0006472408	8.777089e-07	4.7021203e-07	7.322329e-08
priorregion1_spot_22	0.022960698	1.4104001e-05	0.3488503	0.50643057	0.08537964	4.6568633e-07	0.03636405	1.735729e-07
priorregion1_spot_23	6.150231e-07	5.370444e-07	0.9643797	8.286288e-06	1.6443492e-07	0.035604827	5.6719923e-06	1.2083275e-07
