	Astrocytes	Bergmann	Choroid	Endothelial	Granule	Microglia	Oligodendrocytes	Purkinje
priorregion1_spot_1	0.0033602987	0.058476016	2.4416562e-07	0.40962434	0.23444296	0.19162285	0.07050154	0.031971812
priorregion1_spot_2	7.234532e-05	0.0719651	0.00019160968	0.32767037	0.22584869	0.22320011	0.11228966	0.03876212
priorregion1_spot_3	3.5015526e-07	0.0703014	5.339642e-07	0.21318236	0.17326614	0.41406357	0.10138305	0.027802628
priorregion1_spot_4	1.1579924e-05	0.058112282	2.052575e-06	0.39426896	0.22660013	0.23037368	0.06695442	0.023676932
priorregion1_spot_5	0.00093463104	0.07706305	0.0645646	0.26861805	0.22671428	0.25367984	0.086643256	0.021782247
priorregion1_spot_6	1.2425717e-06	0.047915317	0.015716337	0.13222417	0.2847716	0.43297222	0.061247896	0.025151106
priorregion1_spot_7	0.037591714	0.06029398	0.017278066	0.2306396	0.23634654	0.23760964	0.13308863	0.04715176
priorregion1_spot_8	4.1151134e-07	0.035039835	6.209944e-07	0.3093071	0.20880799	0.38034514	0.04713802	0.019361053
priorregion1_spot_9	0.008204604	0.01881298	7.591061e-07	0.3643581	0.2531782	0.292676	0.046047594	0.016721647
priorregion1_spot_10	3.4808322e-06	0.07475699	3.9255898e-05	0.48366466	0.2709345	0.095351	0.04692826	0.02832191
priorregion1_spot_11	0.0002666279	0.020404955	7.370573e-07	0.21006748	0.25155684	0.37122262	0.1321584	0.014322361
priorregion1_spot_12	1.769912e-05	0.050168276	1.3589735e-06	0.34468296	0.22344212	0.26010498	0.09074586	0.030836714
priorregion1_spot_13	0.027718691	0.06265777	0.0007879411	0.24015106	0.24372688	0.2631621	0.104883514	0.056912046
priorregion1_spot_14	6.238714e-06	0.11018413	2.0882585e-07	0.10499928	0.20379908	0.46531445	0.07697827	0.038718373
priorregion1_spot_15	0.022910593	0.060623664	0.03789971	0.2838394	0.25330758	0.21976233	0.09049006	0.031166686
priorregion1_spot_16	0.06974122	0.08499912	0.06722307	0.20276512	0.19634865	0.19488592	0.112968005	0.07106895
priorregion1_spot_17	1.6388067e-07	0.07267296	1.17822644e-07	0.0019312818	0.23592766	0.52215105	0.12756877	0.039747912
priorregion1_spot_18	1.9379446e-07	0.06372024	5.163594e-07	0.45683488	0.23650484	0.17666416	0.05427594	0.011999203
priorregion1_spot_19	1.2703896e-05	0.044566885	6.1648875e-06	0.32938945	0.25879872	0.26135033	0.07614483	0.029730946
priorregion1_spot_20	0.005430785	0.0690661	1.0042347e-05	0.25436023	0.2816725	0.27836227	0.0722509	0.03884716
priorregion1_spot_21	0.010161598	0.02846333	1.16200006e-07	0.5073721	0.17781454	0.20383947	0.026017768	0.04633114
priorregion1_spot_22	0.006059795	0.05170022	5.9400714e-05	0.25291133	0.24808724	0.26333717	0.12968989	0.04815494
priorregion1_spot_23	1.02026284e-07	0.046263903	5.975652e-07	0.36095703	0.124048986	0.38994497	0.04727808	0.03150627
priorregion1_spot_24	7.613796e-07	0.04243337	0.007523695	0.0024024893	0.3047914	0.53843254	0.07729133	0.027124388
priorregion1_spot_25	0.00032256497	0.054532047	0.0175387	0.2870499	0.22945452	0.30745012	0.06874289	0.034909226
priorregion1_spot_26	2.0983357e-06	0.04269981	1.6355223e-07	0.2385923	0.24234065	0.36951587	0.078900605	0.027948538
priorregion1_spot_27	2.0796384e-05	0.05442476	0.017968858	0.35498735	0.242637	0.22018594	0.08506417	0.024711106
priorregion1_spot_28	0.0009451545	0.06541353	0.028324597	0.2793511	0.24819168	0.25393638	0.09599862	0.027839005
priorregion1_spot_29	0.008880326	0.02282518	6.398954e-08	0.18577264	0.24857019	0.42001316	0.08722788	0.02671051
priorregion1_spot_30	0.004068824	0.03426021	1.4349474e-07	0.19225514	0.22588176	0.40298647	0.08269638	0.057851143
priorregion1_spot_31	9.432096e-05	0.06484921	5.362277e-05	0.30546474	0.24572985	0.25240967	0.10334199	0.028056644
priorregion1_spot_32	0.037730657	0.06552608	1.3303129e-07	0.01951929	0.24449037	0.49799988	0.079691716	0.055041842
priorregion1_spot_33	0.0086452	0.037734255	0.031842247	0.22046179	0.1805596	0.41666982	0.08620728	0.017879799
