,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.00034931543341372163,1.9072113346396694e-07,1.0082104324737884e-07,5.06689103119129e-08,1.0481769025325776,0.995145782828331,0.0016355363011825831,0.00033216339215869084,2.7022450353797466e-06,3.88848795296326e-07,6.966462358093396e-08,5.591146798877845e-08
priorregion1_spot_2,2.1532019854930698e-05,3.5588183891377413e-06,1.995529748910485e-06,2.014035644037904e-07,1.3337483763694764,0.28484743684530256,0.4378062948584556,1.2392653388815233e-05,6.066621554055018e-05,1.1565577328205108,0.0524300217628479,1.8450582047080388e-06
priorregion1_spot_3,0.00026274008705513553,1.2067943225702038e-05,1.4078328717914701e-06,2.0780116827268102e-07,0.3828277409076691,0.579011857509613,0.14092307165265083,0.0001079811056115432,0.0001329805534624029,1.178958821296692,0.05592051092535257,0.0033299673697911206
priorregion1_spot_4,2.6497561339056117e-05,7.003093787716352e-06,0.0018688203301280737,4.329546163717169e-06,1.9833756685256958,0.2474798381328583,0.26676575988531115,0.0008262164745246991,0.0004135132854571566,7.457841070390714e-06,9.423649686368663e-07,3.7678140358821115e-07
priorregion1_spot_5,2.2125549457996387e-05,1.173212018557024e-06,3.707253796392251e-07,2.1294856900055946e-08,0.8274324744939804,0.30685312598943715,2.3534214142273414e-05,7.516024851383918e-07,3.5083298143945288e-06,0.4418061375617981,0.0019478151458315553,3.710709663096168e-07
priorregion1_spot_6,0.011231422051787376,6.120060083958379e-06,2.059443909274705e-06,2.2002146238264689e-07,1.4271685659885405,0.5366765648126602,0.03206704221665859,7.855889562051744e-05,0.00017727581362123602,1.2862927794456482,0.018852024432271717,1.0535813487422275e-06
priorregion1_spot_7,0.0010109958180692048,9.057833267434035e-07,5.314485633789446e-07,7.224121532090066e-08,1.983048814535141,0.3317890599370003,0.0001749692855810281,4.4729471397886306e-07,1.3074751450403712e-05,0.23004135265946388,2.7605304603639523e-05,3.4764803018561e-07
priorregion1_spot_8,1.3016960565437332e-06,9.24377037136992e-08,6.41951936586338e-07,6.584423175581832e-08,1.9660152077674866,0.009046259708702565,0.0006310512049822137,1.0073540863686506e-07,1.2628199840492015e-06,1.526880799929131e-06,1.892003410830512e-07,4.708464782510191e-08
priorregion1_spot_9,2.270260947625502e-05,6.493908767879476e-05,2.225702223768167e-06,1.5355681739492866e-07,1.2359365403652192,0.7872096061706543,0.015716139413416385,1.1101361508281117e-06,8.173329952114728e-05,1.099184024333954,0.017586424108594654,1.2058016238825078e-06
priorregion1_spot_10,2.4166694970517714e-06,4.627797864031891e-07,3.976555646545422e-07,7.788148792542415e-08,1.3887950897216796,0.5755119025707245,0.0004087543697096407,8.031999563229419e-08,1.888108306502545e-06,0.19003034681081774,6.1118428902773305e-06,8.838501024399647e-08
priorregion1_spot_11,3.928070618712809e-05,1.8140939027944113e-05,1.716211897928588e-06,2.913462864739813e-07,1.3577026784420012,1.5879717230796813,0.06922343261539936,2.590649341982498e-06,4.235303640598431e-05,0.5988608777523041,0.13946978971362115,5.966919002275972e-06
priorregion1_spot_12,0.00019337535413797014,9.584563315456763e-07,4.540520058071707e-06,3.727993259872164e-07,1.0438583314418792,1.0988749146461485,0.001223374722758308,0.004861785098910332,6.362251442624257e-05,0.6644256621599197,0.005023048655129969,8.609067037923525e-07
priorregion1_spot_13,9.559747604726e-06,1.3541965427066319e-05,2.762945257472893e-07,1.7237708505035698e-07,1.3624688148498534,1.3047706723213195,0.0018268623505719006,6.008757196696025e-07,5.165143211343093e-05,0.3999909147620201,3.778844220505562e-05,8.691693437867799e-07
priorregion1_spot_14,1.0742404992925004e-05,1.1275134959021217e-07,2.531049332787916e-07,3.4266559545415023e-08,0.7405598491430282,0.0022896640351973475,0.14970847368240356,2.576628432393591e-07,0.00016373129183193668,0.11473315469920636,0.03327451702207327,1.1435315059316056e-06
priorregion1_spot_15,0.0005964669224340468,6.725188291056839e-06,4.764089703712671e-06,3.016108081510538e-07,1.8309159576892853,0.04086709283292294,0.0008198073948733509,0.0005055354442447424,0.00020630090002669022,0.8570156663656234,0.0020574793568812312,3.6473754363441916e-07
priorregion1_spot_16,4.131759283154679e-06,3.575766562846638e-08,1.663287896747079e-07,3.145397933224104e-08,1.0972334027290345,0.0013489537115674466,0.012890482740476727,1.5331320426525966e-07,5.779367967306826e-07,0.18113724514842033,0.0006266213953495025,3.920008239788331e-07
priorregion1_spot_17,5.4127048861118966e-05,5.995158380756039e-06,7.062570693960879e-05,1.9561267663448237e-07,1.062786489725113,0.5078663051128387,0.16892295107245445,6.2937273696661584e-06,0.01071256762370467,0.8209928870201111,0.019477078504860402,1.2262296195331145e-06
priorregion1_spot_18,3.5200565616833056e-05,6.372750419814111e-07,2.0893276087008417e-05,1.1901822972504307e-06,2.033806097507477,0.1416023202240467,0.26096996515989307,0.00010043511429103091,0.01595850018784404,0.30352136343717573,3.604875200835522e-05,1.4834594850299256e-07
priorregion1_spot_19,9.587867816662769e-06,1.0530966278565757e-06,1.1799561434600037e-06,1.1346997617067701e-07,2.0102835178375247,0.07012411989271641,0.3567837879061699,4.095033068551857e-06,5.7916398145607675e-05,0.39563840478658674,0.0006577070424100385,6.291849587114485e-07
priorregion1_spot_20,0.0010927655384875834,3.190934265262513e-07,0.0003005123435286805,3.5357711681172083e-06,0.8575971573591232,1.860716164112091,0.00039324854005826635,1.5960203654685756e-05,0.013459581788629292,4.93842057380789e-07,1.661956311238555e-07,3.917224873362102e-07
priorregion1_spot_21,1.5673747657274362e-05,1.3370168971960086e-07,3.320219406077741e-07,6.22445863740495e-08,1.5979141771793366,0.2893084317445755,3.406083033041796e-05,5.253081098999247e-07,0.013481765426695347,0.15315774753689768,7.088174606906251e-05,2.074085057302e-06
priorregion1_spot_22,6.634125952587056e-06,2.3819763370624968e-07,8.370948762603804e-07,1.0624906074951924e-07,1.1292244136333467,0.002436759800184518,0.1759447254240513,6.467445700764075e-06,0.00037914698186796163,0.35995267778635026,0.01302074110135436,2.556606602865941e-07
priorregion1_spot_23,1.5000857638369782e-05,2.6321744961421703e-08,1.9856004911389395e-07,1.233962185764881e-08,0.5297996550798416,0.0010048664000350982,1.0313049926935492e-06,2.145254740071323e-07,6.617949509291066e-07,0.16914496198296547,2.745770061665098e-05,4.726070716998265e-08
priorregion1_spot_24,3.0752491625207767e-06,2.472379546816228e-05,3.8366699754988077e-07,4.62238800125192e-08,1.5810275852680207,1.1679128766059874,0.019660771079361438,5.224992975172426e-07,6.119288377703925e-06,0.22039432376623155,4.234323860146105e-05,4.942210409808467e-07
