,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.004704950167797506,1.502858585809008e-05,0.1852290414273739,0.5482163906097411,6.058497547201115e-07,0.0003401549212867394,0.003407171554863453,3.0830881314614093e-06,0.17531858757138252,0.0004907089518383145,1.2891789447166957e-05,0.007978602219372988
priorregion1_spot_2,0.005532078631222248,2.510504270958336e-06,0.0006837750057457015,0.002239289018325508,4.546264699456515e-05,1.5352451860904692,0.022525048162788153,0.11655648909509182,2.4296707749366764,5.071037463721951e-07,0.8599507987499236,1.1446345581589413e-06
priorregion1_spot_3,0.02782863089814782,2.728280219344015e-06,0.06775219216942786,0.8071741253137588,0.06490727290511131,3.235021233558655,0.0017899123718962072,2.37880911299726e-05,0.23366970792412758,6.042974996489648e-06,0.39695701897144314,1.1983828926531716e-05
priorregion1_spot_4,2.3923138087411647e-05,1.3369786643124825e-06,0.08089251704514028,0.262084986269474,2.4086946154966425e-06,0.2596134290099144,0.0002634161035530269,8.561121198624733e-08,0.0007349192601395771,5.912211163376923e-05,1.4682097613811493,1.9519185389071936e-05
priorregion1_spot_5,1.9571339907997754e-05,1.2679045156005488e-07,0.00037317628302844245,0.0004139663142268546,6.392788509401726e-06,0.9463701844215393,0.0007570047338958829,7.452762984030415e-05,0.919142895936966,9.916704080126237e-08,1.120781546831131,4.04582213775484e-07
priorregion1_spot_6,0.06260858364403248,7.58739238904127e-07,0.0011082381301093845,0.5298849523067475,0.0009045101120136678,0.03504256885498762,0.09629547856748104,1.916118262670352e-05,0.5719094663858414,5.537069173442433e-05,0.7026671648025513,2.2448532831731428e-06
priorregion1_spot_7,0.006498481240123511,1.43179933331794e-07,0.05080533493310213,0.17275193259119986,4.360287235272154e-07,0.000378194049699232,1.8438789538777201e-06,1.4219595129816299e-06,0.11186182238161564,2.2270998627504927e-07,1.0014460201546173e-06,1.4746821053179818e-08
priorregion1_spot_8,0.005168971093371511,1.0174532789619662e-07,0.17008093297481536,0.5274688363075257,6.016859742885573e-07,0.00036344770051073284,1.9330454415467104e-05,0.0004951147042447702,0.14619378075003622,1.0241502423014027e-06,1.9011825543202578e-06,7.151120406945212e-08
priorregion1_spot_9,7.795592523507368e-06,7.111114797453411e-07,0.0011487605166621508,0.0005021281423978507,1.2095487909391524e-05,0.6451756358146667,0.10436511449515819,6.537078775181727e-07,0.9527179151773453,2.354106811708334e-06,1.1157432854175569,4.474925981412526e-06
priorregion1_spot_10,1.1416070265113376e-05,6.325978034738e-08,0.0003149357478832826,6.009850324062427e-07,2.2499252099805745e-05,8.17219330201624e-05,1.1047864381907858e-05,0.07538048103451728,0.5743770807981492,7.380260953482321e-08,0.12713130414485932,3.575988056780943e-08
priorregion1_spot_11,2.00798125433721e-06,6.86706610508736e-07,0.2143561787903309,0.7007428526878358,0.009184167953208089,0.5758250147104264,0.00018680227658478545,1.757383842004856e-07,0.23580746427178384,3.364701399277693e-07,0.0006105867214500904,8.81035616657755e-06
priorregion1_spot_12,0.00020822039878112263,3.232742733416672e-06,0.10830248445272446,0.4807924240827561,0.0287972966209054,3.187977337837219,0.13485820218920708,7.63765503961622e-06,0.010074930358678102,5.016723821427149e-06,1.1568134009838105,2.7915093960473316e-05
priorregion1_spot_13,0.0003873775523970835,5.734996733508525e-07,0.08702390380203724,0.19936325028538704,1.1553335014014011e-06,0.347568815946579,2.977922904392472e-05,2.9093433440152697e-08,0.00022691083067911678,1.4489444879473017e-06,0.2320924773812294,1.5868285601072783e-07
priorregion1_spot_14,0.0003330194682348519,5.817623275561345e-07,0.0589977327734232,0.5575804084539413,0.0030332970432937144,0.2995347052812576,9.690885017334949e-05,0.05626120138913393,1.0383641183376313,2.0783706133897795e-07,0.0021816068910993636,5.846397101549882e-07
priorregion1_spot_15,0.05637437608093023,9.430046293346094e-06,0.3090294048190117,0.35996440201997754,0.0009816993377171456,2.203924775123596,0.11736359335482122,1.976866997210891e-05,0.42977780699729917,8.044931610129426e-06,0.15718989744782447,0.05185291245579719
priorregion1_spot_16,0.0012888182303868237,2.05424987598235e-06,0.10592278018593787,0.7831112235784531,0.005630277609452606,1.8723533749580383,0.5123277515172958,0.0015916230506263674,0.0063157715834677225,2.438418368910789e-06,0.24265655055642127,0.00014124048029771075
priorregion1_spot_17,9.014840316012851e-06,5.035043102452619e-07,0.005368620553053915,0.00013879144171369262,9.818734288273845e-05,0.3307158380746842,0.0005371382780140266,1.6227566419502183e-07,0.00022011817418388094,0.2095090039074421,1.7904341757297517,3.3616057521612677e-06
priorregion1_spot_18,0.005879647610709071,1.618993583178963e-05,0.3603955894708633,1.485057669878006,0.0002908920447225682,1.6301275074481962,0.3799579590559006,1.1813699302365421e-05,0.2255047231912613,7.197765171440552e-06,0.8316523790359497,6.70459094180842e-06
priorregion1_spot_19,0.17658646777272224,2.3713253426649318e-06,0.1739490695297718,0.0006733090995112434,0.00012130481627536938,0.7993325710296632,0.00041386111261090266,0.0014611443853937089,1.0508589565753936,0.00053058568155393,0.17638558745384217,1.2090299435385534e-06
priorregion1_spot_20,5.5852457080618475e-06,2.591194416368126e-07,0.07460572235286236,0.4417884960770607,0.0075931831961497664,0.4265124127268791,0.00146470153122209,3.9549211760459005e-05,0.007222484797239304,1.2321812164373113e-06,0.00014583486554329281,0.2338332340121269
priorregion1_spot_21,0.0014616497268434615,2.8386675126057526e-06,0.003075496107339859,0.3648986414074898,0.00013528238705475814,3.207239508628845,0.019140096753835677,0.000158715986617608,0.2688372701406479,8.805542620393681e-07,2.298764741420746,7.996183421710157e-06
priorregion1_spot_22,3.199449656676734e-06,2.4334254575819616e-07,0.433948589861393,0.9503356069326401,1.8047216343575204e-07,6.909277726663277e-05,0.00018047243138425985,0.0006179195974254982,2.5182484932884113e-06,0.0006401754188118503,1.711880844368352e-06,0.0005104055744595826
priorregion1_spot_23,0.009588735410943627,1.9189042120615344e-06,0.07911929227411747,0.8438629478216172,0.031786194816231725,1.225898027420044,0.0009401705930940807,6.491918770734629e-06,0.5439888745546341,1.1548794759619342e-06,0.8368746370077134,6.910439651619527e-06
priorregion1_spot_24,0.00231333642732352,7.083672642238525e-07,0.22283367589116096,0.560130450129509,0.0005625377671094611,0.03704012054949999,0.008311433298513294,1.1279921545792604e-05,0.14787511751055718,6.459155611082678e-06,0.1808539390563965,4.3841485677376116e-07
priorregion1_spot_25,0.07355569191277028,4.769792468550804e-07,6.898034043842926e-05,0.00030109730723779646,0.0008729903551284225,0.33529916405677795,0.16732967942953111,2.503817472643278e-06,0.09219655022025108,6.371935313609356e-07,0.0011425141885410995,3.0392938469958606e-06
priorregion1_spot_26,0.0243675384670496,1.2391285224566673e-06,0.00131656777812168,0.4652459010481834,0.003238159394823015,1.3355516612529754,0.009268311504274606,6.600914275622927e-06,0.8798025995492935,1.005766428363586e-07,0.0012498440395575018,8.014206116513379e-07
priorregion1_spot_27,0.0006698612181935459,3.234676640317957e-07,0.08845007196068763,0.5768342912197113,0.0037532861228100956,0.4922097757458687,0.0005979870882583783,0.0004117855249205605,0.005299306102097034,2.3044720137477274e-06,0.658796101808548,0.0008999996905913576
priorregion1_spot_28,9.639869240345434e-05,2.0995314997662717e-07,0.10612090826034545,0.3510035157203674,1.8882875139070165e-07,8.3020228339592e-05,6.72809508159844e-06,8.731369962333702e-06,2.862174608253554e-06,3.3543811355230004e-06,0.2565120846033096,1.8658957845474335e-08
priorregion1_spot_29,0.00010290391001035459,2.637457569676372e-07,0.15564284697175026,1.0003833293914794,0.0045913744950667025,0.5763894796371459,0.003070872300304473,0.09173577576875686,1.7807458698749543,9.772901165661097e-07,0.0010318729269783945,4.809111715076142e-07
priorregion1_spot_30,0.0007576745352707803,6.15068493061699e-06,0.021238500997424123,0.6757854849100113,0.0006426716485293582,1.640911239385605,0.0715140625834465,0.47315254211425783,1.66377312541008,2.9953452553854736e-06,0.5634403258562088,5.9544416444623495e-06
priorregion1_spot_31,3.396345630335418e-06,4.1831983992324236e-07,0.0007053977402392775,0.0012032997678034008,2.1606162022180795e-06,1.0517284512519838,0.025597614329308273,8.533278560207691e-06,1.1370800316333771,1.909616599959918e-07,0.2542075335979462,9.407230621150122e-08
priorregion1_spot_32,0.00032260372972814366,1.0316862642412163e-06,0.7655661314725876,1.8892588675022126,0.008114410657435655,2.287023174762726,0.32174799144268035,5.241294934421603e-06,0.10065668150782586,3.5498761280905466e-05,0.004330381541512907,0.26872406601905824
priorregion1_spot_33,0.00020413589008967393,1.3691316240738164e-07,8.972553987405263e-05,0.00015171902632573622,3.012972300098227e-07,0.5317287921905518,0.10475405044853688,1.2029650804379346e-06,0.694810575246811,7.931139549555156e-08,0.22622603848576545,1.2951221606272156e-07
priorregion1_spot_34,5.729551558033563e-05,2.610400528624268e-07,0.22603558003902435,0.5829681545495987,2.868766921437782e-06,0.2595785990357399,5.5917980171216185e-05,0.279938605427742,2.2456989169120787,7.783032565100713e-08,0.00045496521634049716,0.0007363020587945357
priorregion1_spot_35,0.0004913018972729333,1.6094944896849483e-06,0.3162455305457115,1.1452782630920408,2.53948375757318e-05,0.6289266854524613,0.0074950894340872765,7.0665753128196234e-06,0.9039793103933335,2.710907051550749e-06,1.7530319929122926,1.9441944823483942e-05
