	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	5.888934e-08	3.3900315e-07	2.3147138e-08	3.0880372e-08	5.005669e-07	0.47363937	1.8299442e-06	2.70604e-07	9.4163056e-08	4.1250775e-07	0.52635705	8.8783565e-08
priorregion1_spot_2	1.0684496e-07	0.004506152	3.9810047e-08	8.868355e-08	0.19051869	0.54151994	1.373112e-06	2.0435954e-07	1.007706e-07	7.494054e-08	0.2634526	6.7161267e-07
priorregion1_spot_3	9.9481106e-08	0.0062397174	2.2946642e-08	2.4322523e-08	0.40527737	0.35137755	0.06835965	5.1652986e-08	2.3473827e-07	6.279287e-08	0.16874519	8.134264e-08
priorregion1_spot_4	2.1124538e-07	2.8631467e-07	4.7880686e-08	4.8768275e-08	0.6083885	0.19616006	2.682471e-07	1.0594048e-07	0.00035261613	0.042944293	0.0049619405	0.14719175
priorregion1_spot_5	2.2350784e-07	0.0020312227	2.352352e-08	3.3609574e-08	0.6864137	0.16445644	0.017057225	0.0012628138	0.0035694474	0.0058362745	0.09098714	0.028385356
priorregion1_spot_6	0.00029036592	1.7553195e-07	3.0899812e-08	4.5863676e-08	0.43206155	0.24491866	0.076682836	3.1638494e-06	0.007351113	0.07537606	0.16331582	1.2755383e-07
priorregion1_spot_7	7.397815e-07	0.0052768183	2.6352492e-08	5.7076267e-08	0.2937502	0.43988946	2.6684154e-06	1.0587791e-07	2.2961046e-07	0.046262365	0.14814544	0.06667188
priorregion1_spot_8	0.00083687966	0.00014778673	2.3173362e-08	2.851183e-08	0.33258075	0.5098397	4.3731097e-06	5.9035305e-08	2.9945838e-07	0.0016910061	0.15489897	1.6132415e-07
priorregion1_spot_9	0.009061015	0.014428973	3.8910866e-08	3.200746e-08	0.028544823	0.8090795	3.7728262e-07	8.345686e-08	0.01240573	1.1458617e-07	2.605934e-07	0.12647903
priorregion1_spot_10	1.09608415e-07	3.7690046e-07	2.9473652e-08	3.955773e-08	0.5119795	0.17650618	0.00579865	5.0475514e-08	2.498915e-07	6.2486674e-07	0.280927	0.024787256
priorregion1_spot_11	0.025275528	2.7480363e-07	7.110086e-08	1.0290353e-07	0.7876672	2.05457e-06	1.9461903e-07	1.1723238e-07	3.08435e-07	8.7200355e-08	1.3957248e-07	0.18705383
priorregion1_spot_12	0.00040497593	1.02948e-07	0.00058842753	5.7248666e-08	0.08156267	0.46787804	0.053449772	0.00089442177	0.008615066	2.5970897e-07	0.38660604	9.186562e-08
priorregion1_spot_13	1.13785745e-07	1.142678e-07	2.4996949e-08	2.7029868e-08	0.35300204	0.5336198	3.075864e-06	4.6637293e-08	1.425572e-07	1.0489227e-06	0.028962499	0.084410906
priorregion1_spot_14	0.03583336	0.007415059	1.1525355e-07	3.6906798e-07	1.1990425e-06	0.27321774	2.68431e-05	6.949319e-08	7.3493416e-06	2.3342029e-05	0.59177595	0.091698565
priorregion1_spot_15	1.6403921e-07	1.7663255e-07	2.8838656e-08	3.3114826e-08	0.68124634	1.525776e-06	8.7554824e-08	9.727338e-08	6.1042044e-07	5.608156e-07	0.13851798	0.18023239
priorregion1_spot_16	7.030244e-05	6.680346e-07	3.6600262e-08	5.2802203e-08	0.5047367	0.2964868	9.150217e-06	1.239448e-07	0.022488317	0.003172024	0.1730356	2.1143079e-07
priorregion1_spot_17	4.9946095e-08	7.6349274e-08	1.8412743e-08	3.3980395e-08	0.4526633	0.18115342	2.5909674e-07	4.6715844e-08	2.2279666e-07	0.0103027485	0.3558797	1.329257e-07
priorregion1_spot_18	4.3599135e-07	4.0457013e-07	1.7571846e-08	1.551592e-08	0.3291864	0.30664042	1.6870703e-07	1.2491236e-07	0.013417108	0.012910994	0.2420842	0.09575968
priorregion1_spot_19	3.7675324e-08	4.1038927e-08	1.7969308e-08	1.4689236e-08	0.8125152	0.17219852	0.015285801	3.3142182e-08	1.7534008e-07	1.9546615e-08	1.9521151e-08	3.7293074e-08
priorregion1_spot_20	1.17056715e-07	6.9796904e-08	0.0020881693	3.7790848e-08	0.56110007	3.7585002e-07	8.39993e-08	4.5481446e-08	1.0433184e-07	2.435462e-07	0.3527473	0.084063314
priorregion1_spot_21	5.452024e-08	3.6776564e-07	4.3666766e-08	3.5386545e-08	0.5432846	0.21944895	4.0676028e-07	2.9436135e-08	8.809753e-08	3.90511e-08	0.1659749	0.07129057
priorregion1_spot_22	8.92695e-08	3.2018812e-07	1.3329478e-07	1.0263944e-07	5.5020916e-08	5.0009234e-08	1.08487974e-07	7.0354616e-08	1.214807e-07	0.008302643	0.46857738	0.523119
priorregion1_spot_23	4.2129482e-08	3.174732e-07	2.781288e-08	1.9747848e-08	0.45177937	0.48012573	0.06809419	2.5067388e-08	1.7474356e-07	2.3711497e-08	2.9842532e-08	6.1577495e-08
priorregion1_spot_24	5.3819114e-08	3.3298886e-07	0.011318112	0.014644612	0.42083955	0.13125624	0.08909763	0.0015271143	4.603508e-07	5.786947e-07	0.3265303	0.0047850953
priorregion1_spot_25	6.004617e-08	3.013719e-07	2.437971e-08	2.7023217e-08	0.49889418	0.18117157	0.017188286	0.0005423911	0.00028403496	5.5535605e-07	0.3019181	4.9197547e-07
