	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	6.944635e-08	1.2194705e-07	7.637277e-08	2.6015833e-08	0.05734348	0.25172266	0.69093215	1.6330345e-07	3.8617526e-07	6.871456e-07	1.2048933e-07	1.114456e-07
priorregion1_spot_2	2.8463378e-07	4.3108372e-07	3.78145e-07	1.5593281e-07	1.624899e-06	1.5286635e-06	0.99999374	4.0745522e-07	8.6623635e-07	1.59473e-07	2.4998124e-07	2.3266601e-07
priorregion1_spot_3	2.1422798e-07	1.3679968e-07	8.755662e-08	3.4087897e-08	1.6287526e-06	0.6547316	0.34526458	2.4581124e-07	7.319526e-07	9.615524e-08	1.76211e-07	4.5731304e-07
priorregion1_spot_4	3.2035868e-07	3.8447334e-07	1.039963e-07	3.182476e-08	4.052127e-07	7.496338e-07	0.9999929	5.4597064e-07	4.3359923e-06	5.0463562e-08	1.2893193e-07	4.9625935e-08
priorregion1_spot_5	1.2102723e-06	1.9445002e-07	1.4553272e-07	9.1422685e-08	0.026674367	0.278974	0.51335937	7.058942e-07	1.2277456e-05	1.301016e-07	0.17974296	0.0012345525
priorregion1_spot_6	1.1788656e-07	1.2316289e-07	8.910947e-08	4.0795985e-08	2.5359486e-05	0.16713661	0.8328358	1.7277253e-07	1.316701e-06	5.5510387e-08	1.3720425e-07	1.8281362e-07
priorregion1_spot_7	3.174676e-07	1.6956024e-07	5.9593443e-08	3.7927272e-08	2.5075278e-07	1.044234e-06	0.99999714	2.0686102e-07	2.8951465e-07	8.192669e-08	9.516755e-08	2.2561262e-07
priorregion1_spot_8	1.2243162e-07	1.3964612e-07	1.17341166e-07	3.7378758e-08	6.240606e-07	1.4608841e-05	0.99998343	1.392259e-07	4.390007e-07	1.0614835e-07	1.4666206e-07	9.252276e-08
priorregion1_spot_9	2.35522e-07	2.7971984e-07	1.8732854e-07	1.2577398e-07	9.1683853e-07	9.062601e-07	0.99999475	3.5700572e-07	1.2774091e-06	1.3600562e-07	4.21613e-07	3.4213184e-07
priorregion1_spot_10	5.170839e-07	0.007406124	1.4016443e-07	6.865259e-08	1.149772e-06	0.055489983	0.24104962	0.008911848	3.9186426e-07	3.8243655e-07	0.68713933	4.35999e-07
