,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,4.2502124309539795,1.2331878906479687e-05,6.793627767365252e-06,9.361808650965032e-07,2.901028010455775e-05,0.05754386484622955,0.016928236279636622,0.0011983037693426013,0.025650042947381737,1.0949513137340545,0.07691873162984847,0.8855168223381042
priorregion1_spot_2,0.49432401955127714,8.289251468340808e-07,1.8601038220822377e-06,5.351063634861931e-07,1.2442224829101182e-06,3.717372305800382e-06,0.0008956313482485713,4.657986892198096e-07,0.00010574766602076124,0.5274188399314881,0.056201156042516236,0.4347211942076683
priorregion1_spot_3,2.2650227546691895,6.999522355499722e-07,7.197662569069509e-07,3.983916812444477e-07,8.570421840659038e-07,7.561914935649838e-05,0.05118598006665707,2.292491330990743e-06,0.0011730296944733709,0.0381325701251626,0.02214035056531429,1.2605788826942446
priorregion1_spot_4,0.002582689328119159,2.2262555739871458e-05,0.00023970684342202733,2.4157946995728706e-06,3.2071729982874335e-08,2.0858135485468665e-06,0.00043516910664038734,0.000606056017568335,0.021650171000510456,0.012645104387775065,0.11162952706217766,1.2618999898433685
priorregion1_spot_5,0.9520648866891861,1.4717783471951407e-07,2.7871768395471017e-07,7.831938866331713e-08,9.407733102761996e-07,2.9027014420535123e-06,0.002224320557434112,1.2582311654796287e-07,2.8326486813057277e-06,9.202882392855827e-05,4.430387843967765e-06,0.13893969506025314
priorregion1_spot_6,0.9849023431539536,2.35487336794904e-05,4.966390747540572e-06,6.532547700999202e-07,4.0103402909608127e-07,7.74207755966927e-06,0.03927294723689556,7.31178670321242e-07,8.71128973813029e-05,0.16079893186688424,0.0014228312531486154,0.9134695500135422
priorregion1_spot_7,0.0037966490257531405,0.00021649932896252724,1.0056284645543201e-05,3.668006127099943e-06,2.685463698526292e-07,4.9605279673414775e-05,0.027100332733243703,8.560557311909636e-08,3.9618700839128e-06,0.5040903151035309,0.11835262514650821,1.2325460851192476
priorregion1_spot_8,2.6018991470336914,6.703981466671395e-06,1.086884503820329e-05,1.5440965910329396e-06,1.0486040821433563e-06,0.019881069473922253,0.07722923532128334,4.673968646784488e-06,0.006332428148016334,0.5353410840034485,0.08405492417514325,1.055726444721222
priorregion1_spot_9,3.545714247226715,2.972289894387359e-05,1.7283415945712478e-05,7.205882781136097e-07,1.5168694881140255e-05,0.0013157775276340545,0.09069675765931606,0.01623132759705186,0.010250598145648836,0.08107835128903389,0.035574379935860635,1.3780395746231078
priorregion1_spot_10,6.727252316474915,6.866406056360575e-06,2.067584398446343e-06,5.613361963696662e-07,0.0005644983524689451,0.04858651161193848,0.027999343816190958,5.606382660516829e-06,0.06912440918385983,0.011873966315761209,0.001804762746905908,0.7687517315149307
priorregion1_spot_11,1.0772513806819914,1.0498848553197603e-06,3.438886506046402e-05,2.4786961239442463e-05,2.3556464839202823e-06,0.008096341788768769,0.009564211405813693,6.561546342709335e-07,0.0032002532156184317,0.025237969495356085,0.0022752784192562104,1.3530818223953247
priorregion1_spot_12,2.83471657037735,1.3642045587403118e-05,3.5213751630180923e-06,9.73021474237612e-07,0.05399988610297442,0.08047653697431087,0.0050052771344780925,3.772061018025852e-06,0.038434483110904694,0.11181955821812153,0.026798208151012658,1.2633514881134034
priorregion1_spot_13,0.05943847652524709,9.150780642812606e-05,1.1007504781446187e-05,9.459292016344989e-07,3.342667568517754e-07,0.0032854857272468507,0.03045387640595436,1.3812462213991241e-06,0.0005959611327853054,0.9012425184249878,0.22424208372831345,1.87918142080307
priorregion1_spot_14,0.632845014333725,2.985643095598789e-06,1.2858770958246167e-06,3.600389348434874e-07,5.238288594000551e-07,0.0016002261894755064,0.0004336542537203059,9.100200237810441e-08,9.253704592993017e-05,0.039162648096680644,0.0909871768206358,0.8153885394334793
priorregion1_spot_15,2.049910032749176,2.1084169748064597e-05,6.807992540416309e-05,2.276412567425723e-06,2.0272254630526731e-07,1.4249236073737851e-05,0.08264677226543427,0.0024847881169989708,0.018370935413986444,0.0511897249147296,0.049768752232193944,1.411310178041458
priorregion1_spot_16,1.0000650852918624,2.133639634394058e-06,2.7672103101394897e-06,1.219047635458992e-06,3.0617824080536594e-07,3.716670526046073e-05,0.08240997456014156,1.3515330152813478e-07,3.848803335131379e-05,0.04039271976798773,0.012862135795876382,0.8707599699497223
priorregion1_spot_17,0.5735087633132935,0.0001585421159688849,1.5948357122397284e-05,1.3611589793072199e-06,2.6090399660461117e-05,4.096756038052263e-05,0.01739652846008539,6.351724709929841e-06,0.0319081237539649,0.052275557070970535,0.000577437793253921,0.6157470375299453
priorregion1_spot_18,2.3572926998138426,1.1329595452025388e-06,2.8063977651981987e-06,5.043887313149754e-07,3.949544020542817e-06,0.00884428583085537,0.004259230382740498,4.5482659061235625e-06,0.08006426505744457,0.08252826668322087,0.003531649010255933,0.8897750437259675
priorregion1_spot_19,2.6406926035881044,2.8306823423918107e-06,2.580770169515745e-05,6.901773531353684e-07,2.820222016453045e-06,0.001863318617688492,0.0829548317939043,0.0014074280858039855,0.03732449393719434,0.5743622332811356,0.0142936238553375,0.7201753675937653
priorregion1_spot_20,3.662950575351715,1.2696078738372308e-05,5.149189428266255e-06,1.1808129670498603e-06,0.00013108571074553767,0.026392622850835323,0.027036264538764954,0.00011926747392863036,0.0020284473663195967,0.027245934680104257,0.03796115536242724,1.3507711768150328
priorregion1_spot_21,4.186769342422485,7.038835406092403e-06,2.6479831149117673e-06,1.1635167197709962e-06,1.2523055102064972e-05,0.007566636428236961,0.00563123773317784,1.2923609028803185e-05,0.013625437067821622,0.2920667752623558,0.12455970719456673,1.6272150874137878
priorregion1_spot_22,1.6037149906158448,1.879704984730779e-06,2.806422799039865e-06,1.2326746059443394e-06,0.0012957591097801924,9.14680706046056e-05,0.11923825033009051,9.91404652950223e-07,0.0004140614211792127,0.054550592042505744,0.0034219897817820313,1.406184458732605
priorregion1_spot_23,2.5630007147789002,0.0004079056408954784,2.328725840925472e-05,2.6657269131646897e-06,2.8638742787734375e-05,0.0003077349945669994,0.22398658469319344,3.82823216568795e-05,0.020242621190845966,0.7148376911878587,0.20986267626285554,1.8020191550254823
priorregion1_spot_24,1.4807756125926972,3.7008131585025694e-05,2.2771078056393888e-05,4.214029831928202e-06,8.401327761475842e-07,4.12045344546641e-06,0.04573480449616909,4.332073385739932e-05,0.0034076164360158146,0.048686555586755276,0.1251832738518715,1.4560543060302735
