	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	0.59499073	1.7412178e-05	1.3812985e-07	0.0017701001	0.03013168	0.071055725	0.00832386	0.0016726813	3.3188492e-06	3.0103547e-07	8.269131e-07	0.29203314
priorregion1_spot_2	0.2670705	0.03069873	1.2707258e-07	3.7455288e-07	0.02469219	0.0841893	0.022288386	3.5303696e-08	0.034019418	3.998923e-06	0.043299563	0.4937374
priorregion1_spot_3	0.43750325	0.0073108724	1.7461572e-07	1.4548348e-07	0.02999469	0.025701966	0.02237456	6.835579e-08	0.024484608	0.0014963856	0.02602042	0.42511275
priorregion1_spot_4	0.1917624	0.030033136	3.1315928e-06	2.4119963e-06	1.441002e-05	0.049886987	0.08670337	2.2972746e-07	0.009277523	0.004645406	0.055789042	0.57188183
priorregion1_spot_5	0.18653251	2.4686415e-07	5.039588e-07	0.004485473	0.020038491	0.07405372	0.048490737	3.733404e-07	0.049539573	0.0004122918	0.032299913	0.58414614
priorregion1_spot_6	0.46512723	0.023778798	0.0017005437	1.175212e-07	0.021529555	0.0040149787	0.07942296	5.498865e-08	8.63014e-07	0.0014559133	0.021393888	0.3815751
priorregion1_spot_7	0.5781454	0.010611084	1.177109e-07	2.768177e-07	1.7071149e-07	0.07468368	0.012659726	5.8663773e-08	3.6400274e-07	0.001062258	4.354963e-07	0.3228365
priorregion1_spot_8	0.39161888	0.013802361	7.0532046e-08	1.01301026e-07	0.051467203	0.050093487	3.8345916e-06	8.230361e-08	0.050047856	6.2005347e-07	1.1235824e-06	0.44296435
priorregion1_spot_9	0.3580019	0.022358272	2.807211e-07	0.0014600633	6.247851e-06	0.07624265	0.03854844	7.119239e-08	0.074340835	0.00045520574	4.089382e-07	0.42858556
priorregion1_spot_10	0.77249706	0.004339471	1.882324e-07	8.934547e-08	7.888203e-07	0.07429775	0.0433589	1.0559606e-07	4.8772995e-07	2.3026385e-07	8.255805e-08	0.105504975
priorregion1_spot_11	0.41456604	0.0029231075	2.0377871e-07	0.0020939736	0.0048777224	0.049340155	0.0122789005	2.5050662e-08	0.03542517	4.7554676e-07	0.018638678	0.45985565
priorregion1_spot_12	0.3412752	0.009530042	9.032765e-08	3.3451116e-07	0.035818182	0.060798418	0.06574045	5.8188235e-08	1.1620518e-06	6.9659463e-06	0.009661137	0.47716796
priorregion1_spot_13	0.15809228	0.027941277	2.0456114e-06	0.008617334	0.009483785	0.07593209	0.07159051	7.49452e-08	0.026952552	0.012214722	0.024323354	0.58485
priorregion1_spot_14	0.23992644	0.0036864383	2.407733e-07	3.638627e-07	0.029798845	0.02767659	0.034464844	9.6007994e-08	0.07084984	0.0014450127	0.032229286	0.55992204
priorregion1_spot_15	0.8112984	0.0064534643	1.0126388e-07	6.932457e-08	0.004039032	0.026732406	1.2856098e-07	6.375258e-08	0.03267473	1.0518425e-07	1.9897895e-07	0.11880137
priorregion1_spot_16	0.25824258	0.0018277899	7.541648e-07	0.0025080657	0.015017447	0.045632113	0.0605498	8.3081936e-08	0.04461337	0.0026862132	0.03121289	0.5377089
priorregion1_spot_17	0.5439547	0.012240712	5.432095e-08	6.49117e-08	0.027058953	0.044438235	0.042732444	5.4008904e-08	4.3571217e-06	3.2067047e-07	2.7505877e-07	0.32956985
priorregion1_spot_18	0.33804953	0.012813759	3.6436285e-07	6.424363e-06	0.00018480733	0.04239254	0.060039856	5.157199e-08	0.03600374	0.0006870846	0.02095802	0.48886377
priorregion1_spot_19	0.3395471	0.004541432	9.099907e-08	1.0271134e-07	0.01515496	0.09534856	9.350826e-06	3.9080984e-08	0.062015623	1.3669397e-06	0.032940984	0.45044038
priorregion1_spot_20	0.51959115	0.03805307	4.530227e-08	4.942276e-08	0.015637744	0.045770835	0.04737682	4.5191197e-08	0.008941514	1.7709853e-07	1.3778926e-07	0.32462844
priorregion1_spot_21	0.25059077	0.020832274	9.738689e-08	8.7542354e-08	0.020212835	0.05713632	0.08492334	3.2215175e-07	0.05239174	0.0010258198	3.5475736e-07	0.512886
priorregion1_spot_22	0.52722496	0.012738794	6.704839e-08	4.6552973e-08	0.02679092	0.045738727	3.0642548e-07	9.983873e-08	0.031294573	2.106617e-07	2.0366974e-06	0.3562093
priorregion1_spot_23	0.40401238	0.014022691	2.0566239e-07	0.0125092175	3.2698358e-07	0.060861386	0.08187271	6.209725e-08	0.017588202	3.705319e-07	1.7202746e-06	0.4091307
priorregion1_spot_24	0.48765048	0.0064995945	1.05690546e-07	0.0006582923	0.016574489	0.031914312	0.057513367	6.801804e-08	6.106718e-07	4.860672e-07	4.5872514e-07	0.39918768
priorregion1_spot_25	0.59085155	0.037335236	4.954555e-08	4.6986646e-08	0.030151209	0.052534737	0.0036321497	6.944567e-08	5.321219e-07	2.1041357e-07	1.6898082e-07	0.28549412
priorregion1_spot_26	0.12746744	0.032392107	1.4300392e-06	0.0064168726	0.007407798	0.0567455	0.097132914	8.9256325e-08	0.057478063	0.0010292641	0.043356355	0.57057214
priorregion1_spot_27	1.14308726e-07	0.010361703	0.0113256	9.6663854e-05	0.032251015	0.01785147	0.073416755	0.0014576424	0.075961486	0.0030319106	0.12190199	0.65234363
priorregion1_spot_28	0.3079036	0.01100003	3.1092802e-07	1.6057766e-07	0.010833476	0.052836183	0.062378198	1.662342e-07	0.011619747	0.0016540043	0.018858567	0.52291554
priorregion1_spot_29	0.012559631	0.011615352	7.7085474e-07	0.037020374	0.024372548	0.09660138	0.04538326	5.1745992e-08	0.045706064	0.019441407	0.052065685	0.6552335
priorregion1_spot_30	0.41227233	0.03203473	1.03480545e-07	9.182233e-08	0.03961928	0.103751965	9.771123e-06	7.2120116e-08	0.04573355	0.0064664343	9.6950775e-05	0.3600147
priorregion1_spot_31	0.70085156	0.015155988	4.6888143e-08	4.1400053e-08	0.010871869	0.029306425	0.013108335	8.166703e-08	3.2438507e-05	2.4290028e-07	1.2767106e-07	0.2306729
priorregion1_spot_32	0.12188508	0.045370765	8.4705584e-07	0.006160345	2.3406737e-06	0.08150653	0.1310448	8.405937e-08	0.10542159	6.8803e-06	0.0055715945	0.5030291
priorregion1_spot_33	0.38283634	0.025655884	7.4258594e-08	0.005000425	1.2429135e-06	0.059324145	0.06854743	2.925655e-08	0.006228082	1.7941764e-07	5.634399e-07	0.45240545
priorregion1_spot_34	0.068896174	0.023983141	0.00935959	3.278793e-05	0.017091226	0.03331596	0.0715826	1.3214058e-06	0.052125897	0.005869414	0.0938744	0.62386745
priorregion1_spot_35	0.19953483	0.025583396	5.5207363e-07	5.9278943e-07	1.266042e-05	0.06575227	0.066376284	7.124772e-08	0.041716624	0.0027931277	0.042610973	0.55561864
priorregion1_spot_36	0.4586575	0.01971795	9.23996e-08	1.3118014e-07	0.053548865	0.060298786	2.6884877e-07	3.435876e-08	0.013989661	8.8222475e-07	3.0926728e-07	0.3937855
priorregion1_spot_37	0.106284305	0.030555729	2.809391e-07	0.00550521	0.00023382643	0.04003292	0.09111903	6.122513e-08	0.03716269	0.007045517	0.048001096	0.63405937
priorregion1_spot_38	0.26691028	0.06366658	3.581815e-07	5.7474637e-08	0.058514144	0.08179698	0.13621762	9.0844274e-08	0.018620636	2.0337386e-07	1.0544398e-06	0.37427202
priorregion1_spot_39	0.3871455	0.02205697	1.12167726e-07	5.2598107e-08	0.0218534	0.05524072	0.023706932	7.6829515e-08	0.03669284	0.0013094515	0.020435946	0.431558
priorregion1_spot_40	1.03264135e-07	0.02455408	0.00954792	0.007339107	0.0024538822	0.03282456	0.093137935	0.00139304	0.03911332	0.0116818445	0.108783826	0.66917044
priorregion1_spot_41	0.18252222	0.028882904	8.4483054e-07	1.2857597e-06	0.03205208	0.05737702	0.0802265	2.2093921e-07	0.045552824	0.007291593	0.00011288004	0.5659796
priorregion1_spot_42	0.33756435	0.016565656	3.307824e-07	4.763432e-06	0.004168172	0.047775958	0.044596765	1.00356104e-07	0.01572652	0.01580564	0.017449632	0.5003421
priorregion1_spot_43	0.35891244	0.028458737	1.0495933e-07	0.0049803206	2.2679744e-06	0.075692825	0.039586566	5.3700365e-08	0.012369954	1.6468168e-05	0.015670689	0.46430957
priorregion1_spot_44	0.23464254	0.022148479	3.208463e-07	9.623485e-06	0.014305319	0.067807294	0.06395126	5.343355e-08	0.042009104	4.63523e-06	0.012555862	0.5425655
priorregion1_spot_45	0.6825312	0.015533193	1.1234971e-07	5.9734866e-08	0.0300623	0.031980585	0.037088774	3.3648657e-08	3.5940474e-07	5.6973814e-08	1.6696836e-07	0.2028032
priorregion1_spot_46	0.58532864	6.4162864e-06	3.1231902e-08	3.6292704e-08	0.0010744553	0.052004457	0.008980643	5.6982845e-08	0.007848012	7.626061e-05	1.1488789e-07	0.34468088
priorregion1_spot_47	0.64232934	0.017538803	1.2111575e-07	1.0235912e-06	1.1022413e-05	0.0567735	0.027930787	8.563391e-08	1.1603772e-06	3.7981386e-07	5.2877505e-07	0.25541317
priorregion1_spot_48	0.8368443	6.524133e-07	2.423424e-08	3.7269043e-08	9.266629e-07	0.05684368	1.2123719e-07	4.044941e-08	2.3941527e-07	0.00030883012	5.595384e-08	0.1060011
priorregion1_spot_49	0.4984661	5.0432645e-06	1.0753788e-07	0.0016586846	0.037009355	0.033065215	0.01765461	5.2175466e-08	9.550508e-07	0.008607385	5.810605e-07	0.40353185
priorregion1_spot_50	0.17663862	0.011228485	1.3689014e-07	1.6501996e-07	0.07295187	0.066557154	0.019687977	4.286673e-08	0.08184418	1.2392701e-07	0.0331835	0.5379077
priorregion1_spot_51	0.525735	0.09031174	6.5736145e-08	2.6537203e-08	0.08054327	0.06966978	0.028677989	7.070891e-08	1.590576e-07	9.3501896e-08	4.9078e-07	0.20506126
priorregion1_spot_52	0.3392687	0.022280503	7.795838e-08	0.024172803	7.409735e-07	0.033912957	0.07544158	3.078937e-08	0.0049917614	1.345658e-07	0.0063834745	0.4935472
priorregion1_spot_53	0.2745273	0.024621563	3.8719872e-07	2.4983282e-07	0.006744146	0.05128195	0.021398129	5.730026e-08	0.029885262	0.024332885	0.033634067	0.533574
priorregion1_spot_54	0.4697419	0.03372655	1.8458384e-07	5.1110374e-06	0.0075710155	0.033215385	0.055772405	9.508509e-08	1.9777378e-06	0.0030377714	0.009633312	0.3872943
priorregion1_spot_55	0.33887833	0.02606352	2.1409129e-07	0.000970419	3.7759723e-06	0.07650446	0.08244942	4.4240423e-08	0.013140219	4.8797824e-06	0.016049836	0.44593492
priorregion1_spot_56	0.42769963	0.008942556	2.3620397e-07	1.3225717e-07	0.081081726	0.024273021	0.049274966	1.0535164e-07	0.01718073	0.0010991317	0.012509127	0.3779386
