	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	0.002445199	0.009664958	0.124218754	0.61805665	1.2001694e-07	1.03639934e-07	0.023909966	2.0573643e-07	0.20077206	6.789351e-08	1.8191753e-07	0.020931667
priorregion1_spot_2	1.8931092e-07	1.7853692e-07	8.63072e-08	3.4990143e-07	5.834076e-07	0.19362111	1.3108676e-05	0.029637221	0.54213613	1.2162788e-07	0.23459047	3.787799e-07
priorregion1_spot_3	0.004214389	3.5937069e-06	0.018073723	0.17951232	3.461988e-06	0.63228136	1.689023e-07	1.2284652e-07	0.04698353	0.0010431515	0.117884025	1.3816202e-07
priorregion1_spot_4	9.7989016e-08	1.66354e-07	0.036304645	0.116003156	1.2945301e-07	0.020230543	6.0166612e-06	2.7468527e-08	1.4188026e-07	0.0018422172	0.81968105	0.0059317774
priorregion1_spot_5	4.218071e-08	4.494804e-08	4.4363453e-08	2.4597153e-08	2.768551e-07	0.22547388	7.752067e-07	1.2776661e-07	0.3340884	4.990642e-08	0.44043627	8.3553196e-08
priorregion1_spot_6	0.025999755	1.1408076e-06	1.3721951e-06	0.23965406	2.9352236e-07	2.5849582e-07	0.08389878	9.781677e-08	0.23821999	1.5359088e-06	0.4007433	0.01147939
priorregion1_spot_7	0.06550837	1.2493963e-07	0.098040886	0.45054594	3.0648727e-07	2.1534909e-07	1.3842367e-07	7.6132443e-07	0.38590297	6.425136e-08	7.75559e-08	1.7093836e-07
priorregion1_spot_8	0.016607368	5.644218e-08	0.13323125	0.6351981	8.321284e-08	1.0699244e-07	4.924999e-08	0.009394703	0.2055679	2.713385e-08	9.7627115e-08	1.5714785e-07
priorregion1_spot_9	4.419397e-08	8.343283e-08	3.014193e-07	2.7513247e-08	1.6597689e-07	0.08012126	0.11470076	6.156655e-08	0.34410307	1.556875e-07	0.46107376	3.1411778e-07
priorregion1_spot_10	8.6660734e-08	9.816424e-08	0.0032603908	4.2920547e-08	1.9890284e-07	1.5309075e-07	3.6053393e-07	0.1429593	0.6758248	8.837409e-08	0.17795438	1.0295423e-07
priorregion1_spot_11	1.1639524e-07	1.18074944e-07	0.1406415	0.40992054	9.580107e-07	0.3097068	1.2425538e-06	3.295086e-08	0.13905239	4.619195e-08	1.6836032e-07	0.0006761121
priorregion1_spot_12	6.87695e-08	0.00093570154	0.024739604	0.09616939	8.210396e-07	0.55051184	0.02100148	6.9191046e-08	1.018702e-07	1.3067675e-07	0.30664024	6.0322145e-07
priorregion1_spot_13	7.663081e-08	2.4759177e-07	0.105126955	0.22941133	1.09955295e-07	0.30147454	1.7338475e-07	3.6897372e-08	1.01589386e-07	3.3112647e-07	0.36398557	4.9390445e-07
priorregion1_spot_14	7.788692e-08	7.8389085e-08	0.025974749	0.28697315	3.9796427e-07	0.052331533	1.3853594e-07	0.04200011	0.5891298	3.0529826e-08	0.0035898988	1.1791223e-07
priorregion1_spot_15	0.006224213	0.0033375982	0.07275621	0.1255614	6.3497686e-07	0.54111916	0.05079254	1.3707694e-07	0.10822935	9.158976e-08	0.071052596	0.020926103
priorregion1_spot_16	6.400153e-08	1.2280556e-07	0.018886967	0.2458944	3.0991137e-07	0.41908756	0.22348943	0.0016599408	1.404144e-07	3.399887e-08	0.090980984	1.3537037e-07
priorregion1_spot_17	2.1398517e-07	1.4959446e-07	0.0045732185	2.4387078e-05	0.032031707	0.074081354	5.6242453e-07	8.1408e-08	1.7123378e-07	0.034068912	0.8432751	0.011944105
priorregion1_spot_18	3.736744e-07	2.688343e-06	0.04533721	0.3426121	2.1768236e-07	0.28465563	0.0893182	5.328327e-08	0.029072132	7.579378e-08	0.20900066	5.9533943e-07
priorregion1_spot_19	0.06952752	2.4169253e-07	0.07606284	1.306058e-07	4.2538056e-07	0.25828978	2.9273718e-07	0.01195037	0.47743297	1.897424e-07	0.106735125	1.3691374e-07
priorregion1_spot_20	1.4216623e-07	9.031806e-08	0.098650396	0.35132805	3.381787e-07	0.29197076	1.561345e-06	0.0015950383	6.54721e-07	6.262386e-08	2.7709257e-07	0.2564526
priorregion1_spot_21	0.001796822	6.7575286e-07	6.254061e-07	0.067638956	5.825073e-07	0.42181996	0.019354112	0.0008690684	0.04238206	1.0594079e-07	0.44613478	2.3223522e-06
priorregion1_spot_22	5.226776e-08	9.720514e-08	0.20066568	0.7646574	1.0525254e-07	1.1772296e-07	0.024683643	0.0028728521	1.04903705e-07	8.9462866e-08	1.2016726e-06	0.0071187187
