,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.00016406725335400553,2.2438124233303825e-06,6.104781732574338e-06,8.18304192762298e-07,0.4611554116010666,2.1179426670074464,4.410797667503356,3.980896190114436e-06,0.00013479645422194154,6.751941924676431e-07,1.0893440958170686e-06,4.7282750728072645e-07
priorregion1_spot_2,0.00034393781825201584,6.431037689935693e-07,2.465496015702229e-06,3.296358201509975e-07,0.026009385753422976,0.673717451095581,2.897480916976929,6.655551970879971e-07,1.1750026851586883e-05,3.1540034655108685e-07,4.004250556022271e-07,5.189935734506435e-07
priorregion1_spot_3,0.00019240980327595025,1.6236587839557614e-06,2.067315435409546,4.241517399350414e-06,0.07061226852238178,0.9395894557237625,2.626576781272888,5.07475024278392e-06,6.723666629113723e-05,3.033614675018726e-07,7.905666791430121e-07,2.569887988101982e-06
priorregion1_spot_4,0.0011391796986572444,5.618997334977394e-07,1.3853243708610536,7.307774524178967e-07,0.018717958778142932,0.5670451194047929,1.6601117968559267,1.215814522765868e-05,4.201205883873626e-05,2.934774201435176e-07,4.137524896918877e-07,8.367262807951192e-07
priorregion1_spot_5,1.093521309485368e-05,5.749463002757693e-06,0.6466440945863724,1.2341787987679709e-05,0.5791476756334305,2.62682181596756,5.045660614967346,1.875041380117182e-06,0.00013485352028510533,7.036214071831637e-07,4.118202264180582e-06,7.662349958081906e-07
priorregion1_spot_6,1.0716184695169772e-08,5.3292101176438684e-09,2.0407197443006456e-08,4.305062550891137e-09,7.873010758885357e-07,6.108503293944523e-05,0.45414386242628096,9.17668629973889e-09,2.429820371574465e-08,1.981414987639596e-08,3.7020562060341436e-09,5.645082112870626e-09
priorregion1_spot_7,2.398546234871901e-06,2.5804968800002827e-06,2.9295995318534555e-06,1.0646030403904661e-07,0.3102069243788719,2.5190136551856996,3.4064188122749326,1.3094911480493466e-06,1.643014438741375e-05,1.531544927502182e-06,7.100433805362628e-07,9.499211905961148e-08
priorregion1_spot_8,1.0716330325521995e-05,5.375649675443128e-06,0.8359475523233413,3.217500375285454e-06,0.20919879451394083,1.0213998317718507,3.097712588310242,0.004890612815506757,2.970348723465577e-05,9.542727497091619e-07,1.5609609420152993e-06,7.601503284604405e-07
priorregion1_spot_9,9.140164365817327e-05,1.0969595564347402e-06,1.3809298479827703e-06,3.442045525048343e-07,0.06545498222112656,0.7863110899925232,3.1766125559806824,7.493770254995979e-07,1.0264076672683587e-05,5.657970746142382e-07,4.396533299200201e-07,2.0561443605515704e-07
priorregion1_spot_10,1.027072671604401e-05,4.2915570759305415e-07,0.6329433858394622,0.043756730109453204,0.0952800266444683,0.7911825388669967,0.8238601326942444,8.111317474686075e-05,1.2485713932619547e-05,1.3383129271460348e-07,3.784045915722345e-07,4.034777219885655e-07
