,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.04885175973176956,9.272712162555763e-07,0.0023611868382431567,9.955005680239992e-07,1.4242433667182923,1.838272613286972,0.004808982764370739,0.7526302069425583,0.010425175586715341,2.0693327883236637e-06,1.8194915901403872e-05,3.285426305410511e-06
priorregion1_spot_2,0.015372715704143048,2.4988776772261193e-07,9.596556623137077e-07,9.867609271907441e-08,0.8331822603940964,1.6048108518123625,1.3420485447568354e-05,0.6643078446388244,3.4170993421867026e-05,1.4635405065632773e-07,3.429130686072313e-07,9.259551028151237e-08
priorregion1_spot_3,5.485332021635259e-05,1.3616054275189527e-07,1.874609579317621e-05,1.8364269962489744e-07,0.38791327774524687,0.6026148200035095,0.07037351690232753,0.1810030572116375,0.00015208559561870062,1.32963177890133e-07,9.177855536108838e-05,1.6070302706339134e-07
priorregion1_spot_4,0.004890900407917798,4.41298369935339e-07,3.3895283536367064e-06,1.4211436152322677e-07,0.4108471468091011,1.8955143690109253,0.15219318866729736,0.48589185178279876,0.00019720763302757407,3.277288556091662e-07,2.6454319595359267e-06,7.65785787848472e-07
priorregion1_spot_5,0.0064061654964461924,4.688942703978683e-06,1.1484277763429417e-06,2.7197946792512086e-07,0.30384463518857957,2.8961374521255494,0.00038534549967153,0.26026823073625566,1.5680704836995574e-05,4.0766437621186923e-07,7.747346789983567e-05,2.5153994300808333e-07
priorregion1_spot_6,9.559659119986464e-05,1.296692335017724e-06,4.093271809324507e-06,3.7654983913171237e-07,0.6466511249542236,2.3070531368255613,0.24892917424440383,0.2606463596224785,9.192363504553213e-05,1.161221467782525e-06,1.058285242834245e-05,2.870998923754087e-06
priorregion1_spot_7,0.04337821379303933,2.84573347641981e-07,1.173581256352918e-06,1.1600989111570926e-07,1.2041512906551362,1.4249066531658172,2.820611771312542e-05,0.8519942820072174,4.033667410112684e-05,2.8644289159274198e-06,1.6470168475279934e-06,1.9441445644474698e-07
priorregion1_spot_8,0.0034538623644039036,1.2683384085221405e-07,7.672872015973554e-07,1.4099762779551384e-07,0.13134093433618546,1.4810807168483733,0.000172253766504582,0.0007178561296314001,1.3929820079283673e-05,3.5285504395687893e-06,8.761349334918124e-07,1.4189714576673397e-07
priorregion1_spot_9,0.00024218621547333896,5.575307735483649e-08,3.18511956720613e-07,2.5287139848728662e-08,0.27930984497070316,0.9657132357358933,0.002825691888574511,0.41760165244340897,0.00016319741771440022,5.93377388113936e-08,3.0379055147022886e-06,1.7522468525044134e-07
priorregion1_spot_10,2.4975285271011673e-07,4.115744345334349e-09,2.035083987550479e-07,4.881957114122315e-08,1.5923516173188545e-06,0.00018627111276146025,1.752019801415372e-06,0.707837700843811,4.786004467405291e-07,7.742236363128541e-08,4.06618880788301e-06,3.8753848308203945e-08
priorregion1_spot_11,0.002041913534048945,3.3256286542382445e-07,0.00013224159338278695,1.910431080887065e-07,0.2853944554924965,1.818878561258316,0.00015800052569829858,0.6465612202882767,0.030795965809375048,1.7654371120556791e-07,7.89309507354119e-07,1.131906338969202e-06
priorregion1_spot_12,3.508906265778933e-05,1.0455575818468792e-07,6.703934957386083e-07,2.142495132417821e-08,0.3222935989499092,0.46139440536499027,1.3371433033171344e-05,1.3101892530918122,6.808833154536843e-06,4.545927492216606e-08,3.259295795032813e-07,3.632997920277603e-08
