,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.29214379340410235,0.6714640319347381,0.08093607425689697,1.0531192003782054e-06,2.2524420842273686e-06,2.3153921461016583e-06,4.441833289092756e-06,0.008740855799987913,1.3324540376663208,2.0580370073730594e-05,9.608071081856907e-07,2.913745393016143e-05
priorregion1_spot_2,0.20236354023218156,1.0035657286643982,7.5679002065953686e-06,1.6880387420314951e-06,1.2463592682365743e-07,7.581878662676901e-07,1.38269798753754e-05,0.06604108326137066,1.300186860561371,3.386745720490581e-06,3.611148457594027e-07,0.0014172891387715938
priorregion1_spot_3,0.6270127475261688,1.7301355838775636,0.002356017893180251,3.763073564186925e-05,2.3655053951188165e-06,9.35435848077759e-05,0.128488876670599,0.01549855759367347,1.8935379326343535,0.00019214265412301757,9.746090872795322e-05,0.14261248633265494
priorregion1_spot_4,0.8060315191745757,2.207401299476624,0.09918787144124508,5.183010989640025e-06,1.3358452497413965e-05,5.813031184516149e-05,0.000703677607816644,1.104777866601944,2.938894844055176,6.19216178165516e-05,0.001218583731679246,0.048057345859706405
priorregion1_spot_5,0.18687720075249672,0.7003115624189377,2.0678375904026326e-06,1.4129103149684853e-07,1.2583248008013472e-07,6.4717023406046805e-06,5.073037937108893e-06,0.9793511301279068,0.527295458316803,3.4694540408963805e-05,3.543607158462692e-06,3.525986048771301e-05
priorregion1_spot_6,0.1697452463209629,0.7537470757961273,2.021434215748741e-06,1.2459249276730588e-07,2.7902653414457746e-07,1.3601135378848996e-05,0.05873797181993723,0.0002503382864233572,0.757684075832367,2.294129849644833e-07,3.2812404697324385e-06,5.936089492024621e-05
priorregion1_spot_7,0.2692485600709915,1.2827388286590578,1.9339086293257423e-06,2.7646312332763047e-07,1.2672176481487442e-07,2.100861581766367e-06,2.2911332393960035e-06,1.0167067885398866,0.14031620025634767,0.0018721485161222518,7.940542172946153e-06,0.0004155769274802879
priorregion1_spot_8,0.423541334271431,1.4377837419509887,1.7292542509039777e-06,2.213645650783747e-07,0.6230580806732178,0.0008407642046222463,6.398609220923391e-05,1.3391301691532136,0.5881425917148589,4.58007093584456e-06,6.871524078633229e-06,0.01035965057089925
priorregion1_spot_9,0.9314122974872588,1.6579332113265992,0.24376674816012384,2.96119424092467e-06,2.3222313870974177e-06,3.707425421453081e-05,0.008356449194252491,0.7442897766828537,2.569569194316864,7.673106010770425e-05,3.713535606948426e-05,0.001214078109478578
priorregion1_spot_10,0.0009644342499086633,0.001570687018102035,1.0343869860207635e-06,6.083316570482111e-08,2.525963125776798e-07,1.81656728273083e-06,7.768272325847647e-06,6.402897247426154e-06,0.8780199199914932,7.49430139279639e-08,5.8644335076962767e-08,9.820376831726208e-08
priorregion1_spot_11,1.0456689238548278,3.039281463623047,4.043008229928092e-05,3.4202301662844547e-06,1.993134337681113e-05,0.0001322283183981199,0.0007467917021131143,0.10744313485920429,2.908690369129181,0.0008180855627870187,3.380228263267782e-05,0.061233472637832166
