	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	1.7038046e-07	6.528309e-07	5.997819e-08	2.4649074e-08	0.0016277638	0.036988683	0.073706694	0.5418078	0.22297989	0.06997075	0.052917324	2.0641208e-07
priorregion1_spot_2	0.037156068	1.1507014e-05	2.5106866e-07	8.5281364e-08	1.4127537e-06	6.9832964e-07	0.049780417	0.66405785	0.2489863	1.2962548e-07	4.8906054e-06	3.88734e-07
priorregion1_spot_3	2.1446842e-06	0.0050553246	1.7728425e-07	5.032404e-08	4.7887266e-07	0.035821315	0.05546791	0.62980187	0.27324095	4.886486e-08	3.4300047e-07	0.0006094302
priorregion1_spot_4	0.022748582	0.009547688	7.563011e-08	1.667576e-07	2.9612224e-07	4.4028081e-07	0.0435704	0.7471035	0.17698674	6.87868e-08	4.145327e-05	5.637581e-07
priorregion1_spot_5	0.0047095334	0.009585901	5.5581054e-08	3.481177e-08	0.10137634	0.092160046	0.01768632	0.6560986	0.11838224	4.2711303e-08	7.2190863e-07	5.9324858e-08
priorregion1_spot_6	0.013684057	0.0059163296	0.0007688021	7.611275e-08	0.023201402	0.0010666369	0.01441159	0.74843377	0.1901922	1.1352536e-07	0.002324821	1.1153471e-07
priorregion1_spot_7	1.3186374e-06	1.7761935e-05	1.4072846e-07	5.9250272e-08	0.021327065	3.0391461e-06	0.033265244	0.6735119	0.26384684	1.1721623e-07	0.008025915	5.006524e-07
priorregion1_spot_8	0.006706054	0.031103969	6.934824e-08	2.6786022e-08	4.868009e-07	0.10582145	0.0669548	0.51912457	0.06639418	0.16612707	0.037767053	1.7072436e-07
priorregion1_spot_9	2.3716434e-07	9.2352957e-07	2.6881503e-07	1.12109234e-07	0.0068767774	0.055025928	0.053178716	0.6859333	0.19898319	8.8274845e-08	3.868583e-07	9.6883326e-08
priorregion1_spot_10	0.007302443	1.2268556e-06	3.3588051e-07	0.0027603637	0.051707752	0.019982561	1.2710814e-06	0.79776907	0.120473504	5.196034e-08	1.3628594e-06	1.4396208e-07
priorregion1_spot_11	1.3577453e-07	0.021320237	5.4826597e-08	1.3865316e-08	9.283458e-07	0.014823578	2.1321268e-06	0.7569649	0.122425	2.0087728e-07	0.08446277	6.098075e-08
priorregion1_spot_12	0.021146337	0.010036755	7.297712e-08	7.097423e-08	0.008094313	0.029464735	0.041309047	0.47192183	0.13228689	0.24227983	0.04345963	4.4105082e-07
priorregion1_spot_13	7.040425e-07	0.0033016563	7.810298e-08	6.980032e-08	1.5918945e-06	0.021870932	0.038199976	0.60935044	0.17274621	0.053551544	0.10097435	2.4105927e-06
priorregion1_spot_14	1.4605974e-06	3.2952406e-07	1.2834249e-07	1.7212365e-07	0.024082184	4.8677254e-07	3.7202494e-07	0.4828405	1.8425842e-05	0.49304783	7.755758e-06	2.1325786e-07
priorregion1_spot_15	4.557488e-07	0.0057111667	1.4286667e-07	4.934497e-08	0.0045556217	0.020303084	0.038872868	0.64566165	0.23128213	0.0215478	0.032064408	6.3651754e-07
priorregion1_spot_16	0.02114563	2.2986712e-06	1.7327578e-07	6.331251e-08	0.007571057	0.07649233	0.11074991	0.5091127	0.21353573	0.0503945	0.010995287	2.6798855e-07
priorregion1_spot_17	0.0056368904	3.2062392e-06	1.5089277e-07	3.1951814e-07	0.01680451	1.6204534e-06	6.1973503e-07	0.8334798	0.13827796	2.7087628e-07	1.2481757e-05	0.005782205
priorregion1_spot_18	2.4163728e-05	0.014649477	0.0005985368	2.7967324e-06	0.032388043	1.2548795e-06	1.0137256e-06	0.6446642	0.29814497	3.7532212e-07	0.0012836696	0.008241376
priorregion1_spot_19	2.449928e-07	1.239814e-06	1.5746598e-07	4.0709033e-08	1.3016188e-06	4.938753e-07	0.030138006	0.8068265	0.16303056	8.4609e-08	1.2396438e-06	1.212303e-07
priorregion1_spot_20	3.02373e-07	2.4528876e-07	1.9412097e-07	4.7713936e-08	3.0311273e-07	1.7639233e-07	3.9076315e-07	0.8214414	0.17666814	7.287523e-08	0.00188858	1.7390757e-07
priorregion1_spot_21	0.07234556	2.9682087e-06	9.13065e-08	4.316926e-08	1.5813869e-06	9.0152224e-07	0.04987073	0.7426628	0.12895362	1.8519326e-07	4.3464112e-07	0.006160993
priorregion1_spot_22	0.004286078	7.217814e-07	8.4034184e-08	9.8603955e-08	3.1512636e-07	5.3660176e-07	0.02800529	0.75467855	0.2130265	1.316534e-07	1.3856682e-06	3.1659303e-07
