,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.0395623043179512,2.05627604827896e-06,0.0023207494523376226,9.30073755966987e-07,1.5087334096431733,1.7434774935245514,0.0013908837339840828,0.78632530272007,0.0030772924306802455,1.932799324322332e-06,1.3080679082122517e-05,2.5921447672772047e-06
priorregion1_spot_2,0.014126250101253391,6.756346209613186e-07,1.9770094127125048e-06,1.1282892486974562e-07,0.8871856242418289,1.4629634261131288,2.626466821311624e-05,0.7066052377223969,2.9139817797840806e-05,1.4519346862584826e-07,3.565255582316241e-07,1.5709687488651978e-07
priorregion1_spot_3,6.387980283761863e-05,9.066984070216222e-08,1.2058392894687132e-05,1.17148839251513e-07,0.3985281214118004,0.5836134493350983,0.05696369241923094,0.1907796360552311,0.0001801579346647486,4.716394627735099e-07,8.009798730199691e-05,1.2521549237476392e-07
priorregion1_spot_4,0.0037727510090917347,3.9406234719763233e-07,2.5714482831062924e-06,3.581467240110214e-07,0.4394742026925087,1.7391449451446532,0.147276109457016,0.5082349658012391,0.0002020912041189149,2.965893173723089e-07,2.939135549695493e-06,4.58104021561212e-07
priorregion1_spot_5,0.005438907933421433,3.0667886221635854e-06,5.922087325416216e-07,2.1182991858381686e-07,0.33925379216670987,2.6752130031585692,5.855365725437878e-05,0.27281394004821774,1.7376414143654986e-05,2.6498505434346953e-07,4.946112949255621e-05,2.097961711911012e-07
priorregion1_spot_6,0.00011689793827827089,1.2413674767230987e-06,3.561559094578115e-06,4.288549945385967e-07,0.7103756457567215,2.1186704397201535,0.21628081202507018,0.28007609099149705,0.0001183020474854857,1.8032502794085305e-06,9.708213792691823e-06,3.3841226013464624e-06
priorregion1_spot_7,0.04595019295811653,5.938751684197997e-07,1.0479276113528613e-06,3.524237655483376e-07,1.2243242681026458,1.4138588905334473,5.063411335868295e-05,0.8998674422502517,5.612755503534573e-05,1.540843322800356e-06,1.110872688059317e-06,3.514050916919587e-07
priorregion1_spot_8,0.003107006300706416,1.0665159138056879e-07,2.9547537110374834e-07,1.2577008661196488e-07,0.14147370159626008,1.4032509446144106,8.196123371817522e-06,0.001556677429471165,1.1866454633491233e-05,2.142531354820676e-06,9.295568759171147e-07,7.119095180030399e-08
priorregion1_spot_9,0.0003360015311045572,1.2893381224898805e-07,2.755337220605725e-07,2.103159806310373e-08,0.29986107945442203,0.9019435435533524,0.0008727233042009174,0.4284907355904579,8.202945646189619e-05,9.764303392501006e-08,2.789981510886719e-06,4.8260930007870685e-08
priorregion1_spot_10,2.7738567638380117e-07,2.54343836658677e-08,2.011112158584183e-07,5.371551363708704e-08,6.733949646786641e-07,0.00014408307179110126,3.685737999603589e-06,0.7571168750524522,6.615608242555028e-07,7.661646961309998e-08,7.066195871630044e-06,4.060030853736408e-08
priorregion1_spot_11,0.0015851811913307756,5.58911705184073e-07,0.00015461591247003525,2.0846429009679924e-07,0.3138732835650444,1.704687887430191,0.00017424564794055186,0.6790317863225936,0.03765569142997265,2.1419597828753467e-07,6.078749123616946e-07,7.874556217757346e-07
priorregion1_spot_12,4.457409158931114e-05,9.282954671618882e-08,4.730419064458147e-07,2.0950399015617905e-08,0.32191375792026516,0.4477976471185684,1.2243294622749091e-05,1.3749280214309694,1.0830969540620571e-05,5.096082542621617e-08,1.7255975564012261e-07,7.728408775165008e-08
priorregion1_spot_13,0.000247207628126489,7.605397343013464e-08,5.077782475382264e-07,5.2874452016737906e-08,1.8664407551288604,0.010302597144618631,0.0018990986223798244,0.48926481902599334,0.020527773443609475,6.884742838053625e-08,1.2516335118561986e-06,1.000584127552884e-07
priorregion1_spot_14,1.9756783103730412e-06,6.879344986998604e-08,3.3399944214806966e-07,4.920965785970566e-08,0.8003969371318818,0.2906419411301613,2.7717212287825535e-05,0.6054547339677812,5.247161625447916e-05,7.879688332934621e-08,6.269998749530714e-07,5.14629585168791e-08
priorregion1_spot_15,9.598851283953992e-05,8.844362582749455e-07,3.077262090300793e-06,1.498215176809481e-07,0.1506425380706787,1.8621392726898192,0.09564058892428876,2.4889955997467044,7.688961813983042e-05,2.4727406753299876e-07,2.7788301508735462e-06,1.6324179696880492e-07
priorregion1_spot_16,9.702450870463507e-06,1.9558576802580778e-08,4.613235347505907e-07,4.647176030658784e-08,0.00015120565585675648,1.1378846764564514,0.30311609208583834,6.784997208342247e-06,4.5282202108865025e-06,6.251679387503373e-08,2.5846099873660936e-07,1.4582256735451438e-08
priorregion1_spot_17,0.0006199787458172068,4.4714652887023475e-07,5.04421529967658e-07,2.26378477741207e-08,0.9532297015190124,1.583512145280838,4.504057451413246e-05,0.2856793746352196,6.083598736950081e-06,5.8950330306117854e-08,1.3466500305980845e-07,5.618106371230169e-07
priorregion1_spot_18,1.794033360056346e-05,3.2271667720351617e-07,5.967224501546298e-06,1.1273648077292367e-07,1.1765619933605194,0.9616837680339814,2.4762108205322877e-05,1.2358110547065735,2.2242458726395856e-05,4.4719624554545594e-07,7.361016542972721e-07,8.140074555740284e-07
priorregion1_spot_19,5.172344644961413e-05,1.017270733427722e-06,5.165703555576329e-06,1.2688932500282137e-07,0.6079185724258422,1.7141144275665283,0.0005568821943597869,1.012632018327713,0.00021757860013167375,7.023470175226976e-07,4.739242899631791e-06,3.3512140333868957e-07
priorregion1_spot_20,5.1262874694657516e-05,5.529070847387631e-07,1.6727704348795668e-06,7.3514496534699e-08,1.3855569303035737,0.5357229679822921,5.3731887783214914e-05,1.8873742997646332,2.30391679906461e-05,1.8569798498901946e-07,2.860131633042329e-06,9.75395156643799e-08
priorregion1_spot_21,0.00496445931494236,1.1754657407436752e-07,0.032899565622210504,1.4450503513785409e-07,0.625013244152069,1.6633723258972168,0.1371403232216835,0.000524805800523609,0.0145320029463619,6.295376060450053e-08,8.147885239395692e-07,1.1077760113664682e-07
priorregion1_spot_22,3.7794367381138726e-05,3.467735453455134e-07,8.48644333473203e-07,8.909851665350743e-08,1.360842740535736,1.1536396086215974,0.011863981513306499,0.5696190506219864,5.297912357491441e-05,1.4503700640489117e-07,9.257136213136619e-07,1.5300015547836666e-07
priorregion1_spot_23,3.2248167008219754e-05,6.889205849347491e-07,1.4875250144541497e-06,3.976680730488625e-07,2.2867326140403748,0.5115842431783676,0.0006078903476009147,0.3588557839393616,0.0002874627214623615,4.2082734381665436e-07,0.0005589621083345264,3.310211070584046e-07
priorregion1_spot_24,9.139224785030818e-05,4.295130224818422e-06,3.215895299035766e-06,2.1202963580435607e-07,0.7667389035224914,1.5028016448020936,0.00046471798414131625,1.7849096477031707,0.045185116492211824,0.0005864358769031242,1.726429454720346e-05,5.315732011013096e-07
priorregion1_spot_25,0.019927647244185206,4.058625859215681e-06,0.02269832417368889,2.021567217980191e-06,2.046750235557556,2.274372899532318,0.00044141424441477287,0.30407449454069135,0.004526779730804264,6.948480034907335e-07,1.8490584182018212e-06,4.902539586737475e-07
priorregion1_spot_26,3.2838799143064538e-06,3.184822823243394e-08,7.672078481846257e-07,5.694067546357928e-08,0.18695800229907034,0.0007068489852827043,1.6757316825533056e-05,0.4894641384482384,1.0073314524561283e-05,1.5999332703131588e-07,8.611620614829007e-07,2.551942870354651e-07
priorregion1_spot_27,0.0002109788008965552,5.088548988396724e-07,0.00020916885332553648,2.0693973183938398e-07,1.004552310705185,1.3486694872379301,0.00023352547723334282,0.7099853217601776,2.3532732120656875e-05,2.8341749072069436e-07,1.8662165985006141e-06,1.0244027066619312e-06
