	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	5.018034e-08	2.7278742e-07	0.37118986	0.0012960454	0.16235772	0.0018232933	0.021125505	2.4530479e-08	4.669459e-07	0.36841106	0.07374698	4.874226e-05
priorregion1_spot_2	3.7789643e-08	1.1311109e-07	0.41190243	3.577934e-07	0.08814117	0.04218228	0.0072440053	1.2674344e-07	0.012433134	0.39022875	0.047866687	9.2911336e-07
priorregion1_spot_3	2.4208697e-08	9.158736e-08	0.59405	1.5151147e-06	0.07808475	3.2628594e-07	8.824559e-07	1.719212e-08	5.8012635e-08	0.2961576	0.031704124	6.1393126e-07
priorregion1_spot_4	3.254169e-08	8.990586e-08	0.513877	3.4625257e-06	0.038267024	0.014575308	0.096257545	3.671408e-08	0.0047482247	0.31355947	0.018710624	1.2793339e-06
priorregion1_spot_5	2.9135953e-07	1.2029508e-07	0.47494322	8.4180317e-07	0.12163526	0.00075479224	0.020490097	2.986109e-07	0.012345492	0.3184602	0.04635455	0.005014846
priorregion1_spot_6	3.0451186e-08	6.162867e-08	0.4866486	0.007176827	0.11586699	1.17310094e-07	0.027834367	2.9966156e-07	2.4051906e-06	0.3020551	0.041669063	0.018746175
priorregion1_spot_7	3.5129963e-07	0.01648371	0.0029360747	7.986475e-08	0.21625227	0.01794587	1.83711e-07	1.3771479e-07	0.02469472	0.6405603	0.081124924	1.3480661e-06
priorregion1_spot_8	4.8948632e-08	1.2662332e-07	0.41268563	5.728858e-07	0.12430969	0.028665964	0.004448216	5.713254e-08	1.8381111e-07	0.34393385	0.0859551	5.2841597e-07
priorregion1_spot_9	3.6980133e-08	1.0460708e-07	0.3093792	4.872902e-07	0.08860699	0.15313792	0.04235617	5.3423427e-08	8.64021e-08	0.2826516	0.12385037	1.6994909e-05
priorregion1_spot_10	6.4190004e-08	2.7145106e-07	0.44328657	4.769561e-07	0.06462408	0.16519777	1.2615179e-06	3.311546e-08	6.24586e-08	0.29035026	0.036538586	5.5667385e-07
priorregion1_spot_11	1.5523513e-07	4.7509317e-07	0.23840371	1.3492514e-07	0.11694273	0.08464667	0.04797224	0.0025441754	1.9377453e-07	0.42572388	0.07887155	0.0048940326
priorregion1_spot_12	2.1249953e-08	6.8980924e-08	0.50581276	2.8377985e-07	0.08238917	2.2437173e-07	0.04890085	4.1085016e-08	5.7112818e-08	0.26618433	0.09671185	1.698582e-07
priorregion1_spot_13	3.5227533e-08	1.2237295e-07	0.97524124	8.5205994e-07	1.3020161e-06	1.35085e-06	0.020999486	9.101924e-08	1.9612347e-07	0.00027264268	0.00348254	1.300405e-07
priorregion1_spot_14	5.5357205e-08	1.845468e-07	0.55643386	3.3238844e-06	0.053193457	5.1324627e-05	0.023983609	9.094414e-08	0.018615905	0.29209632	0.05562139	4.5401956e-07
priorregion1_spot_15	4.019469e-08	6.705819e-08	0.6281765	6.501209e-06	0.06932721	1.0802542e-06	0.012966836	3.5394965e-08	2.2927266e-07	0.25670147	0.030172966	0.0026470944
priorregion1_spot_16	2.3561526e-07	0.00233385	0.25822785	3.7521966e-07	0.19585949	0.0054967306	0.0007062681	2.3533885e-07	0.0030170998	0.4380056	0.09634758	4.623099e-06
priorregion1_spot_17	5.5012894e-08	1.7214418e-07	0.52023023	1.5120175e-06	0.079271816	7.200367e-07	0.03012323	0.0019958122	0.012445449	0.30817792	0.04380698	0.0039460845
priorregion1_spot_18	7.690047e-08	1.9193185e-07	0.26074174	1.9831427e-07	0.15960751	0.027691722	0.03623515	0.0020165695	2.920901e-07	0.42265835	0.077722296	0.013325829
priorregion1_spot_19	7.421316e-08	1.5451829e-07	0.39221817	0.008935801	1.3070024e-06	0.2926828	0.18003173	4.408651e-08	1.6718158e-07	0.1241284	8.910331e-07	0.0020004364
priorregion1_spot_20	4.100294e-08	1.5109799e-07	0.46829572	4.3911726e-07	0.08810318	0.054960318	7.725013e-06	2.0979332e-08	1.1235543e-07	0.35409185	0.034539126	1.1702597e-06
