	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	0.004516769	0.2712632	0.019260302	7.779717e-08	5.7008856e-07	1.7990757e-07	1.4860905e-07	0.70495737	9.194913e-07	1.5074357e-07	6.834653e-08	1.358728e-07
priorregion1_spot_2	2.7569817e-05	0.712285	1.4318965e-07	0.0018841118	5.913169e-07	0.0060680234	2.8924294e-06	0.2216386	7.177522e-07	0.058087334	2.8712952e-07	4.8439074e-06
priorregion1_spot_3	2.8425854e-06	0.9999944	2.3128399e-07	2.2578371e-07	2.5062164e-07	2.1208926e-07	3.6151826e-07	2.5435455e-07	2.3884857e-07	7.877301e-07	1.3942919e-07	3.1292257e-07
priorregion1_spot_4	3.6619758e-06	0.9999887	1.7108445e-07	1.917195e-07	6.766405e-07	4.535672e-07	4.16284e-07	3.791641e-07	6.912493e-07	3.7292407e-06	2.877973e-07	7.585917e-07
priorregion1_spot_5	4.0920536e-06	0.93540573	0.06458717	2.7320965e-07	4.4615462e-07	2.3600455e-07	2.5128134e-07	2.6659617e-07	2.943967e-07	7.255471e-07	2.471502e-07	4.369298e-07
priorregion1_spot_6	2.9023083e-06	0.29860157	7.532451e-08	7.513438e-08	3.6639467e-06	0.00029410262	0.34914404	0.35076767	3.8119665e-06	3.5462577e-07	1.241652e-07	0.0011815963
priorregion1_spot_7	0.0074111843	0.36787993	0.035177134	1.7183085e-07	0.38601434	2.7627725e-06	0.0076482305	0.17742202	0.01844322	4.7411032e-07	1.04249416e-07	4.0457329e-07
priorregion1_spot_8	3.047855e-05	0.53336054	1.8927166e-07	1.8123016e-07	9.1564345e-07	3.604476e-07	0.25998002	2.1545887e-07	2.3405523e-06	0.16061452	0.028665122	0.01734508
priorregion1_spot_9	5.777744e-06	0.30413783	5.7742668e-08	5.722162e-08	0.21865167	0.3407555	0.13644259	2.9157394e-07	5.944305e-07	5.3614463e-06	1.6058456e-07	1.01649775e-07
priorregion1_spot_10	0.004581471	0.17873238	5.334159e-08	7.131774e-08	0.0021133446	5.650808e-06	0.1014856	0.653899	0.000300267	0.050617494	0.008258544	6.1509313e-06
