	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	0.09187806	0.26366028	2.1253605e-07	0.0011198438	0.041186903	0.2233107	0.087904066	0.0027651433	0.008764614	0.0043701627	8.041343e-06	0.27503192
priorregion1_spot_2	0.002077249	9.339117e-07	3.4264477e-08	4.0757442e-08	1.7298183e-07	0.36478525	0.14606546	0.001733051	1.7486487e-07	0.3279251	0.018597096	0.13881554
priorregion1_spot_3	0.007546	0.010312988	1.0265397e-07	8.737445e-08	3.265346e-07	0.30680695	0.127116	1.3162858e-07	2.169366e-07	0.11504547	0.005236866	0.42793489
priorregion1_spot_4	1.7190811e-07	0.008782067	2.8677006e-08	9.225969e-09	5.249948e-07	0.38947535	0.34839144	0.008586934	2.997305e-07	0.23375766	0.011005592	7.475698e-08
priorregion1_spot_5	0.058882143	0.3666494	8.218643e-08	4.549018e-08	0.025289549	0.07762468	1.6363482e-07	0.006717803	0.010482638	0.22934791	0.036111563	0.18889402
priorregion1_spot_6	0.03530355	0.15457353	5.4512586e-08	3.2021543e-08	0.035015173	0.26699033	0.20804268	0.008368466	2.214601e-05	0.2610371	0.030645568	1.3744075e-06
priorregion1_spot_7	0.09299233	0.32513443	2.4471265e-07	0.0021344884	0.00071507564	0.056566533	0.05941833	0.0019814223	0.0056186905	0.12879394	0.03136749	0.2952771
priorregion1_spot_8	0.07324058	0.2762408	1.1739794e-06	0.001757865	6.058097e-06	0.28345025	0.2382681	1.6294261e-07	2.883047e-06	0.06309432	9.218822e-07	0.06393688
priorregion1_spot_9	0.022528833	0.14660773	5.3139036e-07	6.941633e-08	0.057919465	0.1111385	0.24963696	0.0010289871	0.018587671	0.35202217	0.011508856	0.02902021
priorregion1_spot_10	8.269599e-07	9.91626e-08	9.639947e-08	5.4700557e-08	0.06125727	0.05288001	0.48492473	0.004877664	0.006829915	0.35322905	1.2183997e-06	0.035999082
priorregion1_spot_11	0.11589798	0.013808306	1.2319122e-06	2.2464577e-07	5.6422374e-07	0.2755049	0.02725317	1.7800203e-07	0.015580592	0.118023664	0.013736125	0.4201931
priorregion1_spot_12	0.08984769	0.20970625	2.1871195e-07	2.4989638e-05	0.010204132	0.091618136	0.005251238	1.7712989e-07	0.017485555	0.013339918	0.042412765	0.52010894
priorregion1_spot_13	0.20846002	0.03479234	1.9861196e-07	6.256106e-08	2.1348582e-07	0.17810558	0.06526581	0.005328786	0.009060813	0.40054744	0.007671926	0.09076679
priorregion1_spot_14	0.034264717	0.089887075	4.6600665e-08	5.3659413e-08	0.017259931	0.34161735	0.19001403	0.005297901	0.00095252774	0.3158557	0.004850007	6.6056714e-07
priorregion1_spot_15	0.008155214	1.7507546e-07	7.676525e-08	1.9580122e-08	0.0053287256	0.1325971	0.5832405	1.4010497e-07	0.013711012	8.7927106e-08	1.13163054e-07	0.2569668
priorregion1_spot_16	0.072324276	0.24012087	3.1243824e-06	2.8589068e-07	0.048795875	0.017425604	0.005423355	0.0028946423	0.0011503624	0.17532748	0.065928385	0.37060574
priorregion1_spot_17	0.047437184	0.23396608	4.4014357e-08	4.9203358e-08	3.587528e-06	0.37578693	0.06860193	0.0090830065	0.00051604444	0.12107351	3.7973632e-07	0.14353132
priorregion1_spot_18	0.14378375	0.24949285	2.0908876e-06	0.0005841712	0.024276841	0.20816897	0.10968762	1.18586144e-07	5.579863e-06	0.07447783	0.013307964	0.17621225
