	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	1.8066194e-07	4.0235037e-07	4.67987e-08	3.600674e-08	0.62990105	0.1170066	2.1599776e-06	1.492529e-07	3.332187e-07	0.25308838	2.3241513e-07	4.107866e-07
priorregion1_spot_2	4.3480176e-07	0.00044312933	1.9378602e-08	2.5710566e-08	0.55048513	0.10489065	0.07823841	1.12972906e-07	1.2951769e-05	0.2634445	0.0024758475	8.809965e-06
priorregion1_spot_3	9.891253e-08	1.3763116e-07	6.39352e-08	5.535109e-08	0.6659656	0.057855014	0.021031795	1.0399159e-07	0.050232783	0.16762622	0.03527043	0.0020177516
priorregion1_spot_4	7.482645e-08	9.1602864e-08	6.958881e-08	7.7116056e-08	0.45019677	1.573062e-07	0.1522907	4.380668e-07	0.052677896	0.307606	0.022966413	0.014261264
priorregion1_spot_5	1.8657387e-07	5.294985e-07	6.825994e-08	5.649686e-08	2.3784641e-07	1.9550832e-07	0.1491401	3.9079166e-07	1.4537778e-06	0.7925804	0.0494576	0.008818743
priorregion1_spot_6	1.733147e-07	2.9054993e-07	5.3099594e-08	4.199926e-08	0.6002441	0.17736827	0.06936129	3.291055e-07	7.190759e-07	0.15302444	3.2284078e-07	1.4065387e-07
priorregion1_spot_7	8.293333e-08	1.1639209e-07	2.6028502e-08	1.8824384e-08	0.8978666	2.688291e-07	0.044159625	8.904626e-08	0.00075185474	0.05722109	2.5983908e-07	1.04616205e-07
priorregion1_spot_8	6.677984e-08	3.675999e-07	4.6173636e-08	2.7862045e-08	0.74811906	1.0101721e-05	0.18801741	7.713917e-08	6.531122e-07	0.06385192	1.3776226e-07	1.0549667e-07
priorregion1_spot_9	2.3894066e-07	3.754706e-06	5.5517752e-08	3.5785998e-08	0.7246696	0.019301394	9.040275e-07	2.882841e-07	3.9720555e-07	0.25602287	3.1621846e-07	9.299027e-08
priorregion1_spot_10	1.2265788e-07	4.9871863e-07	6.8034545e-08	4.093979e-08	0.4861218	0.25233516	0.036112424	1.0669136e-07	3.3655587e-07	0.22542845	8.499672e-07	1.6193235e-07
priorregion1_spot_11	9.465216e-08	7.61446e-08	2.2580206e-08	2.2735094e-08	0.99999535	4.17874e-06	1.1832579e-07	4.8279638e-08	8.2777696e-08	2.1457538e-08	3.254986e-08	2.8480668e-08
priorregion1_spot_12	1.328374e-07	7.383158e-07	6.759623e-08	7.059933e-08	0.42784023	3.4628798e-07	3.0951415e-07	1.9751579e-07	0.0118106725	0.5442051	0.014491996	0.001650289
priorregion1_spot_13	1.1200229e-07	1.16921754e-07	4.1325887e-08	1.8604123e-07	0.57692206	0.41679564	1.6551382e-07	0.006280794	7.153142e-07	2.507615e-08	5.3346483e-08	1.2391263e-07
priorregion1_spot_14	7.8439214e-08	7.8503646e-08	3.8997175e-08	2.8027754e-08	0.68622684	0.21869463	6.26695e-07	1.1369024e-07	1.5241267e-07	0.095077254	7.9680525e-08	5.6171295e-08
priorregion1_spot_15	1.2561637e-07	3.5059423e-07	6.794198e-08	3.6018964e-08	0.8158333	0.10978371	6.907542e-07	0.0029729796	5.776382e-07	0.071407795	2.896224e-07	1.2886585e-07
priorregion1_spot_16	3.516394e-07	0.002649378	1.3991024e-07	1.2677428e-07	0.21289216	0.4011902	5.574067e-07	0.0012302796	2.152999e-07	0.3820357	8.398291e-07	1.4093227e-07
priorregion1_spot_17	9.403789e-08	1.8231495e-07	2.9807786e-08	1.9256595e-08	0.9038896	1.9015407e-07	9.778347e-08	1.3208623e-07	2.807455e-07	0.096109204	6.497471e-08	5.7606808e-08
priorregion1_spot_18	1.1761913e-07	5.308524e-07	9.924529e-08	4.7617586e-08	0.8338983	0.04667367	0.03196685	1.0262921e-07	0.027527984	0.04996782	0.00996377	7.4177956e-07
priorregion1_spot_19	1.05966414e-07	1.599011e-07	5.9702295e-08	1.6396406e-08	0.5831428	0.30887493	0.1079813	1.15777986e-07	1.6884084e-07	5.735981e-08	1.0442291e-07	6.088522e-08
priorregion1_spot_20	1.3016368e-07	1.8816256e-07	5.5370247e-08	3.5599804e-08	0.20158538	0.6734742	1.8732283e-07	1.4741133e-07	1.310294e-07	0.12493926	1.10038705e-07	2.3037337e-07
priorregion1_spot_21	5.0297345e-08	3.6699216e-08	3.0219272e-08	2.1705963e-08	0.9871866	2.0628197e-07	0.009175994	6.45156e-08	0.0036368265	1.820429e-08	5.84819e-08	4.1542478e-08
priorregion1_spot_22	1.4360481e-07	8.517987e-07	5.0917823e-08	4.358421e-08	0.19467835	3.2946062e-07	0.037271347	8.7437996e-08	2.3016277e-07	0.7579378	0.010110269	5.178121e-07
priorregion1_spot_23	1.2140933e-07	1.8052845e-07	6.550497e-08	3.5611468e-08	0.76689035	0.09205953	4.2077676e-07	0.0012470619	2.0299772e-06	0.13794759	1.9679858e-06	0.0018508069
priorregion1_spot_24	5.009549e-08	1.7429234e-07	4.3943725e-08	1.8551566e-08	0.8262498	0.06386183	0.05707554	1.2727259e-07	2.2699965e-07	0.052560933	9.6581964e-08	0.000251219
priorregion1_spot_25	2.2986902e-07	0.0024915182	5.8696514e-08	6.007448e-08	0.36699128	5.00842e-07	0.1342849	2.8995845e-07	0.036709975	0.37056848	0.06757099	0.021381678
priorregion1_spot_26	1.4560484e-07	5.044716e-06	6.982113e-08	6.605977e-08	0.39019084	0.07911561	0.039963122	1.3107233e-07	0.03524505	0.41336572	0.035802133	0.0063120574
priorregion1_spot_27	5.5601834e-07	1.1433045e-05	1.2365695e-07	4.5027736e-08	0.20753442	1.4542783e-05	0.09709205	2.5415588e-07	1.159475e-06	0.69534355	1.3628566e-06	5.0070275e-07
priorregion1_spot_28	1.0667808e-07	1.9663214e-07	5.928395e-08	1.340686e-07	0.6951832	0.22805814	8.817168e-07	0.005495917	5.3090093e-07	0.06978902	1.3875335e-07	0.0014716708
priorregion1_spot_29	1.4777105e-07	0.0011835006	3.7048974e-08	4.6138673e-08	0.6429309	1.1762597e-05	0.04859389	9.956934e-08	0.028386287	0.27309385	0.0057992777	2.3148888e-07
priorregion1_spot_30	1.8677558e-06	0.0002273028	4.706754e-08	4.2595612e-08	0.8462673	1.5731723e-05	0.011954598	1.4081918e-07	5.651245e-07	0.1308015	0.010730692	3.322169e-07
priorregion1_spot_31	1.3056135e-07	1.1439086e-07	2.1708175e-08	2.0486024e-08	0.607594	0.25316793	0.0038193506	1.4078894e-07	8.9349146e-07	0.13018116	1.3772157e-07	0.005236236
priorregion1_spot_32	1.6495629e-07	3.4051678e-07	3.835873e-08	5.1900514e-08	0.86415315	0.09845817	9.0127486e-07	0.0016932578	3.6829803e-07	0.033170186	8.6756636e-08	0.0025233114
priorregion1_spot_33	7.846286e-08	5.5482525e-07	1.6568545e-07	6.950705e-08	3.412928e-07	0.27882123	0.009862046	1.9263258e-07	3.1844468e-07	0.6500711	0.061242614	1.3030892e-06
priorregion1_spot_34	7.479407e-07	0.0034633232	1.1548815e-07	8.836706e-07	0.34989193	0.3337389	4.0799995e-07	1.5336569e-07	2.6667595e-07	0.31129137	0.0016116769	1.8781485e-07
priorregion1_spot_35	2.0666128e-07	7.4510544e-06	1.01318136e-07	5.470686e-08	2.7965868e-06	7.761802e-07	0.18165661	1.4349919e-06	0.011303851	0.6927115	0.09635196	0.017963229
priorregion1_spot_36	2.1071908e-07	0.011457173	6.398061e-08	6.869283e-08	1.4860107e-07	1.7024615e-07	2.3801348e-07	2.6426525e-07	0.018028172	0.9084393	0.05796341	0.0041108467
priorregion1_spot_37	3.458124e-07	1.0929977e-07	2.39668e-08	1.7749914e-08	0.78294873	3.0341582e-07	0.058965333	9.5451995e-08	1.1189144e-06	0.15555805	0.002525851	1.3702937e-07
priorregion1_spot_38	1.4855738e-07	2.6446506e-07	3.6371993e-08	2.8426635e-08	0.64799535	0.2537201	5.784634e-06	2.241211e-07	1.647089e-06	0.09827593	1.7963703e-07	3.21036e-07
priorregion1_spot_39	5.1028135e-08	8.933661e-08	1.2422179e-08	8.316349e-09	0.85378635	0.13507582	9.121022e-08	8.190193e-08	1.218261e-07	0.011136962	2.2398409e-07	1.6591372e-07
priorregion1_spot_40	1.3622035e-07	6.617513e-08	1.5247243e-08	1.2155932e-08	0.96566564	2.3770986e-07	0.025359081	1.4062137e-07	0.008974736	2.0206903e-08	3.8874948e-08	3.5217088e-08
priorregion1_spot_41	1.1938693e-07	6.7811084e-07	6.3129804e-08	5.4881145e-08	4.566996e-08	5.52478e-08	0.057586085	0.014601685	0.014465148	0.6717069	0.24163833	8.0763095e-07
priorregion1_spot_42	7.660668e-08	2.581769e-07	2.4808076e-08	1.7120295e-08	0.91568094	4.0455495e-07	1.952461e-06	8.1452235e-08	8.568059e-08	0.08431614	8.3502954e-08	4.648487e-08
priorregion1_spot_43	2.1237926e-07	7.7270425e-07	9.29347e-08	0.00067330577	0.06476752	0.87760675	3.35059e-07	0.0020050555	1.2412647e-07	0.054945674	6.0808304e-08	5.6003227e-08
priorregion1_spot_44	1.2453067e-07	2.668827e-07	2.9044568e-08	3.3302584e-08	0.90626407	2.5769688e-07	1.3220979e-07	2.7371593e-07	5.569011e-07	0.09373365	2.027198e-07	5.585483e-07
priorregion1_spot_45	1.0539244e-07	3.3273443e-07	2.624729e-08	3.243197e-08	0.5877467	2.435553e-06	0.03323717	6.042169e-08	1.8247996e-06	0.37541425	0.0035970733	1.2529186e-07
