,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,2.397027801634977e-05,2.098441530051787e-06,6.989810145796583e-07,3.195198967631541e-08,1.4422188162803649,0.42172589153051376,0.03938729260116816,4.3262876943117594e-07,2.561989813330001e-05,0.933297312259674,0.0023501112358644606,3.774287088162965e-05
priorregion1_spot_2,7.383019037661144e-05,1.2447405288185109e-05,3.092904691470722e-07,1.3839914316804428e-07,1.0216394543647767,0.29634449630975723,0.24017126932740213,6.508772912638961e-07,0.005156783922575414,1.2617593288421631,0.010273038083687425,1.8825205188477412e-05
priorregion1_spot_3,1.3510505095837288e-05,7.521789143538627e-07,2.5035186899913243e-05,2.701490996059875e-06,1.461223542690277,0.4108655110001564,0.12987231835722923,3.951277267333353e-06,0.04292046185582876,1.1358182907104493,0.15752450898289683,1.227397106049466e-05
priorregion1_spot_4,1.1581112005387697e-06,3.246965803782587e-07,1.7300954084475962e-06,1.0891834030246629e-07,0.33565704226493837,1.0809332979988539e-05,0.16025870069861411,2.5086262439799612e-06,1.5480769343412247e-05,0.6050416052341461,0.004278443148359656,0.001898893463658169
priorregion1_spot_5,6.07931176546117e-06,1.0036357366516314e-06,7.542849544961427e-07,2.2873532614653417e-07,0.16383357867598533,0.0004780850242241286,0.21015140637755395,0.00011066131301049609,0.0003995120074250735,1.1361568927764893,0.04304363597184419,8.802616976026912e-05
priorregion1_spot_6,6.279892841121182e-05,6.927532849658747e-05,3.854336478070764e-06,2.525960141497308e-07,1.5979741394519804,0.6870397716760636,0.27451076507568356,5.907251725147944e-05,0.0008156968047842385,0.8359766840934754,0.0023181727621704343,1.5102182260307018e-06
priorregion1_spot_7,1.2873418199887965e-06,5.758576833159168e-08,4.3451932754123843e-07,1.6370150834887913e-08,0.9078303068876267,5.6982813293871e-05,0.1020104568451643,1.0416885878328232e-07,2.3275300122804765e-06,0.254785718023777,0.0006292554724495858,2.292321696018007e-07
priorregion1_spot_8,3.031581559298502e-06,2.469222999934573e-06,6.645138313388089e-07,7.158407342444661e-08,1.8277314245700838,0.018323877826333046,0.691472116112709,2.566222815403308e-06,0.0003058632195461541,0.5955262839794159,0.003128848073538393,1.2794271867733188e-06
priorregion1_spot_9,0.01727510653436184,1.5576428097574534e-06,3.240774037749361e-06,2.808564516953993e-07,1.3789918780326842,0.17692668139934542,0.007411463395692409,0.0002681425918126479,9.531038886052557e-05,0.9107389569282532,0.010925828572362661,9.705829626227571e-07
priorregion1_spot_10,2.096209909723257e-05,2.3184393171504783e-06,1.5199251436115452e-06,6.14740457649532e-08,1.2449577569961547,0.7783096522092819,0.08219938166439533,9.748556010436006e-07,0.00010582343093119561,1.126206511259079,0.016152420174330474,2.3786693873262265e-06
priorregion1_spot_11,3.236459474464937e-06,1.3998245904645045e-07,1.5058503421983005e-07,2.25555893962337e-09,1.792397552728653,0.2595340892672539,6.133596548352217e-06,9.601192507702194e-09,2.594118882370821e-07,3.615014338720358e-05,4.851047634701899e-08,2.413567177228515e-08
priorregion1_spot_12,2.0634101474570343e-05,1.6627927038825875e-06,6.430265966628213e-06,2.100351807143852e-07,1.061400443315506,0.0010098671598825605,0.012175370566546918,6.737099425890846e-07,0.028196883201599122,2.2671260118484495,0.1158975288271904,0.0003288063031504862
priorregion1_spot_13,0.00112903963890858,2.5151562795144857e-06,6.178016832336653e-07,8.727025182508897e-08,0.7651433557271957,1.1124306976795197,7.036920942482539e-05,0.0011503832414746285,9.73625974438619e-06,2.2102772163634654e-06,1.1781179523495668e-06,9.466876690567006e-07
priorregion1_spot_14,0.00015852777432883157,2.1293095855412506e-07,4.6242796815931794e-05,1.68722916527031e-07,1.620994383096695,0.8563101768493652,0.016994525492191315,1.8293542143510426e-05,6.662556988885627e-05,0.49354824125766755,0.0003903566743247211,5.784434989664078e-07
priorregion1_spot_15,1.9033671151191814e-06,4.6648470970467314e-07,8.520168222503343e-07,2.4175113733093668e-08,1.1502116024494171,0.3319570690393448,0.0012782492907717825,8.214923445848399e-06,2.2997903306531954e-05,0.2709600061178208,0.005215817806310952,7.827791851013898e-05
