,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.6431419789791107,1.8219876348972321,0.0833051435649395,1.8015944590388246e-06,1.357868302420684e-06,2.625255647217273e-05,0.06613289006054401,0.0007532477029599249,0.0024201004998758435,0.00044904558744747193,0.01300678295083344,0.846695038676262
priorregion1_spot_2,0.44019796997308736,1.6895639419555664,3.3073057892352153e-07,6.643609538059538e-08,2.2365164795701275e-07,1.5590173688906362e-06,5.637843719341617e-06,1.7085405033867573e-05,1.005336685011571e-05,5.355071380108712e-07,7.439585692736729e-06,0.0005907574523007497
priorregion1_spot_3,0.32067845314741134,1.217046868801117,2.926930861235633e-07,3.321697601421648e-08,3.4257508652046906e-08,5.768314025544896e-07,1.2953274790561413e-06,2.6375115066912257e-05,5.7058129186771115e-06,3.895182473456771e-07,4.412216730997897e-06,0.0003495824596029706
priorregion1_spot_4,1.4416460514068605,3.495481991767883,1.048279873430147e-05,2.6808716881987496e-07,4.621184871211882e-06,0.0003263479331508279,0.02314433306455612,0.00017167862824862823,0.02868301728740335,5.0817715782613965e-05,0.000524602341465652,0.0033646221971139314
priorregion1_spot_5,1.0374127626419067,2.7162444233894347,4.815561919713218e-06,3.6910913934207203e-07,2.1204015069997693e-06,6.600755186809694e-05,0.002136250783223659,3.76578424265972e-06,6.58545603073435e-05,0.00011967599784838967,7.422992603096645e-05,0.002528892562258989
priorregion1_spot_6,1.6458849549293517,3.414714753627777,0.087115029245615,2.4684117079232237e-06,4.013648867839947e-06,0.0001613484011613764,0.03315207101404667,1.597674872755306e-05,0.0006330360221909358,0.026111408695578577,5.497972761077108e-05,0.7731490284204483
priorregion1_spot_7,0.030260463058948514,0.18413910120725632,0.03150478303432465,3.6412775585858984e-07,7.3500374009327636e-09,6.307826687645958e-08,2.449223215350571e-08,2.646166450404053e-08,5.616379468165178e-07,1.894742966968011e-08,2.0574846049115086e-09,2.0053882643367165e-08
priorregion1_spot_8,0.7052066296339035,2.125952458381653,4.726240376839996e-06,2.133087740219253e-07,2.9362488191964075e-07,5.531504962164036e-06,4.244412939442555e-05,0.0002298388084454928,3.063051462959265e-05,2.488336701844674e-06,8.962569694404011e-07,2.7100137504021405e-05
priorregion1_spot_9,0.29559469819068906,0.9836651086807251,1.9704590044966607e-06,1.6090138004187797e-07,1.375718215967936e-06,0.010491168405860661,0.0003424100737902336,1.8912095697487533e-06,0.009605424292385579,3.9412123624060765e-05,1.30746531681325e-06,0.678255820274353
priorregion1_spot_10,1.9123839914798737,4.015634536743164,2.2672830800729572e-05,8.591485936904064e-07,2.0426822902663844e-05,0.00015155056680669077,0.0051803975366055965,0.0052258737152442334,0.03163922019302845,0.00010442311577207875,0.0012992014235351235,0.003733135259244591
priorregion1_spot_11,1.6519593238830566,3.144877779483795,7.592476185891428e-06,2.795774335595525e-07,0.00030665690283058214,0.02139796447008848,0.03190186414867639,5.0284269309486267e-05,0.0023114272858947515,2.1331995048967657e-05,1.056794812939188e-05,0.18966388255357744
priorregion1_spot_12,0.04270757958292961,0.17662381455302237,6.026623566413037e-07,2.3085018483470776e-07,8.558346650033855e-07,1.5246250177369804e-05,1.380177866394661e-06,2.0403347633646265e-07,1.0124976711267665e-06,7.086385767252069e-06,3.8386738410167705e-08,0.3611288160085678
priorregion1_spot_13,2.155600345134735,4.369744229316711,3.273175534559414e-05,1.2863242659477692e-06,1.4125075313131675e-05,0.0001871697233582381,0.050698948092758656,0.005910234129987657,0.02057340731844306,0.000804702372988686,0.0018189562601037324,0.004936215025372803
