,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.00466428694780916,1.767685330378299e-06,6.604511177954466e-08,1.4252161451011604e-08,0.0003249729459639639,0.00017585993991815486,0.04639924969524145,0.0008324969152454287,0.6582361310720444,1.1613970627877279e-06,2.1642974203928134e-07,5.219238001785698e-08
priorregion1_spot_2,0.011297668237239123,2.42449646066234e-06,1.6600284368450956e-06,3.298321885836231e-07,0.9707557499408722,0.28120838999748227,0.039912793040275577,0.02083896668627858,1.8586644291877747,5.807466777696391e-06,2.3098329620552247e-06,1.003313457204058e-06
priorregion1_spot_3,0.0032498320098966363,1.6215890425996806e-07,1.5122231161512902e-05,1.7420547848701062e-07,0.26987924873828883,0.7272935211658478,0.000728780429926701,0.07132760062813759,1.9039675295352936,9.806098148601452e-07,1.9487013469188247e-05,5.641496244379596e-07
priorregion1_spot_4,0.005318783037364483,0.00048533134249737484,4.12214101288555e-06,6.319555978961943e-07,1.3312585592269897,0.00023103057174012065,0.008893291000276804,4.270867793820798e-06,1.2630796134471893,1.0728832329220951e-07,2.633111890304463e-07,2.3590135853623905e-07
priorregion1_spot_5,0.059575517661869526,1.0880573917404491e-07,3.9421158959385144e-07,6.457826096095687e-08,1.088906145095825,1.2750872552394867,0.00021074243632028812,0.00024378812740906143,0.12929899394512176,4.120176345168148e-06,8.291382471270481e-07,8.883015516403249e-06
priorregion1_spot_6,0.031347076408565044,2.471743982823682e-07,1.1222635620811161e-07,2.8028923271250507e-08,0.6434419184923172,0.5250963300466537,5.36365956577356e-05,2.291946020704927e-06,0.21161692813038827,3.1134330811255497e-07,3.898404983715409e-07,5.34251461203894e-07
priorregion1_spot_7,0.0005922044976614416,5.5097113772717434e-06,0.00017998111943597905,6.080021563548144e-07,1.6115822970867157,0.8200577855110168,0.0019355058902874591,5.241064391157124e-05,0.9875638276338577,8.363273735767507e-07,1.2860510423706728e-06,2.3028203713693073e-06
priorregion1_spot_8,5.850260859006085e-05,8.325437107714606e-07,0.004753168765455484,1.1158988741044596e-06,0.8876768767833709,0.0012843762699048969,0.1816015847027302,5.440354993879737e-06,1.663169139623642,2.086406226453619e-07,3.176766631440842e-06,8.610905943839953e-08
priorregion1_spot_9,0.0011450824036728592,3.904191117953815e-07,1.890358703349193e-06,1.6790174868219766e-07,1.5667489171028137,0.612210613489151,0.000580051084398292,8.745549821469467e-05,1.5280596733093261,8.030782026935413e-07,6.835730943066664e-07,7.116926127537228e-07
priorregion1_spot_10,0.0002105305982695427,4.587447324411187e-06,1.2699501326096652e-06,1.4762968660875234e-07,1.5523467659950256,0.0003012700792169199,0.051647610031068325,0.03355662971735,1.1940264880657194,7.651318192358759e-08,7.66173545230231e-07,6.905998226613974e-08
