,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,6.128858728970954e-07,1.2440835117644157e-08,0.4603130668401718,4.302199911876414e-07,1.6773256675151062e-06,2.348954922126723e-05,1.0014334499835968,3.676398463881015e-07,0.001936039497377351,2.4710090240631648e-08,2.691427553713766e-07,8.251751495436111e-08
priorregion1_spot_2,5.665087513762046e-07,3.772091474729678e-08,0.6182818621397019,4.841588520321239e-07,0.00011434795596869663,0.1851904846727848,1.680582755804062,8.794336872597343e-06,9.333909729321023e-05,7.625237012689467e-05,6.352605026904712e-07,8.247414911011219e-08
priorregion1_spot_3,2.9059586523771943e-07,5.3748538064724016e-08,0.5366374135017395,8.754144482736594e-06,3.9965847093981215e-07,1.8432652450428576e-05,0.8728510022163392,3.570292506083206e-08,4.455373073142255e-06,7.579203497698473e-07,3.4953965126760523e-07,4.9581605843229687e-08
priorregion1_spot_4,7.5907495329374805e-06,5.080432015347469e-06,0.013377735251560809,3.2318297229494417e-07,0.050514611229300496,0.4462244600057602,3.781943392753601,6.844460949650966e-05,0.04999685753136873,2.1303571742237182e-07,2.9155987249396273e-06,1.2834434016895103e-06
priorregion1_spot_5,2.0850945645634055e-07,4.3353173495575004e-09,0.29413720071315763,7.587625567850864e-08,1.615941482668859e-06,0.08554683439433575,0.3465102657675743,4.143797678324291e-08,1.0677787940949201e-06,2.9909932086624736e-09,6.636384455305234e-08,1.0493728641591816e-08
priorregion1_spot_6,0.003798138163983822,5.635701171513576e-07,0.005724022653885186,4.851708936826071e-07,0.02208167379721999,0.24890443459153175,2.8580035328865048,4.598841678671306e-05,0.04959488492459059,1.1429536698415177e-05,0.00012467224296415226,0.0002469603161443956
priorregion1_spot_7,0.02226502327248454,3.2872370297809542e-06,0.5345976620912551,1.0029184807081037e-06,0.00014051964026293715,0.0861629642546177,1.9821636438369752,1.9603615101004833e-06,0.08803378790616989,1.0039931055416673e-06,4.142404031881598e-06,0.0010084639594424517
priorregion1_spot_8,0.0029978355509229005,4.257980563693309e-07,1.6023942887783051,1.997432866573945e-06,4.2412873568764553e-07,2.5900790933519602e-05,0.5953806430101395,0.0010375596641097218,0.00014347072938107884,6.412348341200413e-07,4.177193687837644e-07,1.822414333219058e-05
priorregion1_spot_9,0.003279218776151538,3.192038050769952e-07,1.1784744381904602,1.25020405334908e-06,8.507684697178775e-06,0.0008607928844867274,1.5365553021430969,4.712837025522277e-07,3.8028398557798936e-05,1.535998171675601e-05,2.01714772174455e-06,8.138337278751352e-07
priorregion1_spot_10,1.0261074919526437e-06,1.5409537112986982e-07,0.008093412360176444,1.2146766659171248e-08,0.0002464114571921527,0.1354064092040062,1.5580928683280946,1.4125369744988349e-07,0.001425484154606238,1.291994152552434e-07,4.7515991354885045e-06,1.0985566802901306e-07
