	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	0.0066708396	3.517558e-06	0.070356876	0.3983838	2.9860303e-08	4.0524515e-08	9.323291e-08	0.5238704	4.992658e-07	2.5475513e-08	0.0007137013	2.3937025e-07
priorregion1_spot_2	1.7290606e-08	5.744755e-08	0.053260867	0.19066845	1.1814871e-07	6.244617e-08	6.79447e-08	0.7560537	1.6503269e-05	3.132592e-08	6.418293e-08	5.682892e-08
priorregion1_spot_3	5.2904948e-08	4.3789786e-08	0.22041762	0.73146063	2.6677359e-08	4.188588e-08	0.048119426	5.165856e-08	1.2480331e-07	4.9784326e-08	1.316527e-06	5.243081e-07
priorregion1_spot_4	2.503809e-08	6.7264494e-08	0.08552912	0.22591476	8.861665e-08	0.18579233	1.9451197e-07	0.502763	2.1048537e-07	1.8419291e-08	7.231451e-08	1.7603723e-07
priorregion1_spot_5	3.781752e-08	5.1946248e-08	0.050396543	0.3635233	1.17089385e-07	0.033626743	0.09795218	0.4544989	1.7855558e-06	2.5890493e-08	5.4833933e-08	2.0695545e-07
priorregion1_spot_6	0.019518398	1.239521e-07	0.080141716	0.29029438	3.874281e-08	3.514311e-08	9.402906e-08	0.548886	1.0695458e-06	1.9348498e-08	7.7031544e-08	0.06115807
priorregion1_spot_7	9.348593e-08	1.4429342e-07	0.018218067	0.17474166	2.2648031e-07	0.06475583	6.9406454e-08	0.7422732	1.0359252e-05	2.4306045e-08	5.460719e-08	1.9701623e-07
priorregion1_spot_8	0.0001822107	5.5123223e-08	0.013108193	0.123161376	2.4796418e-07	0.046343815	0.07365864	0.743542	3.4151956e-06	1.8425938e-08	3.1085985e-08	1.1479739e-07
priorregion1_spot_9	4.669416e-08	9.6651114e-08	0.028088277	0.17195962	5.9737175e-08	3.3450544e-08	3.9642945e-08	0.72865254	7.688127e-05	1.9133097e-08	6.065162e-08	0.07122236
priorregion1_spot_10	2.6005647e-08	0.0070826714	0.20847845	0.78154016	4.4539373e-08	3.9400966e-08	4.8563898e-08	0.002897997	1.3725717e-07	6.7112815e-08	2.6224586e-07	2.1878218e-07
priorregion1_spot_11	3.361025e-08	6.27991e-08	0.081807084	0.37535655	6.4261236e-08	5.2241937e-08	9.637777e-08	0.5428254	1.0261242e-05	1.9744176e-08	1.4116168e-07	2.3652157e-07
priorregion1_spot_12	1.2469852e-08	3.6484476e-08	0.067490235	0.34076446	2.6488086e-08	4.374676e-08	3.256511e-08	0.5917446	2.3631357e-07	1.182657e-08	4.6452588e-08	1.8365398e-07
priorregion1_spot_13	2.8392948e-08	6.612988e-08	0.09094264	0.38487568	5.312829e-08	4.3289525e-08	7.7799676e-08	0.5241803	7.828682e-07	2.2968862e-08	5.5640644e-08	1.513868e-07
priorregion1_spot_14	1.0000882e-07	7.088163e-08	0.025197957	0.08578776	0.060126133	0.071389966	5.6312384e-08	0.7574964	1.165232e-06	1.7755838e-08	3.166652e-08	2.745563e-07
priorregion1_spot_15	9.1567415e-08	1.03636886e-07	0.023272948	0.09407869	0.13155103	0.0068348516	1.6412951e-06	0.7442581	2.1663684e-06	4.2704887e-08	7.650875e-08	2.8250673e-07
priorregion1_spot_16	4.8227895e-07	2.4497115e-07	0.085919	0.2472708	5.4474867e-08	3.2418031e-06	6.9319833e-07	0.666805	2.808677e-07	1.9754491e-08	6.287754e-08	1.5941848e-07
priorregion1_spot_17	2.2654099e-08	5.7749638e-08	0.13839239	0.46194524	5.5719994e-08	2.993773e-08	6.295821e-08	0.39966187	8.620785e-08	2.0184075e-08	5.974287e-08	1.3726218e-07
priorregion1_spot_18	4.6658705e-08	2.745824e-07	0.032305166	0.14475265	5.867254e-08	5.1280296e-08	3.316047e-08	0.82294124	2.8955603e-07	2.8567614e-08	5.594165e-08	1.3020946e-07
priorregion1_spot_19	0.0005844076	5.5946947e-07	0.051608995	0.2437854	3.1848384e-07	0.026763944	0.07729114	0.5999533	1.1653332e-05	2.2686642e-08	4.8626475e-08	2.0461513e-07
priorregion1_spot_20	3.568206e-08	4.962218e-08	0.10645574	0.38416994	4.246429e-08	6.307714e-08	1.6207754e-06	0.50936586	5.739901e-06	2.3355232e-08	1.2642165e-07	8.391347e-07
priorregion1_spot_21	6.09128e-08	0.0018974927	0.1573938	0.47840604	3.4055034e-08	6.3953465e-08	1.8891727e-07	0.35995242	2.601948e-07	2.0109612e-08	1.2036772e-07	0.0023494933
priorregion1_spot_22	2.7692877e-08	4.5569273e-08	0.14765167	0.36580282	3.8426617e-08	4.5887315e-08	9.9213196e-08	0.48654482	2.738026e-07	1.374529e-08	5.1969465e-08	4.6113332e-08
priorregion1_spot_23	6.1426235e-08	1.8071624e-07	0.07062507	0.3345077	0.0014645054	5.84529e-08	6.948268e-07	0.5934002	7.814832e-07	2.0341938e-08	6.9175066e-08	7.918642e-07
priorregion1_spot_24	1.02852276e-07	1.3867103e-07	0.063346855	0.23527883	1.03374035e-07	5.937568e-08	6.1073436e-08	0.6521854	1.2545778e-06	3.267419e-08	8.5335664e-08	0.049187135
