,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.00019090466521447526,4.174910102960894e-07,2.5071239406315725e-06,1.1345227221681853e-06,8.291881022159941e-05,1.81660698056221,0.037174451537430285,1.0475498497486115,0.0001572203473187983,3.852875181564742e-07,6.289848045071267e-07,1.5568173310498427e-07
priorregion1_spot_2,9.723309849505315e-05,1.9642969164124227e-06,5.460496322484687e-06,1.2435902988272573e-06,0.059778956882655616,3.180324125289917,0.3270527496933937,1.4918566703796385,0.005657025636173785,5.029011504120718e-07,3.981687109444465e-06,7.975112254143824e-07
priorregion1_spot_3,5.688668261427665e-05,0.00010627530355122873,2.158267204777076e-06,1.864575488070841e-05,0.00021516217311727816,1.5669115900993347,0.10268809758126736,1.4013854622840882,0.0003594971305574291,1.8546756024306888e-07,7.17508103775799e-07,1.9800076529463695e-06
priorregion1_spot_4,2.0021016371174483e-05,2.0735852899633757e-06,2.8903221959808436e-06,0.00031826737540541217,0.001698438759194687,1.5417571663856506,0.019522687140852216,2.417660284042358,0.044059832021594046,1.0413272229925497e-05,6.009861249367533e-06,2.112568161294348e-07
priorregion1_spot_5,1.2965238965989556e-05,2.0379878151288722e-05,0.044263658672571184,0.43408859670162203,0.02131302170455456,1.0074086368083954,0.007509411009959877,1.3587121605873107,7.966365919855888e-05,2.5081711214625106e-07,1.1680875616093546e-06,1.681118901615264e-05
priorregion1_spot_6,5.8695583675216765e-06,3.448729316346544e-07,1.0062562114399044e-05,3.255389529499553e-07,6.649925740020991e-06,0.4448170721530914,0.13460373058915137,2.8836708664894104,0.00024873534421203657,1.7932048024249528e-07,1.216199255082984e-07,6.907278198298173e-08
priorregion1_spot_7,2.39317329686628e-07,1.3568630592430963e-07,1.6194014847314976e-06,6.009497504066986e-08,1.5878309689298933e-08,0.0005338558519724756,1.3707227390113986e-05,1.2363933205604554,1.8237472067994533e-05,1.539752140899964e-07,2.9395048706248873e-08,1.2278959729883358e-06
priorregion1_spot_8,0.02339938236400485,4.804302946581629e-07,0.04062936566770077,2.633257039974524e-07,0.0002073576826660428,1.8305636227130888,0.001611095212865621,0.21315349042415618,1.8250448192702606e-05,1.398366556770725e-07,1.1544196745205682e-07,6.118518228959148e-07
priorregion1_spot_9,0.00022283823636826128,5.593609921561438e-06,1.206783931593236e-05,8.81433123822717e-07,0.00019015082507394256,1.7535252511501311,0.05524445436894893,1.4204983353614806,0.12828864827752112,1.5339979881900944e-07,5.07855313003347e-07,3.8710252425744335e-07
priorregion1_spot_10,0.008404767140746117,8.106468442292681e-07,3.0104036682132577e-06,1.4234121124445664e-06,0.04346137698739767,1.5880397260189056,0.2704986795783043,1.0610367059707642,0.0007011106848949567,3.0830406649329235e-05,1.1050302191506489e-06,8.164285048906096e-07
priorregion1_spot_11,8.277336206674591e-07,5.703106040755302e-07,1.630547403692617e-05,2.900382069128682e-05,0.015334288217127323,0.4440595373511314,0.05970913413912057,0.34099141061306004,6.420820204766642e-06,4.804066648489425e-07,6.306007344392128e-05,1.3089439434565975e-07
priorregion1_spot_12,9.052594577951824e-06,9.290253018434669e-07,0.03261351119726896,0.2444022938609123,1.5691643170612225e-06,0.6406434804201125,0.0031517056049779058,1.2521231293678283,5.263568823465903e-06,3.9579920212418075e-07,1.4338813514314102e-07,4.792350300704129e-05
priorregion1_spot_13,0.0001269652013434097,9.749405353431938e-06,1.1964355962845731e-05,8.406701965668617e-07,0.00022506488458020612,0.9057605624198913,0.004636049107648432,3.8469496846199034,7.361296193266755e-05,1.565457728247566e-05,1.0337578942198888e-05,9.363163471221015e-08
