	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	6.24088e-08	6.0356214e-08	3.3548556e-08	2.5922274e-08	2.7695748e-07	0.46418762	0.00010435389	0.53570384	3.6388324e-06	1.4203741e-08	3.100921e-08	4.415877e-08
priorregion1_spot_2	6.6848195e-08	2.77706e-07	3.6238653e-08	3.4614274e-08	4.4029352e-07	0.47065392	0.06815134	0.46118087	1.2808241e-05	2.6309198e-08	1.1119491e-07	1.12503265e-07
priorregion1_spot_3	3.0912005e-08	4.9114963e-08	6.0678865e-08	2.1386684e-08	1.7307289e-07	0.35901022	0.011756225	0.6292289	4.3051577e-06	2.389605e-08	3.3460964e-08	3.4461614e-08
priorregion1_spot_4	4.3050687e-08	6.361422e-08	3.378729e-08	6.474198e-05	2.7261737e-07	0.2079276	5.5292894e-05	0.7910105	0.00094118237	8.1324124e-08	6.7123125e-08	4.7715773e-08
priorregion1_spot_5	3.722258e-08	0.00026817175	0.006156316	0.118100025	1.897687e-07	0.21026546	6.478439e-07	0.6652071	1.8667607e-06	1.678114e-08	3.3319022e-08	5.9208865e-08
priorregion1_spot_6	3.2473952e-08	5.2371213e-08	5.0499438e-08	1.6320733e-08	8.290262e-08	0.042297635	0.027978448	0.92675424	0.0029693968	3.881746e-08	3.00478e-08	3.7263774e-08
priorregion1_spot_7	2.6849152e-08	2.856224e-08	6.189e-08	2.6747513e-08	7.367124e-08	5.8531217e-08	1.9009146e-07	0.99014276	0.008430298	3.0561267e-08	2.7002015e-08	0.0014265864
priorregion1_spot_8	0.005714681	1.1540034e-07	0.024808975	6.106671e-08	3.1256192e-07	0.7696332	6.36245e-07	0.1998411	1.8612245e-07	2.9046038e-08	3.092964e-08	6.638034e-07
priorregion1_spot_9	4.2708564e-08	8.5706425e-08	4.816702e-08	2.2379735e-08	2.471456e-07	0.3195531	0.020269835	0.6389061	0.02127046	2.3347223e-08	4.0667775e-08	3.5034667e-08
priorregion1_spot_10	0.0009339625	1.1056609e-07	4.4319155e-08	1.3325128e-07	3.8045013e-07	0.36924815	0.10609999	0.52365816	5.8621932e-05	3.7072533e-07	4.6755787e-08	1.7010989e-07
priorregion1_spot_11	7.008388e-08	6.354072e-08	4.903275e-07	0.0027764495	1.3811366e-06	0.33834678	0.10289367	0.55598027	5.628796e-07	2.2754097e-08	6.379172e-08	2.2535617e-07
priorregion1_spot_12	2.5055112e-08	9.294167e-08	0.019131454	0.08245806	7.453509e-08	0.1312261	6.082935e-07	0.7671831	2.9809075e-07	1.8677431e-08	4.4483787e-08	3.9984805e-08
priorregion1_spot_13	3.579547e-08	1.0336087e-07	3.4302982e-08	1.1064927e-08	2.1318519e-07	0.07938765	1.01173755e-05	0.86425614	0.056345616	3.551166e-08	2.6382502e-08	3.319326e-08
priorregion1_spot_14	6.607839e-08	9.712986e-08	0.0005197638	2.6009175e-08	3.1366204e-07	0.3407291	0.0025906882	0.65615004	9.477685e-06	2.3799271e-07	6.295721e-08	4.3510813e-08
priorregion1_spot_15	2.7025157e-08	4.499625e-08	1.2554836e-08	5.3130833e-09	1.4253025e-07	0.17513284	0.10919458	0.71567214	1.6679647e-07	1.1440253e-08	1.9405498e-08	1.9258191e-08
priorregion1_spot_16	0.0012566491	1.8316148e-07	7.134901e-08	4.5109616e-08	1.6013136e-07	0.08195991	0.0009692869	0.91581136	2.2011825e-06	2.8265454e-08	4.2883812e-08	3.973476e-08
priorregion1_spot_17	1.235953e-07	0.00062042515	2.4039737e-08	1.8349903e-08	1.2657526e-07	0.18141662	2.0629834e-07	0.81788474	7.7672e-05	1.7512157e-08	3.434167e-08	4.1434287e-08
priorregion1_spot_18	5.2354615e-08	4.997238e-08	1.1566802e-07	3.3980783e-08	2.0211836e-07	0.3664878	1.5788137e-06	0.6335088	1.3254861e-06	1.9926324e-08	2.982352e-08	3.1693457e-08
priorregion1_spot_19	0.023256933	3.122997e-06	0.0005619102	5.4269822e-08	1.4572316e-07	2.1928295e-07	0.017488519	0.95199305	3.8996372e-06	3.5581245e-08	6.912e-08	0.0066920933
priorregion1_spot_20	3.373361e-08	3.542308e-08	3.093915e-08	1.1045015e-08	1.986434e-07	0.4393213	3.393145e-07	0.56067735	6.3600305e-07	2.0956442e-08	3.1300416e-08	3.159284e-08
priorregion1_spot_21	3.884646e-08	5.4347e-08	0.0007769264	5.98407e-08	1.0383884e-06	0.14372371	3.1967265e-06	0.76570225	0.089792624	2.2195639e-08	3.929016e-08	4.3187022e-08
priorregion1_spot_22	6.099882e-08	7.327478e-08	2.7435314e-08	1.7457548e-08	3.8064317e-07	0.19539583	0.072266445	0.732298	3.8923838e-05	3.1821017e-08	4.5377945e-08	5.0239468e-08
priorregion1_spot_23	1.8174005e-08	1.36758915e-08	1.8049898e-08	9.929489e-09	9.119875e-08	6.175519e-08	7.3515736e-08	0.990994	0.009005702	9.634249e-09	2.0002581e-08	3.413412e-08
priorregion1_spot_24	3.4780513e-08	3.642325e-08	3.166123e-08	2.0821817e-08	3.3329363e-07	0.35322258	2.4359176e-07	0.64534295	0.0014335994	2.4959881e-08	4.005029e-08	4.9699537e-08
priorregion1_spot_25	0.00346886	1.4272263e-07	2.2725883e-08	1.3474785e-08	8.0135884e-08	0.10980979	1.7847786e-07	0.88656	0.00016088494	1.9161899e-08	3.7036784e-08	3.6538466e-08
priorregion1_spot_26	5.446954e-08	1.08573495e-07	0.054836728	0.09085564	1.3483779e-07	0.15508708	2.1771282e-07	0.69921374	5.9837685e-06	7.692295e-08	5.680959e-08	6.34309e-08
priorregion1_spot_27	4.220187e-08	8.580725e-08	0.0055312333	0.04662657	2.869504e-07	0.054259423	1.594998e-07	0.89328194	0.0003000597	3.2496672e-08	4.819317e-08	1.4133865e-07
priorregion1_spot_28	0.0010520665	3.243934e-07	0.0017014593	2.1159197e-08	1.4548588e-07	0.009763338	1.2788169e-07	0.94337696	0.044105466	1.8777431e-08	2.8578993e-08	4.9626653e-08
priorregion1_spot_29	1.1947971e-07	2.482279e-06	2.2758272e-08	1.276251e-08	1.607136e-07	0.1122594	0.049286775	0.79824924	0.040201563	3.1059464e-08	3.803447e-08	5.811288e-08
priorregion1_spot_30	0.00074877864	9.5367845e-08	4.439334e-08	3.236464e-08	1.4820003e-07	0.0718336	3.2017704e-07	0.9273816	3.5362424e-05	2.5848403e-08	3.691042e-08	4.6916522e-08
priorregion1_spot_31	0.00079974433	1.5884663e-07	4.434316e-08	2.0054769e-08	2.8282804e-07	0.1611096	0.009429348	0.78669965	0.04196096	5.4332748e-08	4.041553e-08	5.9734596e-08
priorregion1_spot_32	5.1560182e-08	4.595946e-08	1.3185918e-07	1.3346771e-07	1.6933325e-07	0.25159848	1.13004835e-05	0.7483879	1.5940125e-06	2.3296714e-08	7.6576995e-08	6.236419e-08
priorregion1_spot_33	1.6443844e-06	2.739712e-07	0.011300885	0.1262749	3.093211e-07	0.112229906	2.047944e-07	0.750181	1.065653e-05	2.8252085e-08	6.749043e-08	7.6793675e-08
priorregion1_spot_34	4.4561766e-08	1.02828096e-07	8.0729365e-08	1.93501e-08	7.573118e-08	1.0816684e-07	0.02694264	0.9690938	4.4433996e-06	2.7807704e-07	0.003958293	5.6295566e-08
priorregion1_spot_35	3.5224403e-08	4.8709303e-08	6.411859e-07	1.0337896e-08	0.005514296	0.05055228	8.408002e-08	0.943917	1.5724549e-05	2.1603164e-08	2.3211228e-08	3.7683662e-08
priorregion1_spot_36	1.15299414e-07	7.641247e-08	2.7147076e-08	8.815399e-08	1.5702892e-06	0.14672169	5.1563313e-07	0.8523766	0.0008991956	3.0201964e-08	3.243864e-08	4.445474e-08
priorregion1_spot_37	6.411537e-08	7.357683e-08	2.7150332e-08	1.6435676e-08	1.557809e-07	0.3288518	0.1022252	0.568922	7.311132e-07	2.5112232e-08	2.7332344e-08	5.4237127e-08
priorregion1_spot_38	1.08971655e-07	1.12281256e-07	0.0022931837	0.07679456	2.1179453e-06	0.42080683	0.032998964	0.46655598	1.8587069e-05	3.0420065e-08	8.0018765e-08	0.00052951445
priorregion1_spot_39	2.5953621e-08	3.5454597e-08	4.840477e-08	1.1709931e-08	2.0240813e-07	0.45596665	0.22331241	0.32071987	7.1560083e-07	1.6455635e-08	3.5246117e-08	3.1392233e-08
priorregion1_spot_40	6.97748e-05	5.461043e-07	8.635068e-08	0.0007814675	0.1246594	0.17959923	0.010913777	0.68397194	3.6792128e-06	2.166094e-08	2.7608326e-08	5.2808403e-08
priorregion1_spot_41	5.017825e-08	4.691236e-08	1.3660181e-07	2.4150108e-08	6.734842e-07	0.21678756	0.0072367806	0.766397	0.009575332	1.4958246e-08	3.153328e-08	2.3547861e-06
priorregion1_spot_42	3.8667075e-08	1.6364957e-07	0.0029959127	0.07841993	0.0014381036	2.9034922e-07	2.3032345e-07	0.91397095	0.0031742214	3.2312187e-08	3.4715473e-08	5.422576e-08
priorregion1_spot_43	4.3120153e-08	8.648763e-08	0.01134867	0.16133244	9.2634644e-07	0.097661704	5.1776607e-07	0.7296439	1.0415485e-05	3.7235775e-08	6.8320425e-08	1.1554416e-06
priorregion1_spot_44	5.4897413e-08	8.23668e-08	3.2753057e-08	2.5353877e-08	5.34627e-07	0.55684406	0.089188695	0.3376741	0.016292293	3.207508e-08	3.6506894e-08	4.5300364e-08
priorregion1_spot_45	1.8711957e-07	2.1123677e-07	0.00013738686	0.00171724	2.3144712e-07	0.19928548	0.0025966598	0.7644298	0.031832635	3.875189e-08	9.155562e-08	1.01023744e-07
priorregion1_spot_46	6.81102e-08	2.2576272e-05	9.104995e-06	8.4002645e-09	2.915723e-07	0.46236983	5.073382e-07	0.537244	2.1561837e-07	0.00035328267	5.1370204e-08	6.6088184e-08
priorregion1_spot_47	3.4744332e-07	0.0028844422	1.6904296e-07	0.0038455194	2.4896588e-07	0.43993467	1.4563618e-06	0.5527851	2.515213e-07	0.0005475534	1.6142705e-07	3.2463344e-08
priorregion1_spot_48	5.2240107e-08	6.9184495e-08	7.967561e-08	3.915135e-08	3.210277e-07	0.34382042	0.07653037	0.57963383	1.4769398e-05	4.3499846e-08	3.0749206e-08	3.9318493e-08
priorregion1_spot_49	2.8811684e-08	8.197121e-08	0.010636889	0.04030735	8.7080304e-07	0.1259974	3.069165e-07	0.82304317	1.394309e-05	1.8611003e-08	2.6078636e-08	3.1664385e-08
priorregion1_spot_50	3.6304126e-08	5.8496408e-08	0.005462934	0.07274625	0.14860237	5.610909e-06	0.005812723	0.7614664	0.0059032277	3.4999214e-08	5.636888e-08	2.5361186e-07
priorregion1_spot_51	0.0017193092	7.74807e-08	7.3701635e-08	2.2714083e-08	3.4233113e-07	0.21535788	1.0786516e-07	0.7829205	1.379449e-06	4.690838e-08	4.787933e-08	7.591466e-08
priorregion1_spot_52	1.1262006e-07	9.1804694e-08	0.0035328798	2.849465e-08	5.3569136e-07	0.69270724	0.041230995	0.26252747	3.9926485e-07	3.463447e-08	6.656818e-08	2.1148584e-07
priorregion1_spot_53	6.6520606e-08	3.5317967e-07	0.0014369033	5.5362966e-07	1.8224965e-07	0.08838924	0.021001263	0.8891383	3.264967e-05	2.3768024e-08	4.382844e-08	4.6979562e-07
priorregion1_spot_54	2.325391e-08	3.5965844e-08	0.00056829606	9.77501e-09	4.7947367e-08	4.678761e-08	1.0276936e-07	0.9994225	8.86156e-06	5.2616045e-08	1.8886773e-08	3.4023998e-08
priorregion1_spot_55	0.0060444586	6.99209e-08	1.8418869e-07	1.2387231e-07	1.2263839e-06	0.79723763	0.08813565	0.10857837	6.046718e-07	2.7807994e-08	9.518019e-08	1.5637687e-06
