	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	4.4892165e-08	4.750432e-08	0.5051992	2.6435362e-05	9.317029e-07	0.25270432	1.6007908e-07	0.2420685	1.3653046e-07	2.987554e-08	9.124936e-08	1.2069317e-07
priorregion1_spot_2	2.3266956e-08	4.0956586e-08	0.2735897	1.9592665e-07	2.2113265e-06	0.37478122	0.029152447	0.322474	1.5033292e-07	1.0091381e-08	1.9703359e-08	2.4812486e-08
priorregion1_spot_3	0.00798452	6.907196e-08	0.33542028	4.5151228e-07	2.5346023e-07	0.51809084	0.13376872	3.2056434e-08	0.0047346842	2.4880984e-08	8.140488e-08	5.4589904e-08
priorregion1_spot_4	5.4833194e-08	1.2250229e-07	0.3267125	2.380187e-07	3.917255e-05	0.6731343	7.382615e-05	3.9353705e-05	1.7546174e-07	3.287672e-08	6.684628e-08	6.2516406e-08
priorregion1_spot_5	4.1843776e-08	4.297142e-08	0.49217662	7.753233e-07	1.343373e-06	0.30331773	8.4727805e-07	0.20450212	1.9351577e-07	2.2669843e-08	3.1634792e-07	5.419434e-08
priorregion1_spot_6	6.82091e-08	6.253142e-08	0.3809973	1.062948e-05	8.891557e-06	0.3586951	3.7395546e-07	0.26028696	2.529835e-07	2.7741757e-08	2.253131e-07	1.3250003e-07
priorregion1_spot_7	5.154984e-08	1.0206752e-07	0.10332355	8.675157e-08	1.9916639e-05	0.6340278	0.06602707	0.19366325	3.4151637e-07	2.271725e-08	0.0029377781	5.6820532e-08
priorregion1_spot_8	3.937775e-08	6.3730134e-08	0.5030075	0.0121372305	0.07511896	0.40973258	3.2351436e-06	9.3485205e-08	1.1804725e-07	1.785553e-08	4.822126e-08	5.1579956e-08
priorregion1_spot_9	6.159431e-08	4.044283e-08	0.36533195	2.7248691e-07	0.023490647	0.2527068	1.13535165e-07	0.3584698	1.7619584e-07	5.72961e-08	3.527279e-08	8.0941724e-08
priorregion1_spot_10	4.9539462e-08	4.5817963e-08	0.2198458	1.8637215e-07	0.054618936	0.5902675	1.0230949e-06	0.13526611	1.1193002e-07	1.5833614e-08	5.642478e-08	9.348262e-08
priorregion1_spot_11	7.4095134e-08	6.1997646e-08	0.34094378	3.497516e-07	4.771945e-07	0.22557844	0.09260698	0.3040363	0.036832683	4.1775856e-08	1.9931015e-07	5.8727886e-07
priorregion1_spot_12	1.6697733e-08	3.645817e-08	0.6047004	7.869242e-07	0.104225375	0.29076675	3.7773196e-07	0.0003061482	5.7640484e-08	1.0440381e-08	4.0361364e-08	2.4696245e-08
priorregion1_spot_13	1.7647636e-08	5.053413e-08	0.9958582	2.8744814e-06	3.1727136e-08	3.9525105e-08	1.5273571e-07	0.004138605	5.2617136e-08	1.8690619e-08	4.2916167e-08	3.837834e-08
priorregion1_spot_14	2.7222988e-08	5.8998683e-08	0.6489853	6.889368e-06	3.0309106e-08	3.0005975e-08	1.2817453e-07	0.33349776	0.017509438	7.761387e-08	4.909395e-08	6.578225e-08
priorregion1_spot_15	0.0018567955	1.8586795e-07	0.37023664	3.2290131e-07	0.06707366	0.47681338	1.7370043e-05	0.0584193	0.02127187	9.153637e-08	8.373261e-08	0.0043102168
priorregion1_spot_16	1.19164014e-07	8.405777e-08	0.32325584	0.0028498662	0.017267369	0.41239008	0.24423598	4.434067e-08	4.3353202e-07	4.123773e-08	7.393285e-08	7.45858e-08
priorregion1_spot_17	4.1983448e-08	3.3701337e-08	0.6578828	0.0077175186	2.8831424e-08	2.3400611e-08	8.2922105e-07	0.32195985	8.165776e-08	2.9730128e-08	1.2570179e-07	0.012438631
priorregion1_spot_18	7.8050995e-08	8.6189864e-08	0.3070935	1.8740376e-06	1.769084e-07	0.10142543	1.014531e-07	0.59147835	2.43311e-07	3.1556954e-08	5.134528e-08	6.720084e-08
priorregion1_spot_19	5.0378276e-07	2.4910338e-07	0.26266983	4.426762e-07	0.07120431	0.61559355	8.582609e-06	0.05052202	3.0642815e-07	4.6208058e-08	6.204708e-08	1.03455726e-07
priorregion1_spot_20	4.738845e-08	4.3908567e-08	0.7038479	0.027084645	4.2085878e-07	0.26078802	3.9482205e-07	2.0352739e-07	8.2272365e-08	3.9221913e-08	0.008278176	1.02300746e-07
priorregion1_spot_21	1.7347978e-07	4.9799183e-08	0.13177858	2.262204e-06	0.039694864	0.28687552	2.8223445e-07	0.54164714	9.942764e-07	2.1392333e-08	5.7783563e-08	9.017948e-08
priorregion1_spot_22	1.032357e-07	6.1863165e-07	0.48520947	0.0027794864	5.4755358e-08	4.024706e-08	6.480471e-08	0.5120098	2.4779663e-07	3.1499113e-08	9.779049e-08	9.560275e-08
priorregion1_spot_23	0.004329791	0.001437284	0.32673135	1.7481759e-07	0.07889497	0.41714966	0.17145626	2.9518214e-08	1.04197255e-07	4.9563422e-08	3.2037727e-07	4.6736258e-08
priorregion1_spot_24	6.248451e-08	4.393259e-08	0.22097243	2.746536e-07	3.009264e-07	0.16546212	1.7636002e-07	0.6130673	0.00012579667	0.00037064427	7.5695647e-07	4.5958256e-08
priorregion1_spot_25	3.0896878e-08	2.9314405e-08	0.99999815	1.6085826e-06	1.5893663e-08	2.9333759e-08	8.238207e-08	1.9589532e-08	2.6433096e-08	1.4512407e-08	4.029012e-08	6.542923e-08
priorregion1_spot_26	4.9943832e-08	4.203582e-08	0.5394753	0.017965283	9.009254e-06	0.1877308	1.1506583e-07	0.25481895	3.4038916e-07	2.2477318e-08	3.385405e-08	5.0654965e-08
priorregion1_spot_27	3.003487e-08	4.7701718e-08	0.30340552	2.2540783e-07	4.4910024e-08	6.254288e-08	2.0477613e-07	0.6965935	1.6834174e-07	2.4135543e-08	6.2500725e-08	4.8479674e-08
priorregion1_spot_28	5.6406254e-08	5.8789404e-08	0.15812424	2.7408217e-07	0.019922644	0.117692485	0.045855924	0.65839785	6.3537923e-06	2.4037917e-08	7.510753e-08	6.001675e-08
priorregion1_spot_29	1.5777516e-07	2.1177264e-08	0.6375386	9.617522e-07	2.2500423e-08	3.4744826e-08	5.2586874e-08	0.36245984	2.3895487e-07	1.6500014e-08	5.7596463e-08	7.445051e-08
