	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	7.04093e-08	2.4285592e-07	1.0370101e-07	5.7235916e-08	6.065012e-07	0.73020256	0.053853348	2.8816004e-07	3.0905295e-07	0.21594183	4.6478013e-07	2.6323468e-07
priorregion1_spot_2	4.4659988e-08	7.5890046e-07	4.376041e-08	3.248584e-08	4.6740595e-07	0.26187912	1.7827834e-07	0.0053824764	0.11070657	0.62192297	0.00010495166	2.4585e-06
priorregion1_spot_3	2.3794497e-07	7.9055746e-07	2.5151274e-07	1.2107563e-07	2.5194822e-07	2.9690992e-07	2.6686897e-07	3.8901632e-07	3.584925e-07	0.99999493	1.5624425e-06	5.929322e-07
priorregion1_spot_4	1.1949851e-07	3.2216911e-07	0.46020234	1.6968177e-06	3.7580415e-07	1.088343e-06	3.818849e-07	3.7119327e-07	0.18269771	0.35709268	1.9794468e-06	9.320864e-07
priorregion1_spot_5	8.302646e-08	7.0786666e-07	8.5324615e-08	7.8725236e-08	8.310519e-07	0.36045757	0.006300695	9.0394884e-08	1.865676e-07	0.63322645	1.2742765e-05	4.5364837e-07
priorregion1_spot_6	8.2142026e-07	0.0005248831	8.537593e-08	8.636122e-08	1.056086e-05	0.34282085	3.082201e-07	0.008564818	5.237427e-07	0.6415735	0.006502841	6.829173e-07
priorregion1_spot_7	6.4852124e-08	2.2010354e-07	8.393526e-08	6.443728e-08	1.14749454e-07	1.2129138e-07	1.4471222e-07	8.9811806e-08	1.1306636e-07	0.99999744	1.1918867e-06	3.7148502e-07
priorregion1_spot_8	6.9938274e-08	4.1553488e-07	0.23936595	0.022359174	1.2201777e-07	1.1530069e-07	1.8540325e-07	1.414829e-07	2.0008258e-07	0.7382241	4.748122e-05	2.0811276e-06
priorregion1_spot_9	7.3348325e-08	2.6867093e-07	0.19901572	0.002980102	8.181969e-07	0.15333208	0.1107053	2.8409322e-06	0.013888283	0.48181254	0.021551387	0.01671064
priorregion1_spot_10	5.3833936e-08	7.1200026e-07	6.083833e-08	5.8184213e-08	3.120084e-07	0.2648332	7.5464186e-07	2.3066427e-07	0.4290677	0.30609542	9.421019e-07	4.971811e-07
priorregion1_spot_11	1.4368384e-05	0.012756201	8.9505626e-08	9.123397e-08	4.4273957e-06	0.009646733	9.938956e-07	1.0256482e-06	0.33375752	0.63589144	0.00789904	2.806182e-05
priorregion1_spot_12	6.393725e-08	6.5491537e-07	1.0339256e-07	7.938755e-08	1.0853078e-07	1.1898755e-07	1.2139628e-07	1.2022481e-07	1.8380372e-07	0.99975115	0.00023982342	7.425964e-06
priorregion1_spot_13	5.039524e-08	2.0923164e-07	8.077508e-08	4.9421494e-08	6.952904e-07	0.5412865	0.10654085	1.162317e-07	1.6801586e-07	0.34936452	3.8911794e-06	0.0028028288
priorregion1_spot_14	5.081366e-07	0.010056792	7.482966e-08	6.199135e-08	6.0674955e-07	0.0051808413	5.9659607e-07	6.4355936e-07	0.22813438	0.7565391	8.4366366e-05	2.0552086e-06
priorregion1_spot_15	4.339121e-08	1.529075e-07	0.7627563	1.2139917e-06	6.896123e-08	1.0857806e-07	1.4812478e-07	1.0831536e-07	1.545822e-07	0.23723829	3.206288e-06	2.4688228e-07
priorregion1_spot_16	0.00070653163	6.062344e-07	0.20197637	0.0043986486	0.009765765	0.480681	1.1086929e-06	1.6088754e-07	2.3199212e-07	0.3024646	2.779836e-06	2.212682e-06
priorregion1_spot_17	3.3234844e-08	1.3717056e-07	8.8608914e-08	5.3000964e-08	0.016405862	0.62097484	2.3798489e-06	1.2596166e-07	1.8995595e-07	0.3626154	5.8834326e-07	2.7837e-07
priorregion1_spot_18	2.2238945e-07	0.002517013	0.19546685	0.001869116	4.126033e-07	0.13781235	4.1161292e-07	7.073138e-07	6.8251705e-07	0.6622821	4.666205e-05	3.5307635e-06
priorregion1_spot_19	1.01325284e-07	2.9782288e-07	1.4031839e-07	1.2019207e-07	1.0003694e-07	1.0758179e-07	1.4748737e-07	3.0695372e-07	2.1637904e-07	0.9999966	1.3252586e-06	4.9069024e-07
priorregion1_spot_20	1.8556567e-07	6.7451447e-07	2.1387524e-07	1.2464602e-07	4.6994515e-07	6.3241623e-07	1.653675e-06	3.2041282e-07	2.7907674e-07	0.9999937	1.3404083e-06	5.004496e-07
priorregion1_spot_21	8.058753e-08	3.5113734e-07	1.0804253e-07	8.8754476e-08	1.4800518e-07	2.3319582e-07	3.2071083e-07	1.3696955e-07	1.8314523e-07	0.9999876	9.57095e-06	1.2974228e-06
priorregion1_spot_22	1.4117039e-07	7.9301776e-07	0.17752142	6.160438e-07	9.940771e-07	0.16429989	9.352714e-07	4.4492148e-07	4.95637e-07	0.65036	0.0078055575	8.690505e-06
priorregion1_spot_23	9.4558814e-08	2.1724788e-06	8.603236e-08	7.122283e-08	9.179598e-08	1.4202404e-07	8.161134e-08	1.10774565e-07	1.8541682e-07	0.99999243	4.2471643e-06	3.2203104e-07
priorregion1_spot_24	5.673434e-08	2.1601868e-07	0.5202544	1.6404807e-06	1.4732963e-07	1.6101711e-07	8.628619e-07	0.010786115	1.1398723e-06	0.46424866	0.00470597	6.233586e-07
priorregion1_spot_25	0.009171388	0.0070291287	7.7836646e-08	9.394674e-08	6.4470464e-07	0.43369317	0.04590367	1.7697772e-07	0.22878227	0.20346911	0.041431278	0.030518975
priorregion1_spot_26	4.0429022e-08	2.560294e-07	3.7533315e-08	2.6750417e-08	5.053494e-07	0.71041137	2.0519862e-07	5.8566638e-08	9.1219e-08	0.2895869	3.9276912e-07	1.558e-07
priorregion1_spot_27	1.4819186e-07	3.887546e-07	2.8682692e-07	3.046273e-07	2.0243169e-07	2.0674699e-07	4.3976718e-07	2.4284492e-07	3.1459402e-07	0.98857445	1.2699152e-05	0.011410363
priorregion1_spot_28	7.814355e-08	3.846316e-07	1.353374e-07	9.445442e-08	1.6384774e-07	1.2403568e-07	1.4253948e-07	1.8144307e-07	2.566237e-07	0.99998796	9.608384e-06	8.798185e-07
priorregion1_spot_29	6.23873e-08	3.1203498e-07	1.09515156e-07	9.380591e-08	9.855246e-08	9.97677e-08	1.5392884e-07	9.330948e-08	1.5991597e-07	0.99995214	3.7012043e-05	9.667833e-06
priorregion1_spot_30	7.997909e-08	2.2466688e-07	1.03256475e-07	5.792412e-08	9.886538e-08	1.1532973e-07	1.0840057e-07	1.0258561e-07	1.545551e-07	0.9999976	1.0086612e-06	3.801651e-07
priorregion1_spot_31	4.24026e-08	2.3315351e-07	5.624141e-08	3.0744268e-08	2.8313937e-07	0.33002684	5.854038e-07	0.0067389593	0.34111002	0.3221222	4.3341535e-07	3.3392482e-07
priorregion1_spot_32	3.324594e-08	8.844375e-08	0.36507565	0.0015171302	3.0453944e-07	0.28927734	6.26998e-07	0.006154171	3.7639637e-07	0.32817993	8.3997037e-07	0.00979344
priorregion1_spot_33	6.932579e-08	3.1431202e-07	0.21457665	1.0870435e-06	8.439429e-07	0.44105604	0.11343572	1.98276e-07	7.5416375e-07	0.19512832	0.017633962	0.018165857
priorregion1_spot_34	7.323074e-08	6.24378e-07	0.14955902	4.1691166e-07	2.5798465e-07	0.117003545	0.023163682	1.5139767e-07	2.8227012e-07	0.68883127	0.02143786	2.8301276e-06
priorregion1_spot_35	1.0119718e-07	3.5080242e-07	1.4374655e-07	8.264368e-08	1.524118e-07	1.1418969e-07	1.7298156e-07	2.3524699e-07	2.347667e-07	0.9999965	1.4687137e-06	4.3961526e-07
priorregion1_spot_36	6.699952e-08	6.6483364e-07	8.128726e-08	6.861171e-08	2.219064e-06	0.20329653	0.0900261	4.6879097e-07	0.21403307	0.49257025	6.878931e-05	1.6415432e-06
priorregion1_spot_37	1.3256286e-07	3.9760903e-07	1.4265358e-07	9.600388e-08	1.9701798e-07	1.9850319e-07	1.9517425e-07	1.5554399e-07	2.7792873e-07	0.9999961	1.5860329e-06	5.430687e-07
priorregion1_spot_38	9.039802e-08	6.4421755e-07	1.17258494e-07	7.903728e-08	1.2065193e-07	1.433488e-07	9.376627e-08	1.304772e-07	1.7532648e-07	0.9999928	5.180446e-06	5.023748e-07
