,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,1.5386722282073607e-06,1.716270672247333e-08,4.4981302664837137e-07,1.2450236326344567e-07,9.027252856341763e-09,7.190996242911753e-08,1.6407984944066813e-07,8.688773878162692e-09,1.2273124418982207e-07,0.0006383755768183619,0.0045139765134081244,1.54915212392807
priorregion1_spot_2,5.974973959155251e-07,3.7866509750017496e-08,3.0151261256605725e-07,1.1679724920554692e-07,7.925841138956005e-09,6.991738636941136e-08,3.083333197650973e-07,3.15853839083502e-08,2.0074222533139622e-07,2.3019814489089185e-05,5.636530186166055e-05,1.499799907207489
priorregion1_spot_3,1.6459715155292545e-07,6.157062970579832e-09,6.476877665306804e-08,8.926955530341729e-08,1.7986060751873368e-09,6.238353975618339e-08,8.921552172580504e-08,2.0532376243664883e-09,3.136905881717667e-08,1.8269021637706828e-07,3.5563462347454334e-06,0.8462741702795029
priorregion1_spot_4,1.1712391540186219e-06,3.8537058344445546e-08,5.128430586864852e-07,2.1103605689631878e-07,1.0084069002047614e-08,9.886556746607768e-08,2.496909445426354e-07,4.7306761707943687e-08,2.9016437963491626e-07,1.4619894091083554e-05,6.564842515217606e-05,2.1449789285659793
priorregion1_spot_5,0.31591567248106006,4.2768981813878785e-07,4.237435490495046e-07,1.922429353484745e-08,3.319210986063581e-08,1.9364171848224036e-07,4.2697593869434066e-07,1.2338291144331492e-08,2.724164943401774e-07,1.1208017042463326e-06,1.1841201967399684e-05,0.8474033594131469
priorregion1_spot_6,1.3868437491737494e-07,4.163679423463407e-09,2.7687803960674275e-08,5.733409658148503e-09,1.4670558057261475e-08,3.9858335298959e-08,3.899972575993616e-08,3.913966706292627e-09,9.138204681846673e-08,5.235988815854853e-08,6.81700745985836e-07,0.390838985145092
priorregion1_spot_7,2.3694189152934089e-07,5.782671297360764e-09,2.1412864086300943e-07,1.4457397412570574e-07,1.5044700596433816e-08,4.992032600625862e-08,1.1704316840166485e-07,3.900062606199129e-09,8.12578637265915e-08,5.062939834488134e-07,7.3572452720327424e-06,1.1084372222423553
priorregion1_spot_8,0.3249902993440628,4.018731218025096e-07,1.9713482117822424e-07,2.5173220024043986e-07,4.038065881672992e-08,4.4022335856652715e-07,4.985902393173092e-07,1.1671339006369408e-08,2.9168079151986603e-07,1.6489764391280917e-06,3.226525568607031e-05,1.551358014345169
priorregion1_spot_9,7.919718314042256e-07,1.421863071726648e-08,2.1399114231712706e-07,1.316928212702351e-07,5.462402619116346e-09,3.558653141055857e-08,5.10234599460091e-08,8.3600510514259e-09,4.1402149264513355e-08,1.0171613382681244e-06,6.429364862015064e-06,1.1433659136295318
priorregion1_spot_10,3.006925297199814e-07,2.8587102240962287e-09,7.078396322413028e-08,3.413728073553557e-08,8.357234460021346e-09,2.429755747712648e-08,1.07912373081831e-07,1.5689927745921038e-09,6.195645099182912e-08,2.745509064538965e-07,9.391940920977507e-07,0.47939366251230237
priorregion1_spot_11,1.1448139866843121e-05,9.118074217440153e-07,0.1309239834547043,1.2142545700073242,2.5832762275967983e-07,5.355547477847722e-06,4.864098855250632e-06,7.372109024572638e-07,4.728448129753816e-06,0.00017788910990930163,0.1669716730713844,2.5331118822097776
priorregion1_spot_12,0.3538161873817444,1.7814030115914647e-06,6.299452849134468e-07,5.29090510781316e-07,5.491492753861849e-08,3.9343060933560995e-07,6.617144066467518e-07,7.289254924103262e-08,2.646517941684579e-07,0.00013051394125795923,0.00031772131769685074,2.053931450843811
priorregion1_spot_13,1.747943440477684e-06,1.4123493059514657e-07,1.3435944367756745e-06,4.757746424388644e-07,2.3062609066926145e-08,4.0301157469002644e-07,5.293313961374224e-07,1.1323736295310029e-07,6.544478054593127e-07,2.6964369772031206e-05,0.00017467151919845492,2.1279215216636658
priorregion1_spot_14,0.00019825034905807118,6.265213028200378e-06,0.04787946101278067,0.4311574846506119,1.837018689911929e-05,0.6623483777046203,0.0017911219911184162,6.19879597252293e-06,4.159446561970981e-05,0.0015219625202007592,0.21386001110076905,3.9598863244056703
priorregion1_spot_15,5.903787496208679e-07,6.828555179083651e-08,4.2642217579214053e-07,2.965140467381389e-07,1.1972813851457431e-08,1.514428284110636e-07,1.3623329380152428e-07,3.7395866492317965e-08,2.431114140222235e-07,3.990024342783727e-05,0.00022484843793790787,1.75111340880394
priorregion1_spot_16,4.5687586549547635e-07,1.4796111047488126e-08,1.335785604794637e-07,1.7254696782487144e-08,3.207851353437263e-08,1.0830076142553935e-07,2.2890807613862307e-07,4.874018699752014e-09,9.031145928872775e-08,2.89799116615086e-07,3.42046113246397e-06,0.9423917353153228
priorregion1_spot_17,0.3290356621146202,1.9865966919496715e-06,3.7023300478722376e-06,1.6775974472693632e-06,7.048401897691293e-08,5.050323267141721e-07,8.035752813384533e-07,1.3328283685609679e-07,9.132413282486596e-07,0.001661890809191391,0.008899612398818136,2.4290771722793583
priorregion1_spot_18,9.714792713566567e-06,9.135366809687184e-07,1.4072914427742945e-05,3.564014627954748e-06,6.366160327786474e-08,1.9060517445268487e-06,2.3483904442400672e-06,2.9802942123069445e-07,1.7114866125211849e-06,0.002727090718690306,0.02076807916164398,3.95929833650589
priorregion1_spot_19,1.4338854953166448e-06,8.021710726779929e-08,4.681624602653756e-07,3.84713354151245e-07,1.2356976686334065e-08,2.686334269696999e-07,3.697057721296915e-07,6.498668980725597e-08,3.6816504547232407e-07,2.8377594571793455e-05,0.0003537244920153171,2.1070437788963314
priorregion1_spot_20,4.4349376935315384e-07,2.1148206919008316e-08,9.752133166784916e-07,1.302971234906636e-07,8.840974707879922e-09,8.353507645608716e-08,5.194405616748555e-07,9.210881701804396e-09,1.0966862795669385e-07,8.488735602441012e-07,7.416038442897843e-06,1.0474447369575501
priorregion1_spot_21,0.31961572319269177,3.760483096471035e-07,2.8762177350927237e-07,3.451398615794687e-08,5.8494641308470814e-08,2.5150169307153193e-07,2.441966969968235e-07,2.0484203311355036e-08,9.995033671827968e-08,2.664717521838611e-06,7.516773985116743e-06,0.8644836634397506
