	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	0.0040610153	0.13615206	9.492138e-08	7.311877e-08	9.175353e-07	0.72378767	0.13033219	0.0056646774	4.3486915e-07	6.2239184e-07	1.1129766e-07	2.0275931e-07
priorregion1_spot_2	3.3033648e-06	0.43259248	6.062586e-08	6.5345816e-08	1.0813216e-05	0.43005055	0.1373418	9.175139e-08	1.824355e-07	2.9590146e-07	1.1575181e-07	1.4206023e-07
priorregion1_spot_3	3.0392584e-07	0.17811276	5.034827e-08	2.6833034e-08	0.03278373	0.73754275	0.050512727	8.7150546e-08	2.0018545e-07	0.0010472183	5.7475223e-08	6.620403e-08
priorregion1_spot_4	5.538353e-07	0.5303512	1.5982843e-07	1.605328e-07	3.447137e-06	0.46964318	2.6972984e-07	1.16067476e-07	1.6103498e-07	3.7279804e-07	1.3478551e-07	1.8124214e-07
priorregion1_spot_5	1.871477e-06	0.24746796	0.0246856	1.5217292e-07	7.067806e-05	0.7277539	1.885171e-05	1.4243675e-07	2.683368e-07	1.9643737e-07	2.720106e-07	2.1646488e-07
priorregion1_spot_6	4.2211204e-07	0.39790222	6.262193e-08	4.2667068e-08	2.5929971e-06	0.6020749	2.3269797e-06	1.12798034e-07	1.9657791e-07	1.689658e-05	9.200224e-08	1.3027052e-07
priorregion1_spot_7	8.109652e-06	0.99970573	1.0383536e-07	1.390196e-07	2.2363945e-06	0.00012865383	4.1440012e-07	3.8740208e-07	4.726071e-07	0.00015305527	3.4513832e-07	3.9466175e-07
priorregion1_spot_8	6.4127003e-06	0.752518	1.6821423e-07	1.686513e-07	4.3168016e-06	0.2474619	4.688648e-07	2.182897e-07	4.1245136e-07	7.35217e-06	2.1955782e-07	3.5570056e-07
priorregion1_spot_9	2.2204433e-07	1.3352773e-07	0.03261079	4.8944173e-08	0.030353103	0.72958285	0.20745255	2.9819034e-08	1.1834071e-07	2.6770048e-08	9.904797e-08	4.860225e-08
priorregion1_spot_10	4.978887e-06	0.22755927	0.0146694165	8.903237e-08	1.7918723e-05	0.7577466	1.0401819e-06	1.00728485e-07	3.50961e-07	7.357253e-08	1.3349091e-07	1.5994767e-07
priorregion1_spot_11	0.011799417	0.43991753	0.09163194	1.6087209e-07	9.0989204e-07	0.45664868	4.7932923e-07	1.6095404e-07	2.2071545e-07	1.8812891e-07	1.0089807e-07	1.721011e-07
priorregion1_spot_12	5.3884323e-06	0.79308045	9.675103e-08	6.639032e-08	2.7589824e-06	0.20690992	2.9935646e-07	1.4507874e-07	1.8355905e-07	2.1662021e-07	1.6674373e-07	1.5721925e-07
priorregion1_spot_13	0.000105894454	0.9998926	6.3098085e-08	8.447268e-08	9.724708e-08	8.480499e-08	9.877896e-08	1.03382014e-07	1.2836405e-07	3.5397187e-07	2.2070458e-07	2.700192e-07
priorregion1_spot_14	2.8613707e-05	0.9999673	1.1406503e-07	1.0374229e-07	2.6296703e-07	1.3990915e-07	2.635417e-07	6.429863e-08	2.139747e-07	3.0804938e-07	3.1255777e-07	2.505533e-06
priorregion1_spot_15	5.505863e-07	0.3789083	0.01656699	1.1354724e-07	2.687237e-06	0.6045185	1.9044746e-06	1.9732721e-07	2.3447089e-07	1.5583068e-07	1.02858856e-07	1.8355793e-07
priorregion1_spot_16	1.8996724e-07	0.27541947	3.2660516e-08	3.465723e-08	3.1457832e-06	0.72457635	1.2757876e-07	6.5224725e-08	9.5930694e-08	3.5048305e-07	6.94803e-08	1.03970706e-07
priorregion1_spot_17	4.475782e-06	0.9999855	3.1806894e-07	1.6510725e-07	4.7866234e-07	6.802986e-06	7.1754835e-07	5.4269253e-07	2.5340944e-07	2.4190166e-07	3.0268873e-07	2.3789889e-07
priorregion1_spot_18	9.2586305e-07	0.36107507	0.007053844	7.2848096e-08	1.7596094e-05	0.6318475	4.0356235e-06	1.4075859e-07	2.8400805e-07	1.270118e-07	1.7487497e-07	1.2571489e-07
priorregion1_spot_19	6.7143237e-06	0.9761369	0.019494578	2.3886457e-07	1.2095196e-06	0.0043552127	4.9515177e-07	2.6675912e-06	2.9579456e-07	7.5823857e-07	5.241875e-07	3.9419376e-07
priorregion1_spot_20	0.010815882	0.018345691	6.666301e-08	4.1466627e-08	2.9701932e-05	0.85328436	0.11693391	6.817082e-08	1.1168957e-07	0.00058990775	5.4559177e-08	1.2216852e-07
priorregion1_spot_21	3.6607553e-06	0.39847687	0.011177277	8.866785e-08	1.1701723e-05	0.5020117	0.08831675	1.0202855e-06	3.2808614e-07	1.9294087e-07	2.688847e-07	1.3925174e-07
priorregion1_spot_22	8.709391e-08	0.04961328	1.5697687e-08	1.4763316e-08	1.5738218e-06	0.947517	8.0678205e-07	7.771541e-08	1.6150665e-07	0.0028668393	5.0147786e-08	6.665076e-08
priorregion1_spot_23	3.8574046e-07	0.46288627	1.1921763e-07	4.7938553e-08	1.3512329e-06	0.537109	2.2640543e-06	1.3563766e-07	1.196193e-07	9.595102e-08	1.190722e-07	9.6751904e-08
priorregion1_spot_24	5.3752103e-07	0.1251862	0.015057892	8.4606775e-08	4.108267e-05	0.8597093	4.102085e-06	7.188582e-08	1.9026047e-07	9.74749e-08	6.006788e-08	1.0108158e-07
priorregion1_spot_25	9.978294e-06	0.41606173	5.8378866e-08	6.477332e-08	3.9653887e-06	0.5797443	1.0098179e-06	0.0041767117	1.4758799e-06	2.9720746e-07	1.3992978e-07	1.6455996e-07
