,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.002698029368184507,3.000784715823102e-06,2.7324721031618537e-05,3.2622750154587273e-07,4.6210447908379135e-05,0.005351188802160323,0.0003088828394538723,1.077111917734146,3.549760091304779,0.3766851663589477,0.011674383468925952,0.0007663639349630103
priorregion1_spot_2,3.473376818874386e-05,9.527253013175142e-08,2.1166976807762693e-06,7.521400284815627e-08,1.2414478703703934e-06,6.841929098300171e-06,0.003220949787646532,1.0707701921463013,2.3746184349060058,5.6700741701831713e-08,2.3814046059555952e-07,5.799287823293753e-08
priorregion1_spot_3,0.010852972930297255,3.6547036984302394e-06,2.043846407104866e-05,1.4474042700385325e-06,3.651804454420926e-05,0.005938254971988499,0.11281371116638184,0.3848417103290558,2.7243241548538206,0.5829264461994171,0.30337342619895935,0.07187027297914028
priorregion1_spot_4,0.8792415976524353,8.147378457579181e-06,0.33144701570272445,5.439913934424112e-06,0.06454825662076473,0.006296729040332139,0.002897704381030053,2.367302417755127,6.040916919708252,9.192253855871968e-06,1.5247524379446987e-05,5.534881051971752e-06
priorregion1_spot_5,0.03636217601597309,7.4567599995134525e-06,1.2003995107079391e-05,1.2071828905391158e-06,0.005072617274709046,0.013597939908504487,0.06457519829273224,0.8709130883216858,5.8425709962844845,0.7333942890167237,0.0004310289237764664,5.594935773842735e-05
priorregion1_spot_6,0.00027428868488641454,7.93766997730927e-07,1.9225610742523714e-06,9.832319491920319e-08,0.11115352064371109,0.7547130554914474,0.00036435617948882287,2.0103649258613587,3.592650318145752,1.1079646719736047e-05,2.6500211674829187e-06,1.7858549426819085e-06
priorregion1_spot_7,0.17358592972159387,6.724965402327143e-07,0.01651024669408798,6.087329467163727e-07,0.04498215094208718,0.10485906712710857,0.07863466329872609,9.42573474276287e-06,0.6658063024282456,2.929776826476882e-07,1.0155618440421678e-06,8.965262878746216e-07
priorregion1_spot_8,0.011277967225760221,1.8185133754400342e-08,2.4913652652003292e-08,3.43452618567497e-09,0.4616611376404762,1.0308494567871094,5.865530893061077e-05,4.358851538199815e-06,0.020672398991882803,1.1981548420081369e-08,7.739036878007255e-09,4.225018823689197e-09
priorregion1_spot_9,0.002690173708833754,9.111929074379077e-07,6.949110661480518e-06,2.6935490637924886e-07,1.7707227107166547e-05,0.001204329339088872,0.1503110334277153,0.5690795451402664,4.479421138763428,6.278778869273084e-07,7.2143611987485204e-06,1.0460260341460526e-06
priorregion1_spot_10,0.06418536081910133,3.2658613349667577e-06,9.51478864408273e-06,1.426035731810771e-06,0.0024891195818781855,0.33826215416193006,0.22156435772776603,0.3017627507448197,3.8644586205482483,1.048155809257878e-06,8.605928769611637e-06,1.2313133538555121e-05
priorregion1_spot_11,8.249605998571497e-05,2.089409685268606e-08,7.848208127825274e-08,2.7102083599572785e-08,1.7665657765064682e-06,0.0007285576168214903,0.026980068627744914,8.033005087781932e-06,0.4526100620627403,1.2186145115222758e-08,6.40830887022048e-08,1.8163537784943177e-08
priorregion1_spot_12,0.09425592944025993,4.355555302026914e-06,4.0104526533468745e-06,4.978084206186396e-07,0.049021141976118086,0.17700890228152277,0.10105483494699001,0.23457297161221502,2.7859410285949706,0.7071485549211503,0.00014827208578935825,5.062301215730259e-06
priorregion1_spot_13,0.41952209174633026,5.733562875320786e-06,0.22982050552964212,4.595003133545106e-06,9.077152717509308e-05,0.0001588041581271682,0.00032542713452130554,2.3193763732910155,5.146837830543518,0.29283786267042156,0.0024007522501051427,1.1319220720906743e-05
priorregion1_spot_14,0.016113270912319424,2.9678252030862498e-05,0.0006992667447775603,1.2216590789648763e-06,0.0025223689735867083,0.025856161303818227,0.2778564631938934,0.5723686635494232,4.018170714378357,0.9332893550395965,0.0006600343389436603,0.018291558977216484
priorregion1_spot_15,0.06999381668865681,4.406410880619661e-06,4.1079264883592265e-05,2.0999225853302053e-06,0.008559645153582096,0.23984657302498819,0.2948470234870911,1.338416302204132,7.182772397994995,4.070096451869176e-06,6.077734087739373e-06,4.1400855934625724e-06
priorregion1_spot_16,0.03956993576139212,9.305665980718915e-06,0.0003891892003593967,2.1385516106420257e-06,0.041096987947821614,0.029006594233214857,0.10558718368411064,0.8336651980876922,5.278018021583557,0.49877431988716125,0.01215695505961776,9.025003737406224e-06
priorregion1_spot_17,0.003993856953456998,3.043358205445657e-08,9.354948282691566e-08,5.234329325531917e-08,0.5125991970300674,0.00039188008668133994,0.0036990026361308995,0.0022570223081856966,0.7539130538702011,2.6368444938640322e-08,4.305495675538395e-08,7.793453882243285e-08
priorregion1_spot_18,5.6876433700381315e-05,2.8655839230395945e-07,2.073461325835524e-06,1.6149353569971937e-07,2.0873691369160953e-06,9.433687910131994e-06,0.002797871746588499,1.127122002840042,4.521612763404846,2.0345352425010788e-07,5.838582865180797e-06,2.2011205231819987e-07
priorregion1_spot_19,0.00042112820228794594,1.5878494593835058e-06,8.176130086212651e-06,3.436703252646112e-07,4.9975578076555396e-05,0.001019146089674905,0.2585580229759216,0.34541324377059934,1.9589643418788911,0.5801035404205322,0.30076459497213365,0.03682775720953941
priorregion1_spot_20,2.827416738000466e-05,6.270762042959177e-08,3.5511138207766635e-07,3.4310292829076174e-08,2.410981423395242e-07,1.5844694360112045e-06,5.738409504374431e-06,0.8959985941648483,1.9366140723228455,1.414522223797121e-07,7.769425351966677e-08,3.106259161000935e-08
priorregion1_spot_21,0.057673235423862934,2.6738552151073235e-06,0.010081335157155992,1.840477875703073e-06,0.29142112135887144,0.14694646820425986,0.0200497105717659,0.6391290783882141,4.599134850502014,1.933134177534157e-06,9.705775210022695e-06,2.107148020513705e-06
priorregion1_spot_22,0.12460670657455922,1.0111344226970687e-05,1.8518679098633584e-06,3.8663577441866445e-07,0.03216879647225141,0.03875932712107897,0.08474460728466511,0.006009381730109453,2.0753018498420714,0.7507086455821992,1.4691499472974103e-05,8.398155341637902e-06
priorregion1_spot_23,0.06929752752184867,4.156766135565704e-06,2.1545362596953054e-05,2.788858296298713e-06,0.041480420716106886,0.5881788045167923,0.4086892828345299,0.6452020764350891,6.135302567481995,2.9728228128078626e-06,3.7251487810863185e-06,3.7446583064593143e-06
priorregion1_spot_24,0.01734837619587779,4.672043314712937e-06,0.00011698113339662087,4.50983989139786e-06,0.004599375231191516,0.0007884331891546026,0.0055373277282342315,2.2683897852897648,8.077769136428833,3.9442605839212774e-06,7.5516875995163e-06,2.9484717629202353e-06
priorregion1_spot_25,0.6461576282978058,1.9962813325946628e-06,0.3291377902030945,1.5787546828960331e-06,0.0004399830286274664,0.21789730787277223,0.005621761200018227,0.6921548962593079,3.341902732849121,7.541643242348074e-07,3.3415841244277544e-05,1.2434948757800159e-06
priorregion1_spot_26,0.05076541472226381,1.8253222094699596e-06,1.961609291356581e-06,6.876223665130965e-07,0.6304366916418075,1.894787186384201,0.23757133930921553,0.11731393411755561,1.3629967272281647,2.9560008982798543e-07,8.371330807221966e-07,9.548777882173453e-07
priorregion1_spot_27,0.015678780106827616,5.543203911884121e-07,3.251590374020452e-06,3.491627794005581e-07,0.00010587479955574964,0.040320420637726784,0.24691733643412592,0.02492632381618023,2.958684504032135,2.4925591191049534e-07,6.685062857059165e-07,1.1576203746699323e-06
priorregion1_spot_28,0.046366479806602,5.4213500710886825e-08,3.037772799530104e-07,4.310197194712373e-08,9.529704084343394e-06,0.0252381288446486,0.08812210261821747,3.5992668813378264e-06,0.3650278314948082,2.7735465568667913e-08,1.6558791671172912e-07,8.526633905603376e-08
priorregion1_spot_29,0.2001514583826065,1.1294399701000658e-05,4.614416302501923e-05,9.383323003930855e-06,0.006101105432026088,0.5792350739240646,0.7677981346845627,0.7824720144271851,6.989602446556091,7.54432530811755e-06,1.3934048683950096e-05,5.765256501035765e-05
priorregion1_spot_30,0.033141605183482165,4.214660816614923e-06,7.099454523995519e-05,1.3402169599885384e-06,0.034318683110177516,0.01510758358053863,0.3111414611339569,1.3291620671749114,6.976274538040161,6.120759940131393e-06,7.858742333155534e-06,4.585855367622571e-06
priorregion1_spot_31,0.07833758629858495,3.1676048592998995e-06,1.330984678133973e-05,1.1332252540796617e-06,0.015008037164807319,0.011895777331665159,0.061059008724987505,1.344948661327362,6.211184167861939,1.6212350374189556e-06,7.935792518765084e-06,3.364592123489274e-06
priorregion1_spot_32,0.0005526896711671725,2.3873323442558106e-07,1.0520638340949517e-06,3.124371332319243e-07,5.082693110125547e-06,9.461994850425982e-05,0.17306966260075568,0.322097472846508,2.043074381351471,0.24409889653325081,0.008059634128585458,4.976474059503744e-07
priorregion1_spot_33,0.5896339505910874,2.840926902081265e-06,0.35200391560792926,9.642225279549167e-07,6.056623187760124e-05,0.0018261405697558076,0.04267791099846363,0.7497366398572921,4.151293325424194,1.3056270461220266e-06,1.529445216874592e-05,2.1270933757477905e-06
priorregion1_spot_34,0.0767407763749361,2.4816975474095672e-05,8.505620353389532e-05,4.75504643873137e-06,0.005753526487387717,0.11936324276030064,0.44114828258752825,0.1490276649594307,4.0724666833877565,0.5586614966392517,2.0499796755757418e-05,1.4836966238362948e-05
priorregion1_spot_35,0.00027247940597590063,8.536937514236344e-07,8.785795444055111e-06,3.6065993356260153e-07,6.760361679880589e-06,2.9786118921037998e-05,8.451897920167541e-05,2.0103487968444824,5.239276337623596,7.484997809115158e-07,1.1908619444511715e-05,5.558606034128388e-07
priorregion1_spot_36,0.027432299312204124,1.7281433144944462e-06,2.703042912344245e-06,8.299503264197484e-07,0.004229567502625287,0.5697833269834518,0.5568495005369187,0.0001915602304507047,2.122934103012085,4.768060279047859e-07,7.855204188444987e-07,2.926784191004117e-06
priorregion1_spot_37,0.06880090981721877,3.4439287901477655e-06,1.1378665976735648e-05,3.4220706311316464e-06,0.0033511174959130587,0.0023773246328346433,0.04374454393982887,0.5984229058027268,6.015165114402771,2.549519160766067e-06,8.092320058494806e-06,8.681493181939005e-06
priorregion1_spot_38,0.00012417925354384353,1.6441554961943441e-07,2.1271874084050067e-05,6.391390172666434e-07,1.3054882344931683e-06,7.305871008611577e-06,4.866821745963535e-05,1.0929448485374451,3.805871224403381,2.7844480143812694e-07,3.945222192669463e-06,1.4495150367110911e-06
priorregion1_spot_39,0.12784970849752425,6.708318096571021e-07,1.6263201189303803e-06,1.894081115949575e-07,0.006508541526272893,0.09725247323513031,0.22446795478463172,7.588936273350555e-06,0.8948145747184754,1.1589335180417493e-07,5.149774153778709e-07,3.1027711884235036e-07
