	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	0.061122533	4.768455e-07	7.080407e-08	9.8833006e-08	0.01898009	0.05191203	0.15239722	0.023323562	0.6826475	4.382364e-08	0.009601593	1.474607e-05
priorregion1_spot_2	0.37389824	0.0008194113	1.7278744e-07	7.5319385e-08	0.01507629	0.040982112	0.12716523	1.6623244e-07	0.4300759	2.9728621e-08	2.8384125e-07	0.0119820805
priorregion1_spot_3	0.34014046	1.3118557e-06	1.4918206e-07	1.2938301e-07	0.028205177	1.2275437e-06	0.0497884	1.9154843e-06	0.5751431	3.9332487e-08	0.0067179385	1.783933e-07
priorregion1_spot_4	0.054208793	2.4192553e-07	3.759558e-07	9.474876e-08	2.6093837e-06	0.0074006673	0.08483962	0.06824133	0.7678404	7.680519e-08	0.008895948	0.008569886
priorregion1_spot_5	1.4142641e-06	3.3325074e-07	1.2988446e-06	9.008764e-07	1.350522e-06	1.4435972e-06	0.00014113288	0.017619358	0.9822298	1.1862724e-07	2.4543672e-06	3.5577233e-07
priorregion1_spot_6	0.1608148	4.3168684e-06	0.10642118	2.132293e-07	1.5626664e-06	0.030317934	0.012741197	0.034910403	0.6547874	1.0384879e-07	6.8178593e-07	1.8708008e-07
priorregion1_spot_7	0.05008503	4.139334e-07	1.598025e-07	7.615492e-08	0.027934441	0.047822375	0.12224801	0.066448815	0.6775464	5.4863314e-08	0.007914065	1.3628932e-07
priorregion1_spot_8	0.05847867	0.008871084	1.3781898e-06	3.006062e-07	3.0606088e-06	0.09074485	0.09183031	0.01354891	0.7296276	5.7165533e-08	0.00688085	1.288928e-05
priorregion1_spot_9	0.18945223	8.33069e-07	0.015792284	0.00071732217	4.9877276e-06	1.5753218e-06	0.15148933	0.00872298	0.63379145	7.5095066e-08	1.3631461e-06	2.5645762e-05
priorregion1_spot_10	1.6694196e-07	1.4734647e-07	1.4303366e-07	1.6222923e-07	2.2734739e-07	2.887783e-07	4.012627e-06	0.15520094	0.84479344	6.704016e-08	3.3546988e-07	1.4067639e-07
