,q05_spot_factorsAstrocyte0,q05_spot_factorsEpendymal10,q05_spot_factorsImmune1,q05_spot_factorsImmune8,q05_spot_factorsNeurons4,q05_spot_factorsNeurons5,q05_spot_factorsNeurons7,q05_spot_factorsOligos3,q05_spot_factorsOligos6,q05_spot_factorsVascular11,q05_spot_factorsVascular2,q05_spot_factorsVascular9
priorregion1_spot_1,0.00043806040339404716,0.00010860066395252945,0.8621428310871124,1.760399967432022,4.459497608877428e-06,0.5236180454492569,0.00017183282616315413,0.3335783794522285,0.000571455215686001,5.503698560005433e-07,9.424557083548279e-06,0.3250109568238258
priorregion1_spot_2,1.2828719718527283e-06,2.2938354149459883e-07,0.9237612932920456,1.0561619341373445,2.3824627888302531e-07,4.0011011378737745e-06,7.827467416063883e-05,1.1017439603805543,1.204328355015605e-05,1.1373659738467268e-07,1.290903770723162e-06,1.1854602234961931e-06
priorregion1_spot_3,9.239064155508459e-07,1.792412369638896e-07,1.939615249633789,2.1179693817430237e-06,1.660756879573455e-06,0.44300768822431563,0.00010363763503846712,9.573500437909387e-06,1.4399078168025882e-06,1.71383368829936e-08,1.1489530109543012e-07,6.588776706450973e-08
priorregion1_spot_4,0.15478125885128977,1.2364989174784568e-07,1.9429673314094542,0.341500885784626,2.2129676366944297e-07,8.319894914166072e-06,0.0005254894844256341,1.639096909761429,9.253347125195433e-05,9.03556011166984e-07,2.2139957280842285e-07,6.673840914572794e-07
priorregion1_spot_5,4.945029149894254e-06,1.8064814582885446e-06,0.639695155620575,1.0513814985752106,2.815834250213812e-07,3.555621242412599e-06,7.4849962629741655e-06,1.7430975675582885,7.493174530281977e-06,8.631168526562761e-08,2.589443212741571e-07,5.298510018292291e-07
priorregion1_spot_6,0.00015402222124976105,1.4185371597363882e-07,0.9936762630939483,0.2005204029381275,3.5260371191725424e-07,1.630348779144697e-05,0.00015640042620361782,0.7413579374551773,2.4164975911844522e-05,2.7689272030784196e-07,8.7955543648377e-08,2.3915048785738696e-07
priorregion1_spot_7,2.258009189972654e-05,2.1771660243530278e-07,0.5925540298223495,1.3449420630931854,7.452759149373378e-07,0.000102119999792194,0.003922825038898736,1.981069016456604,0.013235282292589546,2.6391983993789835e-07,1.4009863775754638e-06,5.576330352141668e-07
priorregion1_spot_8,2.2075520405451245e-06,4.592872322461972e-08,1.2942160665988922,2.8187953944325272e-06,3.489574496029491e-08,1.0785253266476502e-06,3.1320453899752467e-06,0.0005973397113848477,0.00996796484105289,1.2648812912630093e-07,0.0002543104215874337,9.48078607621028e-08
priorregion1_spot_9,5.684122425009264e-05,2.3352628844008908e-07,1.1534879863262177,0.7846588969230652,1.0090036028032044e-06,0.0003178963015670888,0.0504857299849391,2.3111516714096068,0.00015088524814927952,1.2896027612896432e-06,0.0006823873642133549,0.00024108238649205304
priorregion1_spot_10,0.00011807508599304128,1.5789207964189701e-06,0.4320758134126663,1.0749804079532623,2.3465090563945524e-07,8.288910357805436e-05,0.0002723409226746298,1.6581389844417571,0.06455266699194909,4.414250071249626e-07,6.338964652741197e-07,0.18090472966432572
priorregion1_spot_11,0.07866710610687733,1.865826313007801e-07,1.3018302619457245,0.6561339408159256,1.4187923937925007e-07,5.132875344315835e-06,7.961962819535985e-06,2.111673331260681,0.00012441772378224414,9.738784513046995e-07,9.135576789276457e-07,1.200719844973719e-06
priorregion1_spot_12,6.169687303270167e-08,3.1834776703654203e-09,0.035342702828347686,0.3305503159761429,6.371404381866342e-09,2.932390714249778e-07,1.4292609975541385e-07,1.8029033554967103e-08,2.794839160102925e-08,1.2038212693354922e-08,1.4551610849622421e-08,1.2462592602346946e-08
priorregion1_spot_13,4.721216754433044e-07,1.2047932518299832e-08,0.09166077077388762,0.3737065836787224,3.4379981173060516e-08,3.7541741335189725e-06,4.73166062420205e-06,0.4308450222015381,9.356869554721926e-07,8.970901710370074e-09,4.134997659832606e-08,1.7717955884677395e-07
priorregion1_spot_14,0.08185017257928849,7.994092676710808e-08,1.6951693773269652,0.2883502811193466,3.510925481009509e-07,5.735031322728901e-06,3.714958875207231e-05,2.276057040691376,0.00031856897985562684,1.194945343740983e-06,1.6198853103333027e-07,3.528187065171551e-07
priorregion1_spot_15,3.7838143498447605e-07,1.4869833586672602e-08,0.09495624303817748,0.3188149183988571,1.2909722268972247e-08,1.150179389242112e-06,9.583047216210616e-07,0.2884364694356918,3.862675285404293e-07,2.1962483742754562e-08,4.9034887794618955e-08,8.508835911413825e-08
priorregion1_spot_16,5.063006551608851e-06,2.2176849157062864e-07,1.133303964138031,1.4700446367263793,2.9502973717399075e-07,4.334922141424613e-06,0.00011470487334008794,1.3895156681537628,5.734071164624766e-05,2.7653585021880644e-07,1.4760401597868623e-06,6.997116429374728e-06
priorregion1_spot_17,0.010118979588150978,9.452935756826264e-07,1.9741682648658754,0.9426166117191315,2.291602675086324e-06,0.34616957157850264,0.13448318690061567,1.082673352956772,0.0005405164003605023,1.8811989207279115e-06,6.161363967294165e-06,3.970022339672142e-06
priorregion1_spot_18,4.828543660551077e-05,4.3054244258655677e-07,1.0311314284801483,0.5213634192943573,5.282654674374499e-05,0.22453836873173716,0.26029867976903914,2.072170889377594,0.00012425605673342945,1.1336473129119897e-07,6.673347542118792e-07,4.1046515235620974e-07
priorregion1_spot_19,4.858122542827914e-06,6.122073656911199e-08,0.4735210210084915,0.36400342881679537,2.0014491468600682e-07,2.8681610956482474e-06,2.3942138909660572e-06,2.7471249818801877,6.947559791115054e-06,8.069951036304703e-08,8.262964001914952e-08,9.20774510859701e-08
priorregion1_spot_20,7.004456674621908e-05,5.043835017204401e-07,2.6649741530418396,2.008148777484894,9.302505930008921e-07,3.8715016557944185e-06,0.0002350801616557874,0.4257600545883179,0.00042082199797732756,4.985017483249976e-07,2.052630670732469e-05,6.246224511414766e-05
priorregion1_spot_21,4.7940933711743125e-08,3.783249225008945e-09,0.27329516559839245,0.7561675935983657,8.946795038156096e-09,2.4712052635322836e-07,1.2247582617419539e-06,1.8519002065175982e-08,1.20405768910814e-07,4.5553649208329715e-08,1.502726036051172e-07,4.341596095969181e-08
priorregion1_spot_22,1.4845568898635975e-07,1.823883311047325e-08,1.5164063394069671,0.6947351723909377,9.529930355967054e-09,1.5062299638657353e-07,4.6803880650259085e-06,5.893058016681608e-07,4.049482618029288e-06,2.473466587105122e-08,3.353734243205509e-07,3.91824414691655e-08
priorregion1_spot_23,1.630976184969768e-05,5.549448918173993e-08,0.0429965989664197,0.5220289528369904,3.6784469914508122e-09,1.6065565375811277e-06,1.1863813085710717e-06,0.1644559770822525,1.2548595407224639e-06,6.115079038693239e-08,4.282607211081313e-08,8.782960954079046e-08
priorregion1_spot_24,2.7101962859887867e-05,4.4802922047892937e-07,1.4099900126457214,1.1689593732357026,8.86976391711869e-07,2.113191139869741e-05,0.005364847276359796,1.2518501639366149,0.0014701936568599194,3.588638762153096e-07,1.663639868638711e-05,0.3275717690587044
priorregion1_spot_25,7.003569089647499e-06,3.714038143698417e-07,1.2573107779026031,0.25802021771669387,0.0907714881002903,0.1767406463623047,6.096670927036031e-06,1.102274775505066,1.2127432910347125e-05,6.708227928697852e-08,1.4246239697968123e-05,4.005201063250752e-07
priorregion1_spot_26,2.3604095804330428e-05,9.567947234501162e-09,0.7529692381620408,0.5489167660474777,2.8872985780026283e-08,9.255868860691407e-07,1.4964507772674552e-05,0.2177570641040802,7.127986100385897e-06,3.707087667947917e-08,2.1407524997130167e-07,2.8626826349409383e-07
priorregion1_spot_27,0.00030572285322705284,1.415803683357808e-06,1.7129550874233246,0.48118304163217546,3.5903973912354556e-05,0.028941754437983035,4.766469901369419e-05,2.3918050646781923,0.008004923770204186,3.636441803678281e-07,2.489266189513728e-05,1.2237875750997775e-06
priorregion1_spot_28,0.0001643312178202905,3.634028502119691e-07,1.7277523636817933,0.00015451512081199326,0.01976834172382951,0.0017261282016988843,0.024021727964282036,0.4226894199848175,8.929311161409715e-06,1.665704115794142e-06,6.990392819261616e-07,6.848368627743185e-07
priorregion1_spot_29,0.0003393032908206806,1.0980046909025987e-06,1.449535644054413,0.8484762251377106,6.103445366534288e-06,0.45592717677354816,0.0006091427669161931,0.6543423116207123,0.00013407177102635616,2.0427077174645094e-06,7.336897124332609e-06,3.593434155391151e-06
priorregion1_spot_30,0.0013511367549654098,8.61954231368145e-07,1.3127562522888183,0.9084468126296997,1.2741838645524696e-05,0.00024775535275693987,0.029314865265041592,2.022070527076721,0.00011311372836644296,1.4104907108958287e-06,1.80048535298738e-06,1.4788192572723349e-06
