	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	3.0870396e-07	0.0018472394	0.017459719	0.57380384	2.3504248e-07	0.11528187	1.1810816e-07	0.15845117	2.6332762e-07	6.488986e-08	3.7253056e-07	0.13315468
priorregion1_spot_2	4.4060823e-08	7.326386e-08	0.078767195	0.3147769	6.605145e-08	6.685637e-08	1.0413561e-07	0.6064549	2.1341083e-07	5.5508014e-08	1.7478177e-07	1.5300817e-07
priorregion1_spot_3	2.747391e-08	3.110925e-08	0.71667993	1.2608306e-06	1.3184513e-07	0.27154914	0.011769397	5.0731042e-08	4.4759286e-08	1.3884362e-08	3.14404e-08	5.9362467e-08
priorregion1_spot_4	0.031862468	1.1207014e-07	0.27722922	0.06083028	5.7613217e-08	6.010317e-08	1.6254555e-07	0.63007617	1.2363074e-06	2.4318549e-08	5.5619985e-08	1.4036456e-07
priorregion1_spot_5	4.998889e-08	5.0175164e-08	0.03345289	0.2385661	3.3914077e-08	3.835648e-08	5.822038e-08	0.72798055	2.4106075e-07	1.7923117e-08	4.8439077e-08	8.251206e-08
priorregion1_spot_6	0.00518765	1.2387865e-05	0.32789615	0.08943174	3.507868e-07	4.2807537e-07	9.130061e-07	0.5774142	1.5889303e-06	5.4204273e-05	7.451782e-08	1.4020836e-07
priorregion1_spot_7	1.0694348e-07	6.840534e-08	1.5734432e-06	0.28325883	6.54623e-08	7.575749e-08	8.469046e-08	0.71673757	1.5160095e-06	2.6874421e-08	8.369549e-08	7.065581e-08
priorregion1_spot_8	2.2958467e-08	5.95969e-08	0.9512717	1.9728195e-06	5.0980073e-08	7.20402e-08	1.78775e-07	0.0070342245	0.038162425	1.0391644e-07	0.0035288706	1.6519364e-07
priorregion1_spot_9	5.408162e-08	5.3460013e-08	0.065083556	0.13303038	5.749928e-08	1.0530106e-07	1.7507487e-07	0.7998174	3.823545e-06	1.00977296e-07	1.7475733e-06	0.0020626348
priorregion1_spot_10	8.787941e-08	1.2833667e-07	0.009584498	0.2277925	4.2479726e-08	5.169441e-08	5.5086154e-08	0.6926	0.0046767076	2.8020146e-08	1.4336852e-07	0.065345846
priorregion1_spot_11	0.014562349	1.0678128e-07	0.13042879	0.12606926	4.171982e-08	5.0398242e-08	5.0142912e-08	0.7289356	3.5764785e-06	2.0958225e-08	4.9653774e-08	7.136177e-08
priorregion1_spot_12	2.7870747e-08	8.2525204e-08	0.023116035	0.97394097	3.5480088e-08	4.8130293e-08	3.7052477e-08	5.881747e-08	6.11307e-08	4.897107e-08	1.5895147e-07	0.0029424196
priorregion1_spot_13	2.924893e-08	2.9631943e-08	1.5189415e-06	0.26180482	1.0389395e-07	6.465871e-08	3.448151e-08	0.73819304	2.1270857e-07	2.6516954e-08	5.7008464e-08	8.1646725e-08
priorregion1_spot_14	0.01215855	6.026564e-08	0.19162685	0.05421384	8.0764316e-08	8.531538e-08	1.2027522e-07	0.7416853	0.000314974	3.1913032e-08	5.1064376e-08	7.2459315e-08
priorregion1_spot_15	4.80137e-08	1.15055244e-07	0.023423752	0.32622567	7.6321484e-08	8.1033555e-08	4.917289e-08	0.6503499	8.7002825e-08	3.1947263e-08	1.1761341e-07	9.700358e-08
priorregion1_spot_16	5.0436597e-08	9.450341e-08	0.066178694	0.36134875	6.2449324e-08	6.6525075e-08	8.257659e-08	0.57247156	3.9742477e-07	3.474397e-08	1.0576667e-07	1.4405136e-07
priorregion1_spot_17	0.001887173	1.4395778e-07	0.2552452	0.19035551	2.1928652e-07	0.078846715	0.027533835	0.44612965	9.563245e-07	1.1391217e-07	2.181325e-07	2.8127343e-07
priorregion1_spot_18	1.8721326e-07	2.0060136e-07	0.11233948	0.09301706	0.0008687601	0.03906406	0.05491254	0.69979113	6.5362688e-06	1.6249784e-08	2.7635085e-08	6.936478e-08
priorregion1_spot_19	8.225709e-08	1.595845e-07	0.05720906	0.067535326	2.4353488e-07	2.496012e-07	1.8438641e-07	0.8749707	0.00028391185	1.7048524e-08	4.623793e-08	3.7007066e-08
priorregion1_spot_20	7.332716e-08	7.534785e-08	0.2677079	0.58974326	3.5046945e-08	5.1571753e-08	5.6677482e-08	0.14254805	1.2644259e-07	2.8782773e-08	1.8057602e-07	1.365422e-07
priorregion1_spot_21	2.062426e-08	5.521673e-08	0.08821898	0.9102118	3.501472e-08	3.2149796e-08	5.0269655e-08	2.9952275e-08	3.9609006e-08	6.6834184e-07	0.001567605	6.6919904e-07
priorregion1_spot_22	2.366812e-08	4.3084018e-08	0.6226218	0.37737763	2.4274307e-08	3.2619752e-08	3.3020317e-08	3.320603e-08	6.5416096e-08	2.1784954e-08	3.4426935e-07	1.1411482e-07
priorregion1_spot_23	0.0018190028	8.20102e-07	7.4084583e-06	0.57034135	3.4359502e-08	3.5110233e-08	3.612291e-08	0.4218906	4.765275e-07	4.376357e-08	1.0613534e-06	0.005938994
