	Astrocyte0	Ependymal10	Immune1	Immune8	Neurons4	Neurons5	Neurons7	Oligos3	Oligos6	Vascular11	Vascular2	Vascular9
priorregion1_spot_1	0.0045433226	5.9423104e-07	9.312157e-08	5.1697906e-08	0.23351993	0.29095638	0.46298638	0.0012123019	0.006343722	0.0004369118	1.994202e-07	1.1554424e-07
priorregion1_spot_2	0.0127027035	0.007951537	2.5374442e-07	4.464761e-08	0.19581851	0.26440313	0.47482982	0.00084732164	0.042946618	6.2685736e-08	1.2839595e-07	0.0004998438
priorregion1_spot_3	0.008963343	3.7372914e-07	0.3277974	4.834478e-06	0.13614923	0.21032324	0.28793174	0.0018988992	0.024278784	3.5261007e-08	1.2086613e-07	0.0026520968
priorregion1_spot_4	0.005519531	2.1035662e-07	0.3313336	1.079042e-06	0.14099757	0.21821061	0.26461774	0.0077413954	0.030531118	3.0546794e-08	1.6977862e-07	0.0010469474
priorregion1_spot_5	3.183377e-07	4.6713902e-07	0.111227565	6.724052e-07	0.19068839	0.20304403	0.49499848	2.8802344e-07	3.9064274e-05	7.428555e-08	2.967182e-07	2.2800118e-07
priorregion1_spot_6	1.3184764e-07	0.01645063	7.9084636e-08	1.9770276e-08	0.22446638	0.2508736	0.49328393	0.012294314	1.1481479e-05	2.1090226e-07	0.0026191801	5.503407e-08
priorregion1_spot_7	1.6379238e-07	3.9094328e-05	7.1040745e-08	2.7587223e-08	0.20309186	0.43388268	0.3629402	3.6736552e-07	4.4755776e-05	5.4287057e-07	1.3157117e-07	1.3029903e-07
priorregion1_spot_8	5.5747535e-07	4.083899e-07	0.16119899	2.500937e-07	0.113481045	0.21493873	0.49066794	0.019710332	1.379295e-06	6.197741e-08	1.2526606e-07	1.3824474e-07
priorregion1_spot_9	0.0021027136	0.0074315798	5.8183666e-08	2.9518775e-08	0.21140027	0.28973377	0.47385994	0.0034005267	0.012070666	7.969314e-08	6.840283e-08	1.8661204e-07
priorregion1_spot_10	4.1942286e-07	0.00057629764	0.14835879	0.034850247	0.3097559	0.31677756	0.16241159	0.0075335256	0.0153058395	2.3995188e-08	1.1298089e-06	0.004428683
priorregion1_spot_11	1.3827611e-06	8.884039e-06	7.095716e-08	3.7962394e-08	0.17199966	0.28612423	0.4851053	1.0111276e-06	0.055268027	0.0014911739	8.6662666e-08	9.156817e-08
priorregion1_spot_12	0.0046695364	0.0050963974	0.28593445	0.01590284	0.1698379	0.183706	0.30664146	0.007641862	0.020569392	1.9811573e-08	6.0308174e-08	6.5681235e-08
priorregion1_spot_13	8.131042e-08	8.053669e-08	0.32389343	0.0069326716	0.20617677	0.17288154	0.26998693	3.7033354e-07	0.008270626	2.0694984e-08	1.2243326e-07	0.011857387
priorregion1_spot_14	0.012979058	0.00047708192	0.0033469466	2.4897705e-08	0.12248532	0.35181767	0.49174318	0.013743913	0.000826288	2.1181759e-08	9.622099e-08	0.0025805295
