	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	3.8181028e-07	3.880136e-07	0.028284539	1.6826182e-06	0.25654954	0.11972243	0.17079642	1.187115e-05	6.7654446e-07	1.1252283e-06	9.482967e-09	8.129004e-07	0.404239	0.020387143	2.867329e-06	1.1478508e-06
priorregion1_spot_2	2.4723762e-05	2.987021e-07	0.009114573	2.2155032e-07	9.773143e-06	0.055980995	0.3952188	0.04918665	0.008733235	2.46488e-06	1.8984789e-08	5.5456167e-07	0.179714	0.30181146	4.4074284e-07	0.00020172929
priorregion1_spot_3	4.5777963e-07	1.2698777e-07	3.3512205e-07	1.9515508e-07	0.0020715825	0.08563923	0.030687286	3.5722023e-06	5.396995e-08	1.1181471e-07	3.0449236e-09	0.44532323	0.24995048	0.037989374	0.14833286	1.1427741e-06
priorregion1_spot_4	6.1950226e-07	2.0444938e-07	7.0677874e-07	1.990166e-07	3.0525243e-07	0.018167786	4.7235517e-08	4.4286967e-06	7.777162e-08	8.31192e-08	4.7144204e-09	0.45653313	0.28810066	4.0338828e-06	0.2371875	1.5794511e-07
priorregion1_spot_5	7.504562e-05	2.5984863e-07	7.386471e-07	2.206376e-07	6.198749e-07	0.02031774	0.3134508	2.8994018e-06	0.1594986	8.065216e-06	2.594366e-08	0.26346377	0.14957651	0.09355494	2.9796778e-05	2.0011787e-05
priorregion1_spot_6	9.4079536e-07	1.4882351e-06	1.353914e-07	1.2917914e-07	6.844095e-07	0.0117480075	0.26091024	0.0029189182	1.3232122e-07	5.602549e-07	1.4038545e-08	0.41034076	0.054989923	0.093132295	0.15669605	0.009259654
priorregion1_spot_7	6.3902826e-07	2.1976464e-07	0.1597509	2.529356e-07	0.049291443	0.02325771	2.535459e-08	0.028814869	0.0033777189	2.6268898e-08	2.4282665e-09	0.44510993	0.21879448	7.534537e-08	0.07160166	4.778982e-08
priorregion1_spot_8	5.55509e-08	3.247155e-07	0.056063883	0.008424306	0.3693401	0.13582927	3.1576075e-08	1.2457534e-06	0.002722546	3.8910954e-08	2.6681757e-09	6.6938546e-06	0.34542102	6.125925e-08	0.08219025	6.482123e-08
priorregion1_spot_9	6.488619e-08	9.932687e-07	3.5133564e-06	0.026638333	0.24533004	0.08029595	4.306777e-08	0.015766239	4.4773312e-08	4.6241247e-08	3.1579876e-09	0.16502939	0.3945349	0.0063290973	0.06606955	1.7733341e-06
priorregion1_spot_10	1.9705651e-07	6.940182e-07	0.4590405	8.069638e-06	6.210957e-05	0.0074222344	4.225627e-08	1.39844105e-05	6.1397444e-08	7.4121644e-08	3.79971e-09	0.22441868	0.19269526	2.2941362e-07	0.11633755	3.641804e-07
priorregion1_spot_11	1.531483e-07	4.831976e-07	1.2837065e-06	3.359519e-07	8.303265e-06	0.029757045	1.3975476e-08	0.01844197	1.5862799e-08	2.0158538e-08	1.2576429e-09	0.59116393	0.26543805	3.6384492e-08	0.09518843	3.5605737e-08
priorregion1_spot_12	5.3597563e-07	1.1409261e-06	0.0047648475	1.8167588e-06	7.884302e-06	0.0737094	8.575812e-08	0.041014325	1.9884287e-07	1.9014888e-07	6.176849e-09	0.17075741	0.5817711	0.008371771	0.11959892	4.52066e-07
