,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,7.34093820938142e-05,1.0994903107075516e-06,9.99999684836439e-07,2.5580346516562715e-07,1.7974470665649278e-05,1.4829393137461011e-06,1.2557625382214612e-06,1.4068264226807516e-05,1.8374917829078186e-06,2.3561758666801326e-06,4.7134977592122597e-07,2.825385093688965,1.7547211229801178,2.4343160657736006e-05,1.2255418550921603e-05,8.480798214804963e-08
priorregion1_spot_2,6.123116218077484e-05,0.00015332938201026992,1.4539424300193786,0.00011767111063818449,0.823454350233078,9.084388375413257e-06,2.395029869148857e-05,0.00028987676341785123,5.281419157654454e-06,4.1131621856038695e-06,8.046602829381301e-07,0.6316225022077561,1.3823215544223786,2.7890628825844035e-05,2.145838698197622e-05,3.884649686369813e-07
priorregion1_spot_3,4.279172813426158e-07,3.1896333041459007e-07,5.1511705123630236e-08,1.6216215747988372e-08,5.116914422842457e-07,6.321407148845992e-08,1.2235285922201912e-07,1.3346536107405884e-07,8.112649574343322e-08,2.7556457098398824e-07,1.8563552028894037e-08,3.1165657333076534e-06,0.5937152057886124,2.702379447327985e-06,9.320855482997105e-08,1.5974232425719493e-08
priorregion1_spot_4,5.13293066433107e-06,3.43116890633155e-07,1.2811673855139818e-07,2.4214621863194452e-08,1.0451744003603383e-06,9.835766832111404e-08,6.028393642054653e-08,5.428975327959052e-07,6.945650170564478e-08,6.193332836801347e-07,3.7163378152627053e-08,0.9929539263248444,0.7226805239915848,1.2353118108876517e-05,1.4792364595450636e-06,3.766128653381884e-08
priorregion1_spot_5,4.516104399954202e-06,4.9375722664990465e-05,0.6448435187339783,4.481607174966484e-05,0.38069262951612476,1.374593267655655e-06,2.824748762009222e-07,6.812262181483676e-05,2.5399464647080095e-07,1.4850046909486992e-06,2.0787398042898532e-07,0.5656278640031814,1.351814830303192,4.322809149925889e-06,8.41952455630235e-06,1.599024933796045e-07
priorregion1_spot_6,0.006202497798949481,2.049454201369372e-06,2.56794086226364e-06,3.9322870577507273e-07,2.507008448446868e-05,4.13869156545843e-06,0.005749167292378843,8.432220693066484e-06,7.58889650569472e-06,4.9222397137782536e-05,0.5596948117017746,2.344257915019989,1.205348175764084,0.08187645338475705,6.738163356203587e-05,1.2117214339468773e-06
priorregion1_spot_7,4.3294985061947965e-06,7.370144121523482e-05,0.70531345307827,0.0003515155651257374,0.19598073288798332,1.5724248385140527e-06,1.0137553090316942e-06,4.809857864529477e-06,2.2077485937188612e-06,0.05400916300714016,1.080017744925499e-06,0.7520077079534531,0.5422711044549942,1.1181312174812774e-05,0.03657618798315525,0.020617917645722628
priorregion1_spot_8,0.00028400914015946915,6.365170952449262e-06,1.3136062761986977e-05,1.9120470767575174e-06,0.0001659608635236509,5.206158239161596e-05,2.232644692412578e-05,9.241250445484184e-05,7.195690477601601e-06,1.4665248811244964,0.0001221496731886873,4.311167430877686,1.4090970158576965,0.0012981983774807307,0.0008740089746424929,9.391062121721918e-06
priorregion1_spot_9,0.03034459827467799,5.325174726067417e-07,2.0640508111569038e-07,6.244353372153455e-08,5.310449807893748e-07,2.3830043147654578e-07,2.1571745136839127e-07,5.647921568652237e-07,1.9805591691124394e-07,5.564115298284378e-07,3.4165537421415605e-08,0.60990169942379,0.5054285377264023,0.00012740025194943883,2.6597479859447048e-06,5.5455863012809914e-08
priorregion1_spot_10,0.04555610604584217,5.2947408948966765e-05,0.0015504516486544162,5.979835805192124e-06,0.0002443424193188548,9.481091547058896e-06,1.2017153540000437e-05,0.22586775645613671,1.2424753595041694e-05,2.1588530580629597e-05,2.037200988525001e-06,0.8334224492311477,2.1655096650123595,0.00045369733852567156,4.7817083395784723e-05,1.6534118060462789e-06
