,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,3.428311387665417e-07,0.7887210130691529,2.323447179151117e-05,0.023206817265599967,0.19354127049446107,0.9340084820985795,5.0441808774337464e-08,0.00016273280562018044,1.4749821346526913e-07,2.7848995785006993e-07,6.732111081930726e-08,2.6619532704353333,2.0811600961678783e-06,1.23028556799909e-06,5.7118226322927516e-06,4.474684622834957e-08
priorregion1_spot_2,1.7673980678978296e-07,5.823401636462222e-07,4.7642923135526886e-07,1.109729854675834e-07,7.260758357006126e-05,2.3577465185553596e-06,1.8833737769341498e-08,5.715309794140922e-06,6.714078040204186e-08,2.7097241783735626e-08,2.7793889412208738e-08,4.350087308883667,5.160394120906631e-08,4.969085665607053e-07,6.166785738059844e-06,9.650945376193931e-09
priorregion1_spot_3,1.6361618463633932e-06,3.9245718479156495,0.0008750049484660849,0.1555843710899353,0.00026699011796154086,0.00593817203771323,1.3289690059536952e-07,0.00030877808167133485,3.107888730369268e-07,3.4841130059248828e-06,1.8005920043862036e-08,1.2005515277385712,9.178566557466185e-07,0.004365163156762719,4.11187549616443e-05,1.140207018579531e-06
priorregion1_spot_4,6.834085543232505e-05,0.0037999871885403993,0.14750124216079713,2.2770745363231985e-05,2.3568103279103526e-05,1.7054473042488099,7.670496643186198e-07,8.073327126112418e-06,7.255007233197831e-07,2.0531662084977145e-05,2.018294944505783e-08,0.5479037135839462,1.6771704281381975e-06,1.4269832968711853,0.00016025587319745682,1.0954468280033325e-05
priorregion1_spot_5,3.4618821359799777e-06,1.5688611686229705,0.0015565141278784723,0.0006001222383929417,0.000694666602066718,0.9868957012891769,2.5745157472556457e-07,0.0005396670341724529,1.4627527065158576e-07,1.1053364460167359e-05,4.202337073877515e-08,0.90321986079216,8.465067679708226e-07,0.9097643822431565,3.5542210935091144e-05,3.094861006047722e-06
priorregion1_spot_6,5.124319706339975e-08,1.5985293805599212,7.861699214117835e-06,3.765822293644305e-05,0.00011447384204075205,0.00019825366034638138,1.0369438729895819e-08,8.242180183515301e-06,2.7872974150966463e-08,1.0458961909876053e-07,8.42631471265065e-09,1.4409902036190032,2.0073637259088174e-07,1.739476584816657e-06,2.8497274070105052e-05,9.361157315979089e-09
priorregion1_spot_7,1.1918346399397707e-05,0.23186728730797768,7.5977986170983065e-06,2.2431248726206832e-05,0.0001221385955432197,1.6695830821990967,7.224325102583861e-08,2.276169734614087e-05,1.6042199391108627e-07,4.24479520688692e-07,3.863208952736841e-08,3.5471665143966677,1.1106277099770525e-06,9.18103532967507e-06,4.171703949396033e-06,5.99582048010916e-08
priorregion1_spot_8,1.2262059044587658e-06,0.3287319153547287,0.0006676660850644112,6.125764593889471e-05,0.18632217422127723,0.2904424637556076,2.2052682453477247e-07,0.0005977734428597615,5.670668173252126e-07,3.7355823252482877e-07,2.4269120240205668e-05,5.633848690986633,4.057283581460069e-06,1.6856538695719792e-05,2.6277294637111485e-05,1.3416636335250587e-07
priorregion1_spot_9,2.8945990777629053e-07,0.8308601200580596,0.00015912441740510987,0.00025622275861678643,0.04247782081365586,1.0734710156917573,1.6694157451979665e-07,0.020603881683200598,1.534776878031607e-07,7.04446756571997e-07,1.9666104407178865e-07,2.113708198070526,2.071414598958654e-06,1.7698177271086027e-05,0.003037813259288669,2.8947591061978524e-07
priorregion1_spot_10,1.3307169695053749e-07,0.1783972531557083,1.628848740438116e-05,0.038064686581492424,0.0003090066820732318,0.45968554466962813,4.8699533650165e-08,5.4374242381527445e-06,5.917080976303169e-08,3.293473511689627e-07,9.528297484351357e-09,1.8420948565006257,2.1801928298259557e-07,1.9762489500863014e-06,1.3640759561894813e-06,1.4786168778258003e-08
priorregion1_spot_11,4.0384751684996447e-07,1.2468950033187867,0.0710273951292038,0.00014077039450057782,0.001676911290269345,0.32459467500448225,9.457546319424638e-08,2.7831794159283164e-05,7.744003411858103e-08,1.7112210741743183e-06,1.0990297161228569e-08,1.0450090229511262,4.3091478545420626e-07,1.7749967537383784e-05,7.689622816542397e-06,1.0645525883035134e-07
