	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	0.004196304	8.7009106e-08	3.219967e-08	7.622381e-08	1.12007434e-07	0.0016950658	2.1738268e-07	4.597015e-08	0.018544635	0.26712766	0.00014839148	0.4848636	6.915015e-07	0.07049216	0.13580972	0.017121108
priorregion1_spot_2	1.0642764e-07	8.531815e-08	3.1588876e-08	5.2244083e-08	1.279326e-07	1.469582e-07	4.296005e-08	6.5664814e-08	3.528973e-08	0.19968835	7.839156e-09	0.79748046	5.8934444e-07	5.193868e-07	7.781906e-05	0.0027515518
priorregion1_spot_3	0.3168928	1.1480407e-07	1.0157088e-07	1.09543755e-07	0.064946696	5.886035e-07	5.7780727e-07	3.7113531e-07	1.9865318e-05	0.27966657	1.0841789e-08	0.27940086	5.596534e-07	0.05905122	1.44132e-05	5.1856337e-06
priorregion1_spot_4	0.1987433	4.352915e-08	3.684103e-08	3.1065735e-08	1.2838012e-07	1.696439e-07	6.865153e-08	1.4239363e-07	0.014133693	3.1950176e-08	0.00014477853	0.64113915	2.7489062e-07	0.03932571	0.10651248	5.5533803e-08
priorregion1_spot_5	0.02424004	4.941637e-08	3.3884344e-08	4.8275922e-08	1.2127056e-07	5.391512e-08	3.1468925e-08	4.7509307e-08	0.027716814	2.2293724e-08	1.873071e-09	0.89297587	6.7143766e-08	0.055062424	4.337821e-06	2.8359946e-08
priorregion1_spot_6	0.0007764645	1.2760894e-07	4.0169255e-08	4.3860076e-08	9.201075e-08	0.0016117323	6.019707e-08	1.5060253e-07	0.030624956	4.427344e-08	4.8252184e-09	0.749844	0.0057727736	0.21132866	4.072723e-05	9.2053405e-08
priorregion1_spot_7	1.3740457e-07	4.0283787e-08	4.6586287e-08	4.7842143e-08	5.140109e-08	2.483104e-07	6.96975e-08	0.011577516	3.539184e-08	0.5205943	7.875668e-09	0.4678267	1.17634464e-07	3.421649e-07	8.911018e-08	2.1879104e-07
priorregion1_spot_8	0.021573672	2.528836e-08	1.7463153e-08	1.9283675e-08	2.889263e-08	1.257655e-07	4.65352e-08	3.898913e-08	0.057474393	2.4014344e-08	3.1296927e-09	0.64894587	3.4501703e-08	0.27200195	3.636731e-06	5.342163e-08
priorregion1_spot_9	0.0070319716	2.5214668e-08	2.5468571e-08	3.153326e-08	4.6468738e-08	0.020624299	3.147563e-07	4.0447333e-08	0.08326417	0.088754326	5.225629e-09	0.5669915	1.05076e-07	0.23332734	5.545966e-06	2.465169e-07
priorregion1_spot_10	4.883058e-06	2.262991e-08	1.0364005e-08	1.0008343e-08	1.7627627e-08	1.3809245e-08	7.276782e-09	2.6505056e-08	1.06812115e-08	9.457445e-09	1.0592914e-09	0.9763445	1.710597e-08	0.02364711	3.367137e-06	1.8526734e-08
priorregion1_spot_11	0.6619284	2.1494595e-08	1.7763336e-08	2.0160018e-08	3.2130547e-08	8.899096e-08	8.17104e-08	4.457599e-08	2.339873e-07	4.760277e-08	4.404753e-09	0.22079483	8.739156e-08	0.117275834	1.5897575e-07	8.618936e-08
priorregion1_spot_12	0.18202764	6.6159565e-08	3.6262104e-08	3.1716922e-08	5.041446e-07	2.0297865e-07	3.9846378e-07	1.5226806e-07	1.2906296e-06	0.17130996	7.453943e-09	0.48676464	2.7698985e-07	0.10826799	9.615806e-05	0.051530704
priorregion1_spot_13	0.26552016	6.210994e-08	4.6314245e-08	3.1489293e-08	4.6574907e-08	7.4134107e-07	8.5434823e-07	6.6920705e-08	0.024477687	0.019833637	6.9157817e-09	0.40723473	3.164491e-07	0.28291968	1.1176143e-05	7.2433903e-07
priorregion1_spot_14	0.019302446	5.192847e-08	2.4784855e-08	1.5800635e-08	2.7146898e-08	9.365841e-08	3.007848e-07	2.6311751e-08	0.012948823	0.06364563	9.218998e-09	2.4120812e-08	5.0254496e-08	0.8705288	4.141356e-08	0.033573736
priorregion1_spot_15	1.3850866e-06	2.4438966e-08	2.2871289e-08	2.594255e-08	5.000708e-08	9.0161734e-08	1.3642877e-07	6.341768e-08	0.073115766	0.030666646	0.00021320547	0.5019471	8.382902e-08	0.36929253	0.024762092	7.7002977e-07
priorregion1_spot_16	0.22124517	7.330225e-08	4.4179885e-08	4.58311e-08	6.676412e-08	6.934481e-06	4.782489e-07	2.981133e-07	0.016378725	0.06432899	8.005187e-09	0.49668843	0.0013906324	0.19975078	0.0002084142	8.921897e-07
priorregion1_spot_17	1.1067502e-07	3.4019227e-08	2.8030788e-08	2.9171906e-08	6.1262064e-08	1.2391722e-07	3.735604e-08	4.477618e-08	0.049066138	2.679606e-08	3.3774925e-09	0.8107583	1.1502455e-07	0.1401673	7.630944e-06	2.9123429e-08
priorregion1_spot_18	1.8004327e-07	4.2069907e-08	2.7992199e-08	3.7762664e-08	6.015062e-08	2.0757592e-07	9.079287e-08	4.9922175e-08	1.17534064e-07	0.20375328	8.449887e-09	0.6237616	8.072418e-08	0.060713682	0.07499637	0.036774285
priorregion1_spot_19	8.208926e-08	0.000107984386	2.9531359e-08	5.646432e-08	2.6170184e-07	6.0750615e-08	2.2156552e-08	1.3931674e-07	5.4177228e-08	0.054488387	4.6428306e-09	0.8892602	1.9651172e-07	0.05412763	0.0020148098	6.933236e-08
priorregion1_spot_20	0.05687328	9.749414e-08	4.447102e-08	5.2915897e-08	0.11031134	6.4717085e-07	2.9404694e-08	1.702419e-05	0.018695494	3.0603314e-08	3.715548e-09	0.57620794	9.486997e-07	0.05778175	0.18011136	3.9322746e-08
